ID,EquipLevel,TypeTab,RefineMaxLv,EnchantConsume,SeniorEnchantConsume,PlugCardConsume,DismantleCardConsume,WeaponHoleCon1,WeaponHoleCon2,WeaponHoleCon3,ArmorHoleCon1,ArmorHoleCon2,WeaponReforgeCon1,WeaponReforgeCon2,WeaponReforgeCon3,ArmorReforgeCon1,ArmorReforgeCon2
TypeTab*10000+EquipLevel,装备等级,装备类型（1武器2副手3盔甲4披风5鞋子6饰品7头饰上）,精炼最高等级控制消耗（部位=精炼上限）,初级附魔消耗（道具ID=数量|道具ID=数量）,高级附魔消耗（道具ID=数量|道具ID=数量）,插卡消耗,拆卡消耗,武器打第1个洞消耗,武器打第2个洞消耗,武器打第3个洞消耗,防具打造第一个洞消耗,防具打造第二个洞消耗,武器重铸1洞词条消耗,武器重铸2洞词条消耗,武器重铸3洞词条消耗,防具重铸1洞词条消耗,防具重铸2洞词条消耗
10000,0,1,1=10|2=10|3=10|4=10|5=10|6=10,3021001=3|101=15000,3021001=15|101=50000,,101=10000,3023001=1|101=10000,3023002=1|101=30000,3023003=1|101=60000,3023002=1|101=30000,3023002=1|101=30000,101=30000,101=30000,101=30000,101=30000,101=30000
10010,10,1,1=10|2=10|3=10|4=10|5=10|6=10,3021001=3|101=15000,3021001=15|101=50000,,101=10000,3023001=1|101=10000,3023002=1|101=30000,3023003=1|101=60000,3023002=1|101=30000,3023002=1|101=30000,101=30000,101=30000,101=30000,101=30000,101=30000
10020,20,1,1=10|2=10|3=10|4=10|5=10|6=10,3021001=3|101=15000,3021001=15|101=50000,,101=10000,3023001=1|101=10000,3023002=1|101=30000,3023003=1|101=60000,3023002=1|101=30000,3023002=1|101=30000,101=30000,101=30000,101=30000,101=30000,101=30000
10030,30,1,1=10|2=10|3=10|4=10|5=10|6=10,3021001=3|101=15000,3021001=15|101=50000,,101=10000,3023001=1|101=10000,3023002=1|101=45000,3023003=1|101=60000,3023002=1|101=45000,3023002=1|101=45000,101=30000,101=30000,101=30000,101=30000,101=30000
10040,40,1,1=10|2=10|3=10|4=10|5=10|6=10,3021001=3|101=15000,3021001=15|101=50000,,101=50000,3023001=2|101=20000,3023002=1|101=40000,3023003=1|101=60000,3023002=1|101=40000,3023002=1|101=40000,101=30000,101=30000,101=30000,101=30000,101=30000
10050,50,1,1=10|2=10|3=10|4=10|5=10|6=10,3021001=3|101=15000,3021001=15|101=50000,,101=50000,3023001=4|101=40000,3023002=2|101=40000,3023003=1|101=60000,3023002=2|101=40000,3023002=2|101=40000,101=30000,101=30000,101=30000,101=30000,101=30000
10060,60,1,1=15|2=15|3=15|4=15|5=15|6=15,3021001=3|101=15000,3021001=15|101=50000,,101=50000,3023001=5|101=40000,3023002=3|101=80000,3023003=1|101=60000,3023002=3|101=80000,3023002=3|101=80000,101=30000,101=30000,101=30000,101=30000,101=30000
10070,70,1,1=15|2=15|3=15|4=15|5=15|6=15,3021001=5|101=25000,3021001=15|101=50000,,101=50000,3023001=6|101=80000,3023002=4|101=160000,3023003=1|101=60000,3023002=4|101=160000,3023002=4|101=160000,101=30000,101=30000,101=30000,101=30000,101=30000
10080,80,1,1=15|2=15|3=15|4=15|5=15|6=15,3021001=5|101=25000,3021001=15|101=50000,,101=50000,3023001=8|101=80000,3023002=4|101=160000,3023003=6|101=320000,3023002=4|101=160000,3023002=4|101=160000,101=30000,101=30000,101=30000,101=30000,101=30000
10090,90,1,1=15|2=15|3=15|4=15|5=15|6=15,3021001=5|101=25000,3021001=15|101=50000,,101=50000,3023001=8|101=80000,3023002=4|101=160000,3023003=6|101=320000,3023002=4|101=160000,3023002=4|101=160000,101=30000,101=30000,101=30000,101=30000,101=30000
10100,100,1,1=15|2=15|3=15|4=15|5=15|6=15,3021001=5|101=25000,3021001=15|101=50000,,101=50000,3023001=10|101=100000,3023002=6|101=200000,3023003=10|101=1440000,3023002=6|101=200000,3023002=10|101=480000,101=30000,101=30000,101=30000,101=30000,101=30000
10110,110,1,1=15|2=15|3=15|4=15|5=15|6=15,3021001=5|101=25000,3021001=15|101=50000,,101=50000,3023001=10|101=100000,3023002=6|101=200000,3023003=12|101=1440000,3023002=6|101=200000,3023002=10|101=480000,101=30000,101=30000,101=30000,101=30000,101=30000
10120,120,1,1=15|2=15|3=15|4=15|5=15|6=15,3021001=5|101=25000,3021001=15|101=50000,,101=50000,3023001=20|101=480000,3023002=15|101=960000,3023003=15|101=1440000,3023002=15|101=960000,3023002=15|101=960000,101=30000,101=30000,101=30000,101=30000,101=30000
10130,130,1,1=15|2=15|3=15|4=15|5=15|6=15,3021001=5|101=25000,3021001=15|101=50000,,101=50000,3023001=25|101=960000,3023002=20|101=960000,3023003=20|101=1440000,3023002=20|101=960000,3023002=20|101=960000,101=30000,101=30000,101=30000,101=30000,101=30000
10140,140,1,1=15|2=15|3=15|4=15|5=15|6=15,3021001=5|101=25000,3021001=15|101=50000,,101=50000,3023001=30|101=1500000,3023002=25|101=1500000,3023003=25|101=1440000,3023002=25|101=1500000,3023002=25|101=1500000,101=30000,101=30000,101=30000,101=30000,101=30000
