Id,Name,ForgePreview,ForgeLevel,ShowLevel,ForgeMaterials,SortId,Type,LocalizationArea,类型
装备ID,装备名称,打造预览,打造等级,显示等级,打造消耗,排序Id,1:武器大师库2：防具大师库？,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加）,策划备注
12110101,刺刀,,15,15,1290014=2|1290015=2|101=20000,1,1,,
1111901,铁锤,,15,15,1290014=2|1290015=2|101=20000,10001,1,,
6112801,檀木弓,,15,15,1290014=2|1290015=2|101=20000,3,1,,
2113901,大驹短剑,,15,15,1290014=2|1290015=2|101=20000,4,1,,
4115801,手杖,,15,15,1290014=2|1290015=2|101=20000,5,1,,
4115901,生存魔杖,,15,15,1290014=2|1290015=2|101=20000,6,1,,
5117201,战斧,,15,15,1290014=2|1290015=2|101=20000,7,1,,锻造装
12333305,多刃尖刺刀,,50,40,3022003=15|123333050=1|1280007=80|101=640000,8,1,,武器
12333307,多刃尖刺刀Ⅰ,,70,60,3022005=16|123333070=1|1290059=160|101=1360000,9,1,,武器
12333405,老兵之剑,,50,40,3022003=15|123334050=1|1280007=80|101=640000,11,1,,武器
12333407,老兵之剑Ⅰ,,70,60,3022005=16|123334070=1|1290062=160|101=1360000,12,1,,武器
12333408,老兵之剑Ⅱ,,80,70,3022006=16|123334080=1|1290056=330|101=2680000,13,1,27,武器
12333507,火灵之剑,,70,60,3022005=16|123335070=1|1290062=160|101=1360000,14,1,,武器
12333508,火灵之剑Ⅰ,,80,70,3022006=16|123335080=1|1290056=330|101=2680000,15,1,27,武器
12333607,石中剑,,70,60,3022005=16|123336070=1|1290062=160|101=1360000,16,1,,武器
12333608,石中剑Ⅰ,,80,70,3022006=16|123336080=1|1290056=330|101=2680000,17,1,27,武器
12333708,魔刀吞神,,80,70,3022006=16|123337080=1|1290061=330|101=2680000,18,1,27,武器
12333807,名刀不知火,,70,60,3022005=16|123338070=1|1290057=160|101=1360000,19,1,,武器
12333808,名刀不知火Ⅰ,,80,70,3022006=16|123338080=1|1290061=330|101=2680000,20,1,27,武器
12333907,红云长剑,,70,60,3022005=16|123339070=1|1290057=160|101=1360000,21,1,,武器
