Id,,ThesaurusId,Property,PropertyDec,Quality,Activition,Pro,RandomType,ColourPro
Id,策划备注,词库id,词条（词条类型=词条ID=参数）,词缀描述,词缀品质，配置格式：1:绿色2：蓝色3:紫色,激活条件（多个类型，1代表精炼等级达到要求，配置格式1=精炼等级；2代表完成某个成就系统，配置格式2=成就id,词缀概率，配置格式：1库权重|2库权重|3库权重,数值随机范围，配置格式：区间1=区间2=权重|区间2=区间3=权重，先随机决定抽到哪个区间，再从【区间1，区间2）中等概率随机具体数值,色库权重，配合：绿色库权重|蓝色库权重|紫色库权重
1,盾牌25,100,0=32=2,4425,1,,500=500=50,1=1=500|1=1=100|1=1=50,800=150=50
2,盾牌25,100,0=47=50,4426,1,,500=500=200,1=1=500|1=1=100|1=1=50,
3,盾牌25,100,0=186=100,4427,2,,50=50=20,1=1=500|1=1=100|1=1=50,
4,盾牌25,100,0=48=100,4428,2,,50=50=5,1=1=500|1=1=100|1=1=50,
5,盾牌25,100,0=229=100,4429,1,,50=50=5,1=1=500|1=1=100|1=1=50,
6,盾牌40,101,0=32=5,4005,1,,50=50=5,1=1=500|1=1=100|1=1=50,
7,盾牌40,101,0=47=150,4006,1,,50=50=5,1=1=500|1=1=100|1=1=50,
8,盾牌40,101,0=186=300,4007,3,,50=50=5,1=1=500|1=1=100|1=1=50,
9,盾牌40,101,0=48=300,4008,2,,50=50=5,1=1=500|1=1=100|1=1=50,
10,盾牌40,101,0=229=500,4009,3,,50=50=5,1=1=500|1=1=100|1=1=50,
11,盾牌40,101,0=256=500,4010,2,,50=50=5,1=1=500|1=1=100|1=1=50,
12,盾牌55,102,0=32=5,4011,1,,50=50=5,1=1=500|1=1=100|1=1=50,
13,盾牌55,102,0=47=150,4012,1,,50=50=5,1=1=500|1=1=100|1=1=50,
14,盾牌55,102,0=256=500,4013,2,,50=50=5,1=1=500|1=1=100|1=1=50,
15,盾牌55,102,0=186=300,4014,3,,50=50=5,1=1=500|1=1=100|1=1=50,
16,盾牌55,102,0=48=300,4015,2,,50=50=5,1=1=500|1=1=100|1=1=50,
17,盾牌55,102,0=231=500,4016,3,,50=50=5,1=1=500|1=1=100|1=1=50,
18,盾牌55,102,0=229=500,4017,3,,50=50=5,1=1=500|1=1=100|1=1=50,
19,盾牌70,103,0=32=5,4018,1,,50=50=5,1=1=500|1=1=100|1=1=50,
20,盾牌70,103,0=47=150,4019,1,,50=50=5,1=1=500|1=1=100|1=1=50,
21,盾牌70,103,0=256=500,4020,2,,50=50=5,1=1=500|1=1=100|1=1=50,
22,盾牌70,103,0=186=300,4021,3,,50=50=5,1=1=500|1=1=100|1=1=50,
23,盾牌70,103,0=232=500|0=233=-500,4022,3,,50=50=5,1=1=500|1=1=100|1=1=50,
24,盾牌70,103,0=48=300,4023,2,,50=50=5,1=1=500|1=1=100|1=1=50,
25,盾牌70,103,0=231=500,4024,3,,50=50=5,1=1=500|1=1=100|1=1=50,
26,盾牌70,103,0=229=500,4025,3,,50=50=5,1=1=500|1=1=100|1=1=50,
27,铠甲25,200,0=14=1,4430,1,,50=50=5,1=1=500|1=1=100|1=1=50,
28,铠甲25,200,0=22=1,4431,1,,50=50=5,1=1=500|1=1=100|1=1=50,
29,铠甲25,200,0=24=1,4432,1,,50=50=5,1=1=500|1=1=100|1=1=50,
30,铠甲25,200,0=16=1,4433,1,,50=50=5,1=1=500|1=1=100|1=1=50,
31,铠甲25,200,0=27=2,4434,1,,50=50=5,1=1=500|1=1=100|1=1=50,
32,铠甲25,200,0=36=2,4435,1,,50=50=5,1=1=500|1=1=100|1=1=50,
33,铠甲25,200,0=53=1,4436,1,,50=50=5,1=1=500|1=1=100|1=1=50,
34,铠甲25,200,0=47=25,4437,1,,50=50=5,1=1=500|1=1=100|1=1=50,
35,铠甲25,200,0=27=5,4438,2,,50=50=5,1=1=500|1=1=100|1=1=50,
36,铠甲25,200,0=36=5,4439,2,,50=50=5,1=1=500|1=1=100|1=1=50,
37,铠甲40,201,0=14=1|0=27=3,4032,1,,50=50=5,1=1=500|1=1=100|1=1=50,
38,铠甲40,201,0=22=1|0=47=50,4033,1,,50=50=5,1=1=500|1=1=100|1=1=50,
39,铠甲40,201,0=24=1|0=53=1,4034,1,,50=50=5,1=1=500|1=1=100|1=1=50,
40,铠甲40,201,0=16=1|0=36=2,4035,1,,50=50=5,1=1=500|1=1=100|1=1=50,
41,铠甲40,201,0=20=1|0=27=3,4036,1,,50=50=5,1=1=500|1=1=100|1=1=50,
42,铠甲40,201,0=18=1|0=27=3,4037,1,,50=50=5,1=1=500|1=1=100|1=1=50,
43,铠甲40,201,0=27=8,4038,2,,50=50=5,1=1=500|1=1=100|1=1=50,
44,铠甲40,201,0=36=8,4039,2,,50=50=5,1=1=500|1=1=100|1=1=50,
45,铠甲55,202,0=14=1|0=27=3,4040,1,,50=50=5,1=1=500|1=1=100|1=1=50,
46,铠甲55,202,0=22=1|0=47=50,4041,1,,50=50=5,1=1=500|1=1=100|1=1=50,
47,铠甲55,202,0=24=1|0=53=1,4042,1,,50=50=5,1=1=500|1=1=100|1=1=50,
48,铠甲55,202,0=16=1|0=36=2,4043,1,,50=50=5,1=1=500|1=1=100|1=1=50,
49,铠甲55,202,0=20=1|0=27=3,4044,1,,50=50=5,1=1=500|1=1=100|1=1=50,
50,铠甲55,202,0=18=1|0=27=3,4045,1,,50=50=5,1=1=500|1=1=100|1=1=50,
51,铠甲55,202,0=27=8,4046,2,,50=50=5,1=1=500|1=1=100|1=1=50,
52,铠甲55,202,0=36=8,4047,2,,50=50=5,1=1=500|1=1=100|1=1=50,
53,铠甲55,202,0=49=40,4048,2,,50=50=5,1=1=500|1=1=100|1=1=50,
54,铠甲55,202,0=47=200,4049,2,,50=50=5,1=1=500|1=1=100|1=1=50,
55,铠甲55,202,0=48=300,4050,3,,50=50=5,1=1=500|1=1=100|1=1=50,
56,铠甲70,203,0=14=1|0=27=3,4051,1,,50=50=5,1=1=500|1=1=100|1=1=50,
