Id,Level,EnchantId,,Quality,Weight,Times
Id,等级区间。配置格式：区间下限=区间上限，左闭右开,附魔档次,策划备注,词条1品质=词条2品质=词条3品质,权重,次数
1,50=60,1,蓝蓝,1=1,1700,0
2,50=60,2,蓝紫,1=2,200,3
3,50=60,3,紫紫,2=2,98,20
4,50=60,4,蓝橙,1=1,1,300
5,50=60,5,橙紫,2=1,1,500
7,60=70,1,蓝蓝,1=1,1700,0
8,60=70,2,蓝紫,1=2,200,3
9,60=70,3,紫紫,2=2,98,20
10,60=70,4,蓝橙,1=3,1,300
11,60=70,5,橙紫,2=3,1,500
12,70=80,1,蓝蓝,1=1,1700,0
13,70=80,2,蓝紫,1=2,200,3
14,70=80,3,紫紫,2=2,98,20
15,70=80,4,紫紫,2=2,1,300
16,70=80,5,紫紫,2=2,1,500
17,80=90,1,蓝蓝,1=1,1700,0
18,80=90,2,蓝紫,1=2,200,3
19,80=90,3,紫紫,2=2,98,20
20,80=90,4,紫紫,2=2,1,300
21,80=90,5,紫紫,2=2,1,500
22,90=100,1,蓝蓝,1=1,1700,0
23,90=100,2,蓝紫,1=2,200,3
24,90=100,3,紫紫,2=2,98,20
25,90=100,4,紫紫,2=2,1,300
26,90=100,5,紫紫,2=2,1,500
27,100=110,1,蓝蓝,1=1,1700,0
28,100=110,2,蓝紫,1=2,200,3
29,100=110,3,紫紫,2=2,98,20
30,100=110,4,紫紫,2=2,1,300
31,100=110,5,紫紫,2=2,1,500
32,110=120,1,蓝蓝,1=1,1700,0
33,110=120,2,蓝紫,1=2,200,3
34,110=120,3,紫紫,2=2,98,20
35,110=120,4,紫紫,2=2,1,300
36,110=120,5,紫紫,2=2,1,500
