Id,EnchantId,Text,Property,BindProperty,PropertyDec,Quality,Pro,RandomType,SortId,TypeId,TypeScore,profession,LimitTime
Id,附魔id,策划备注,词条（词条类型=词条ID=参数）,特技捆绑词条（配置格式：词条ID1|词条ID2）可不填或者只配置1个,词缀描述,词缀品质，配置格式：1:绿色2：蓝色3:紫色,初级附魔词缀概率，配置格式：1库权重|2库权重|3库权重,初级附魔数值随机范围，配置格式：区间1=区间2=权重|区间2=区间3=权重，先随机决定抽到哪个区间，再从【区间1，区间2）中等概率随机具体数值,排序Id，Id越小，附魔库中位置越靠前,属性类型分类，1：特技属性，2：六维属性，3：通用属性,属性评分，这里配置的是满分值,职业字段，多个用竖线隔开,附魔门槛(下限值，大于此值才可以随到）
100001,1,70级武器库,0=14=6,,2011,1,50,1=2=500|2=3=400|3=4=100,1,2,60,2000|5000|6000|3201,
100002,1,70级武器库,0=16=6,,2012,1,50,1=2=500|2=3=400|3=4=100,2,2,60,3000|4000,
100003,1,70级武器库,0=18=6,,2013,1,50,1=2=500|2=3=400|3=4=100,3,2,60,2000|5000|6000|7000|3201,
100004,1,70级武器库,0=20=6,,2014,1,50,1=2=500|2=3=400|3=4=100,4,2,60,3000|4000|7000,
100005,1,70级武器库,0=27=40,,2002,1,50,1=6=500|6=9=400|9=17=100,5,3,30,2000|5000|6000|7000|3201,
100006,1,70级武器库,0=36=40,,2001,1,50,1=6=500|6=9=400|9=17=100,6,3,30,3000|4000,
100007,1,70级武器库,0=28=400,,2000,1,50,1=56=500|56=88=400|88=161=100,7,3,30,2000|5000|6000|7000|3201,
100008,1,70级武器库,0=37=400,,2112,1,50,1=56=500|56=88=400|88=161=100,8,3,30,3000|4000,
100009,1,70级武器库,0=71=400,,2113,1,50,1=56=500|56=88=400|88=161=100,9,3,30,2000|5000|6000|7000|3201,
100027,2,80级武器库,0=14=8,,2011,1,50,1=2=500|2=3=400|3=4=100,36,2,30,2000|5000|6000|3201,
100028,2,80级武器库,0=16=8,,2012,1,50,1=2=500|2=3=400|3=4=100,37,2,30,3000|4000,
100029,2,80级武器库,0=18=8,,2013,1,50,1=2=500|2=3=400|3=4=100,38,2,60,2000|5000|6000|7000|3201,
100030,2,80级武器库,0=20=8,,2014,1,50,1=2=500|2=3=400|3=4=100,39,2,30,3000|4000|7000,
100031,2,80级武器库,0=27=50,,2002,1,50,1=7=500|7=11=400|11=19=100,40,3,30,2000|5000|6000|7000|3201,
100032,2,80级武器库,0=36=50,,2001,1,50,1=7=500|7=11=400|11=19=100,41,3,30,3000|4000,
100033,2,80级武器库,0=28=500,,2000,1,50,1=70=500|70=110=400|110=181=100,42,3,30,2000|5000|6000|7000|3201,
100034,2,80级武器库,0=37=500,,2112,1,50,1=70=500|70=110=400|110=181=100,43,3,30,3000|4000,
100035,2,80级武器库,0=71=500,,2113,1,15,1=70=500|70=110=400|110=181=100,44,3,30,2000|5000|6000|7000|3201,
100053,3,90级武器库,0=14=10,,2011,1,50,1=3=500|3=4=400|4=5=100,71,2,30,2000|5000|6000|3201,
100054,3,90级武器库,0=16=10,,2012,1,50,1=3=500|3=4=400|4=5=100,72,2,30,3000|4000,
100055,3,90级武器库,0=18=10,,2013,1,50,1=3=500|3=4=400|4=5=100,73,2,30,2000|5000|6000|7000|3201,
100056,3,90级武器库,0=20=10,,2014,1,50,1=3=500|3=4=400|4=5=100,74,2,30,3000|4000|7000,
100057,3,90级武器库,0=27=55,,2002,1,50,1=8=500|8=13=400|13=23=100,75,3,30,2000|5000|6000|7000|3201,
100058,3,90级武器库,0=36=55,,2001,1,50,1=8=500|8=13=400|13=23=100,76,3,30,3000|4000,
100059,3,90级武器库,0=28=600,,2000,1,50,1=84=500|84=132=400|132=241=100,77,3,30,2000|5000|6000|7000|3201,
100060,3,90级武器库,0=37=600,,2112,1,50,1=84=500|84=132=400|132=241=100,78,3,30,3000|4000,
100061,3,90级武器库,0=71=600,,2113,1,50,1=84=500|84=132=400|132=241=100,79,3,30,2000|5000|6000|7000|3201,
100084,4,100级武器库,0=14=12,,2011,1,50,1=3=500|3=5=400|5=6=100,111,2,30,2000|5000|6000|3201,
100085,4,100级武器库,0=16=12,,2012,1,50,1=3=500|3=5=400|5=6=100,112,2,30,3000|4000,
100086,4,100级武器库,0=18=12,,2013,1,50,1=3=500|3=5=400|5=6=100,113,2,30,2000|5000|6000|7000|3201,
100087,4,100级武器库,0=20=12,,2014,1,50,1=3=500|3=5=400|5=6=100,114,2,30,3000|4000|7000,
100088,4,100级武器库,0=27=60,,2002,1,50,1=9=500|9=14=400|14=25=100,115,3,30,2000|5000|6000|7000|3201,
100089,4,100级武器库,0=36=60,,2001,1,50,1=9=500|9=14=400|14=25=100,116,3,30,3000|4000,
100090,4,100级武器库,0=28=700,,2000,1,50,1=98=500|98=154=400|154=281=100,117,3,30,2000|5000|6000|7000|3201,
100091,4,100级武器库,0=37=700,,2112,1,50,1=98=500|98=154=400|154=281=100,118,3,30,3000|4000,
100092,4,100级武器库,0=71=700,,2113,1,50,1=98=500|98=154=400|154=281=100,119,3,30,2000|5000|6000|7000|3201,
100120,5,70级饰品库,0=18=6,,2013,1,50,1=2=500|2=3=400|3=4=100,156,2,60,2000|5000|6000|7000|3201,
100121,5,70级饰品库,0=20=6,,2014,1,50,1=2=500|2=3=400|3=4=100,157,2,60,3000|4000|7000,
100122,5,70级饰品库,0=27=40,,2002,1,50,1=6=500|6=9=400|9=17=100,158,3,60,2000|5000|6000|7000|3201,
100123,5,70级饰品库,0=36=40,,2001,1,50,1=6=500|6=9=400|9=17=100,159,3,60,3000|4000,
100124,5,70级饰品库,0=28=400,,2000,1,50,1=56=500|56=88=400|88=161=100,160,3,60,2000|5000|6000|7000|3201,
100125,5,70级饰品库,0=37=400,,2112,1,50,1=56=500|56=88=400|88=161=100,161,3,60,3000|4000,
100126,5,70级饰品库,0=55=2,,2003,1,50,1=2=500|2=3=400|3=4=100,162,3,60,,
100127,5,70级饰品库,0=51=9,,2004,1,50,1=3=500|3=4=400|4=5=100,163,3,60,,
100143,6,80级饰品库,0=18=8,,2013,1,50,1=2=500|2=3=400|3=4=100,187,2,60,2000|5000|6000|7000|3201,
100144,6,80级饰品库,0=20=8,,2014,1,50,1=2=500|2=3=400|3=4=100,188,2,60,3000|4000|7000,
100145,6,80级饰品库,0=27=50,,2002,1,50,1=7=500|7=11=400|11=19=100,189,3,60,2000|5000|6000|7000|3201,
100146,6,80级饰品库,0=36=50,,2001,1,50,1=7=500|7=11=400|11=19=100,190,3,60,3000|4000,
100147,6,80级饰品库,0=28=500,,2000,1,50,1=70=500|70=110=400|110=181=100,191,3,60,2000|5000|6000|7000|3201,
100148,6,80级饰品库,0=37=500,,2112,1,50,1=70=500|70=110=400|110=181=100,192,3,60,3000|4000,
100149,6,80级饰品库,0=55=2,,2003,1,50,1=2=500|2=3=400|3=4=100,193,3,60,,
100150,6,80级饰品库,0=51=10,,2004,1,50,1=3=500|3=4=400|4=5=100,194,3,60,,
100166,7,90级饰品库,0=18=10,,2013,1,50,1=3=500|3=4=400|4=5=100,218,2,60,2000|5000|6000|7000|3201,
100167,7,90级饰品库,0=20=10,,2014,1,50,1=3=500|3=4=400|4=5=100,219,2,60,3000|4000|7000,
100168,7,90级饰品库,0=27=55,,2002,1,50,1=8=500|8=13=400|13=23=100,220,3,60,2000|5000|6000|7000|3201,
100169,7,90级饰品库,0=36=55,,2001,1,50,1=8=500|8=13=400|13=23=100,221,3,60,3000|4000,
100170,7,90级饰品库,0=28=600,,2000,1,50,1=84=500|84=132=400|132=241=100,222,3,60,2000|5000|6000|7000|3201,
100171,7,90级饰品库,0=37=600,,2112,1,50,1=84=500|84=132=400|132=241=100,223,3,60,3000|4000,
100172,7,90级饰品库,0=55=3,,2003,1,50,1=2=500|2=3=400|3=4=100,224,3,60,,
100173,7,90级饰品库,0=51=12,,2004,1,50,1=3=500|3=5=400|5=6=100,225,3,60,,
100194,8,100级饰品库,0=18=12,,2013,1,50,1=3=500|3=5=400|5=6=100,254,2,60,2000|5000|6000|7000|3201,
100195,8,100级饰品库,0=20=12,,2014,1,50,1=3=500|3=5=400|5=6=100,255,2,60,3000|4000|7000,
100196,8,100级饰品库,0=27=60,,2002,1,50,1=9=500|9=14=400|14=25=100,256,3,60,2000|5000|6000|7000|3201,
100197,8,100级饰品库,0=36=60,,2001,1,50,1=9=500|9=14=400|14=25=100,257,3,60,3000|4000,
