ParamName,Value,DisplayType
参数名字,名字对应的实际值,外显类型（仅战斗临时属性需要配置，0：直接显示值，1：显示/10000的值）
skill,1000,
skillPer,1001,
attrtype,1002,
elenum,1003,
attr1,1004,
value1,1005,
pro,1006,
buffid,1007,
baselv,1008,
baselvper,1009,
attra,1010,
attrv,1011,
skillcast,1012,
skilllv,1013,
zhiye,1014,
type,1015,
race,1016,
wetype,1017,
reflex,1018,
jinglian,1019,
jlper,1020,
ele,1021,
liuwei,1022,
attrper,1023,
arrow,1024,
Buff,1025,
DynamicAttrScene,1026,
AVERAGE_LEVEL,1027,
buffid1,1028,
buffid2,1029,
buffid3,1030,
buffid4,1031,
range,1032,
per,1034,
EQUIP_PTD_REFINE6,1035,
EQUIP_PTD_EQUIPED,1036,
EQUIP_PTD_REFINE10,1037,
EQUIP_BKZF_BARROWDAMUP,1038,
EQUIP_QYGH_REFINE6,1039,
EQUIP_QYGH_REFINE15,1040,
EQUIP_QYGH_MOBRATE,1041,
EQUIP_YLDJ_INTDAMUP,1042,
EQUIP_YCDJ_EXDAMRATE,1043,
SKILL_EXDAM_MAG,1044,
SKILL_EXDAM_PHY,1045,
EQUIP_SZJY_DAMUPBASEPRO,1046,
EQUIP_SZJY_DAMUPRATE,1047,
EQUIP_SZJY_DAMUPLUKRATE,1048,
EQUIP_SZJY_PERUPRATE,1049,
EQUIP_YHZQ_ASPDUP,1050,
EQUIP_YHZQ_REFINELV,1051,
EQUIP_WZHY_MAXCOUNT,1052,
EQUIP_WZHY_EXDAMRATE,1053,
EQUIP_WZHY_EXDAMRATE_SNAPSHOT,1054,
EQUIP_MDTS_EXDAMRATE,1055,
EQUIP_MDTS_EXDAMRATE_SNAPSHOT,1056,
EQUIP_SCSZX_EXDAMRATE,1057,
EQUIP_SCSZX_EXDAMRATE_SNAPSHOT,1058,
EQUIP_YSZG_EXDAMRATE,1059,
EQUIP_YSZG_EXDAMRATE_SNAPSHOT,1060,
EQUIP_WLEDJY_SDCJPRO,1061,
EQUIP_WLEDJY_SDCJLUKRATE,1062,
EQUIP_WLEDJY_MAXCOUNT,1063,
value2,1064,
value3,1065,
value4,1066,
value5,1067,
value6,1068,
EQUIP_MSAHQ_EXDAMRATE,1069,
EQUIP_MSAHQ_EXDAMRATE_SNAPSHOT,1070,
EQUIP_YLDJ_REFINEDAMUP,1071,
EQUIP_YCDJ_REFINERATE,1072,
SKILL_SJGD_BLOCK,1073,
EQUIP_QYGH_DEHEAL,1074,
SKILL_CANNON_ATTRDOWN,1075,
SKILL_SKILLPER_ADD,1076,
SKILL_SKILLPER_ADD_SNAPSHOT,1077,
SKILL_SKILLNUM_ADD,1078,
SKILL_SKILLNUM_ADD_SNAPSHOT,1079,
EQUIP_WLEDJY_JL15MARK,1080,
EQUIP_COMMON_FIREDAM,1081,
EQUIP_COMMON_FIREDAM_SNAPSHOT,1082,
EQUIP_COMMON_POISONDAM,1083,
EQUIP_COMMON_POISONDAM_SNAPSHOT,1084,
EQUIP_KLNS_REFINE15MARK,1085,
EQUIP_LQDZJ_REFINE15MARK,1086,
EQUIP_YJLY_YUNSHIDAM,1087,
skillid1,1088,
skillid2,1089,
skillid3,1090,
skillid4,1091,
skillid5,1092,
skillid6,1093,
originSkillId,1094,
EQUIP_JJCJ_PHYSICBLOCKPRO,1095,
EQUIP_JJCJ_MAGICBLOCKPRO,1096,
EQUIP_ZHNS_EXDAMRATE,1097,
SKILL_CANCRI_MARK,1098,
attrlimit,1099,
BELLUZ_5017_DAMUP,1100,
EQUIP_COMMON_WINDDAM,1101,
EQUIP_COMMON_WINDDAM_SNAPSHOT,1102,
EQUIP_COMMON_EARTHDAM,1103,
EQUIP_COMMON_EARTHDAM_SNAPSHOT,1104,
EQUIP_COMMON_WATERDAM,1105,
EQUIP_COMMON_WATERDAM_SNAPSHOT,1106,
EQUIP_COMMON_HOLYDAM,1107,
EQUIP_COMMON_HOLYDAM_SNAPSHOT,1108,
EQUIP_PTD_REFINE10DAMUP,1109,
SKILL_COMMON_BLOCK,1110,
EQUIP_NJLPDP_DAMPER,1111,
EQUIP_NJLPDP_DAMUP,1112,
EQUIP_NJLPDP_MSMARK,1113,
EQUIP_NJLPDP_MAGCDAMDOWN,1114,
EQUIP_SYZD_XINRENUP1,1115,
EQUIP_SYZD_XINRENUP2,1116,
EQUIP_HJZD_ENABLEMARK,1117,
EQUIP_HJZD_DEFUP,1118,
EQUIP_HJCM_ENABLEMARK,1119,
EQUIP_HJCM_ATKUP,1120,
EQUIP_SGZJ_MATKPER,1121,
EQUIP_XYCM_DAMUP,1122,
EQUIP_ZLCM_SMGJHP,1123,
EQUIP_ZLCM_SMGJCOUNT,1124,
EQUIP_SSZL_CRI,1125,
EQUIP_SSZL_ASPD,1126,
EQUIP_SSZL_SSDY,1127,
EQUIP_SSZL_SKILLPER,1128,
EQUIP_SSZL_PRO,1129,
EQUIP_SSZL_HP,1130,
SKILL_GYZT_SKILLPER,1131,
EQUIP_COMMEN_RACEADD_SNAPSHOT,1132,
EQUIP_COMMON_REFINE_POS0,1133,
EQUIP_COMMON_REFINE_POS1,1134,
EQUIP_ZJYDJ_SKILLPER_ADD,1135,
EQUIP_ZJYDJ_SKILLPER_ADD_SNAPSHOT,1136,
EQUIP_ZJYDJ_AOEDAM_MARK,1137,
EQUIP_TSWYC_COMMONATK_COUNT,1138,
EQUIP_GLHLZ_SKILL_HITCOUNT,1139,
EQUIP_SJYS_PHYDAMADD,10001,
checkskillid1,10002,
checkskillid2,10003,
