Id,Level,EnchantId,,Quality,Weight,Times
Id,等级区间。配置格式：区间下限=区间上限，左闭右开,附魔档次,策划备注,词条1品质=词条2品质=词条3品质,权重,次数
1,50=60,1,蓝蓝蓝,1=1=1,850,0
2,50=60,2,蓝蓝紫,1=1=2,85,0
3,50=60,3,蓝紫紫,1=2=2,25,0
4,50=60,4,紫紫紫,2=2=2,10,0
5,50=60,5,蓝橙紫,1=3=2,20,0
6,50=60,6,紫橙紫,2=3=2,10,0
7,60=70,1,蓝蓝蓝,1=1=1,850,0
8,60=70,2,蓝蓝紫,1=1=2,85,0
9,60=70,3,蓝紫紫,1=2=2,25,0
10,60=70,4,紫紫紫,2=2=2,10,0
11,60=70,5,蓝橙紫,1=3=2,20,0
12,60=70,6,紫橙紫,2=3=2,10,0
13,70=80,1,蓝蓝蓝,1=1=1,850,0
14,70=80,2,蓝蓝紫,1=1=2,85,0
15,70=80,3,蓝紫紫,1=2=2,25,0
16,70=80,4,紫紫紫,2=2=2,10,0
17,70=80,5,蓝橙紫,1=3=2,20,0
18,70=80,6,紫橙紫,2=3=2,10,0
19,80=90,1,蓝蓝蓝,1=1=1,850,0
20,80=90,2,蓝蓝紫,1=1=2,85,0
21,80=90,3,蓝紫紫,1=2=2,25,0
22,80=90,4,紫紫紫,2=2=2,10,0
23,80=90,5,蓝橙紫,1=3=2,20,0
24,80=90,6,紫橙紫,2=3=2,10,0
25,90=100,1,蓝蓝蓝,1=1=1,850,0
26,90=100,2,蓝蓝紫,1=1=2,85,0
27,90=100,3,蓝紫紫,1=2=2,25,0
28,90=100,4,紫紫紫,2=2=2,10,0
29,90=100,5,蓝橙紫,1=3=2,20,0
30,90=100,6,紫橙紫,2=3=2,10,0
31,100=110,1,蓝蓝蓝,1=1=1,850,0
32,100=110,2,蓝蓝紫,1=1=2,85,0
33,100=110,3,蓝紫紫,1=2=2,25,0
34,100=110,4,紫紫紫,2=2=2,10,0
35,100=110,5,蓝橙紫,1=3=2,20,0
36,100=110,6,紫橙紫,2=3=2,10,0
37,110=120,1,蓝蓝蓝,1=1=1,850,0
38,110=120,2,蓝蓝紫,1=1=2,85,0
39,110=120,3,蓝紫紫,1=2=2,25,0
40,110=120,4,紫紫紫,2=2=2,10,0
41,110=120,5,蓝橙紫,1=3=2,20,0
42,110=120,6,紫橙紫,2=3=2,10,0
