Id,EquipSecondId,SecondId,TypeId,Name,Tips,Model,ModelPath,ModelMaps,EquipId,WeaponId,IsBind,Refine,RefineMaxLv,RefineInit,EnchantingId,EnchantingSkill,WeaponRangeAttr,BaseAttributes,EntryAttributeOne,EntryAttributeTwo,ExtraAttribute,EquipText,AttrLib,SkillLib,HoleNum,HoleId,RecommendSchool,RefineBaseAttributes,IsShowInHandBook,AttrType,ReformSkill,level,LocalizationArea,isConnect,Coloration
装备ID,套装专用装备副Id,装备副ID,类型：1：商店装 2：锻造装 3：副本装,装备名称,定位描述，有则显示，否则不显示,模型,模型路径,贴图路径,装备类型/孔位，说明：1:武器 2：副手 3：盔甲 4：披风 5：鞋子 6：饰品 7：头饰上,装备类型：武器查找EquipWeaponTable坐骑 0 普通坐骑 1 战斗坐骑\r\n,是否绑定，1：非绑，0或者不填：绑定,是否可精炼，1：不可以，0：可以,精炼等级上限,精炼初始等级,附魔ID,附魔特技,武器射程属性（万分比）,基础属性（0=属性id=属性数值|0=buffid=0）,流派词条1,流派词条2（战斗临时属性配置）,流派词条（上层实现效果配置）,文本描述,属性库,特技库,装备洞数,洞的库Id,推荐流派,精炼类型Id,是否在图鉴中显示（1显示 0不显示 ！头饰类都不显示）,装备属性类型（0，固定，1随机）,改造附加技能库ID,等级(备注用),本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12),配置1代表此普通时装可被感应，0代表不可被感应，2代表可以感应别人的神话套,每个时装可染的colorid，索引LegendFashionColorTable
10100000,10100000,11101,,GM使用武器,,,,,6,0,0,1,5,0,,,,0=47=9999999=0|0=27=99999=0|0=74=30000=0,,,,,,,0,,,,,,,,,,
1070001,1070001,11101,,天使发圈,,Helmet_TianShiFaJia_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=41=12=0|0=18=6=0|0=24=6=0|0=214=1000=0,,,,,,,1,500,,7,0,,,,,1,
1070002,1070002,11101,,金属头盔,,Helmet_JinShuTouKu_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=14=2=0,1=400008001=baselv=0=0=baselvper=0=2=attr1=0=47=value1=0=3,,,3000,,,1,500,,7,0,,,,,1,
1070003,1070003,11101,,苹果头饰,,Helmet_PingGuo_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=20=3=0|0=18=1=0,,,,,,,1,500,,7,0,,,,,1,
1070005,1070005,11101,,兔耳发圈,,Helmet_TuErFaQuan_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=41=3=0|0=24=3=0|0=18=1=0,,,,,,,1,500,,7,0,,,,,1,
1070006,1070006,11101,,山羊头盔,,Helmet_DaBaMao_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=14=15=0,,,,,,,1,500,,7,0,,,,,1,
1070007,1070007,11101,,爱心发夹,,Helmet_AiXinFaJia_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=14=2=0,,,,,,,1,500,,7,0,,,,,1,
1070008,1070008,11101,,恶魔发圈,,Helmet_EMoFaQuan_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=41=12=0|0=14=10=0,,,,,,,1,500,,7,0,,,,,1,
1070009,1070009,11101,,婚礼发冠,,Helmet_HunLiFaGuan_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=41=10=0|0=22=3=0,0=32=15=0,,,3023,,,1,500,,7,0,,,,,1,
1070011,1070011,11101,,粉纱发圈,,Helmet_FenShaFaQuan_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=16=4=0|0=49=200=0,,,,,,,1,500,,7,0,,,,,1,
1070012,1070012,11101,,光环,,Helmet_GuangHuan_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=187=500=0,,,,,,,1,500,,7,0,,,,,1,
1070013,1070013,11101,,红蝶发带,,Helmet_HongDieFaDai_01,,,7,0,1,0,10,0,,,,0=32=2=0|0=41=2=0,,,,,,,1,500,,7,0,,,,,1,
1070014,1070014,11101,,卡普拉发圈,,Helmet_KaPuLaFaQuan_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=47=20=0,,,,,,,1,500,,7,0,,,,,1,
