ID,PreText,ActTextOne,ActTextTwo,ActTextThree,ActTextFour,ActTextFive
ID,预览文本,实际文本1,实际文本2,实际文本3,实际文本4,实际文本5
100,,,,,,
101,,Nil,,,,
102,,Nil|Nil,,,,
103,,Nil|普通攻击有{pro}%几率触发双倍伤害|Nil,,,,
104,,Nil|普通攻击有{pro}%几率触发双倍伤害|Nil|Nil,,,,
105,,Nil|普通攻击有{pro}%几率触发双倍伤害|精炼+4，无属性技能伤害+{value1}%|精炼+6，无属性技能伤害+{value1}%,,,,
106,,Nil|普通攻击有{pro}%几率触发双倍伤害|精炼+4，无属性技能伤害+{value1}%|精炼+6，无属性技能伤害+{value1}%,,,,
107,,Nil|普通攻击有{pro}%几率触发双倍伤害|精炼+4，无属性技能伤害+{value1}%|精炼+6，无属性技能伤害+{value1}%,,,,
108,,Nil|普通攻击有{pro}%几率触发双倍伤害|精炼+4，无属性技能伤害+{value1}%|精炼+6，无属性技能伤害+{value1}%,,,,
109,,Nil,,,,
110,,Nil|精炼+4，命中+2,,,,
111,,近身物理攻击时{pro}%几率使狂击伤害+20%，怪物互击伤害+20%，持续10秒|精炼+4，命中+{value1},,,,
112,,近身物理攻击时{pro}%几率使狂击伤害+20%，怪物互击伤害+20%，持续10秒|精炼+4，命中+{value1}|精炼+6，命中+{value1},,,,
113,,近身物理攻击时{pro}%几率使狂击伤害+20%，怪物互击伤害+20%，持续10秒|精炼+4，命中+{value1}|精炼+6，命中+{value1},,,,
114,,近身物理攻击时{pro}%几率使狂击伤害+20%，怪物互击伤害+20%，持续10秒|精炼+4，命中+{value1}|精炼+6，命中+{value1},,,,
115,,近身物理攻击时{pro}%几率使狂击伤害+20%，怪物互击伤害+20%，持续10秒|精炼+4，命中+{value1}|精炼+6，命中+{value1},,,,
116,,近身物理攻击时{pro}%几率使狂击伤害+20%，怪物互击伤害+20%，持续10秒|精炼+4，命中+{value1}|精炼+6，命中+{value1},,,,
117,,Nil,,,,
118,,Nil|Nil,,,,
119,,Nil|Nil|每次近战物理攻击时，附带{value1}%的伤害吸血效果,,,,
120,,Nil|Nil|每次近战物理攻击时，附带{value1}%的伤害吸血效果|精炼+9，生命上限+{value1}%,,,,
121,,Nil|Nil|每次近战物理攻击时，附带{value1}%的伤害吸血效果|精炼+9，生命上限+{value1}%,,,,
122,,Nil|Nil|每次近战物理攻击时，附带{value1}%的伤害吸血效果|精炼+9，生命上限+{value1}%,,,,
123,,Nil|Nil|每次近战物理攻击时，附带{value1}%的伤害吸血效果|精炼+9，生命上限+{value1}%,,,,
124,,Nil|Nil|每次近战物理攻击时，附带{value1}%的伤害吸血效果|精炼+9，生命上限+{value1}%,,,,
125,,Nil,,,,
126,,Nil|Nil,,,,
127,,Nil|Nil,,,,
128,,Nil|Nil,,,,
129,,Nil|Nil|精炼+9，敏捷+{value1},,,,
130,,Nil|Nil|精炼+9，敏捷+{value1},,,,
131,,Nil|Nil|精炼+9，敏捷+{value1},,,,
132,,Nil|Nil|精炼+9，敏捷+{value1},,,,
133,,Nil,,,,
134,,Nil|Nil,,,,
135,,Nil|Nil|普通攻击有{pro}%几率触发火箭术Lv5|普通攻击有{pro}%几率触发冰箭术Lv5|普通攻击有{pro}%几率触发雷击术Lv5,,,,
136,,Nil|Nil|普通攻击有{pro}%几率触发火箭术Lv5|普通攻击有{pro}%几率触发冰箭术Lv5|普通攻击有{pro}%几率触发雷击术Lv5|精炼每+1，魔法攻击+{value1},,,,
137,,Nil|Nil|普通攻击有{pro}%几率触发火箭术Lv5|普通攻击有{pro}%几率触发冰箭术Lv5|普通攻击有{pro}%几率触发雷击术Lv5|精炼每+1，魔法攻击+{value1},,,,
138,,Nil|Nil|普通攻击有{pro}%几率触发火箭术Lv5|普通攻击有{pro}%几率触发冰箭术Lv5|普通攻击有{pro}%几率触发雷击术Lv5|精炼每+1，魔法攻击+{value1},,,,
139,,Nil|Nil|普通攻击有{pro}%几率触发火箭术Lv5|普通攻击有{pro}%几率触发冰箭术Lv5|普通攻击有{pro}%几率触发雷击术Lv5|精炼每+1，魔法攻击+{value1},,,,
140,,Nil|Nil|普通攻击有{pro}%几率触发火箭术Lv5|普通攻击有{pro}%几率触发冰箭术Lv5|普通攻击有{pro}%几率触发雷击术Lv5|精炼每+1，魔法攻击+{value1},,,,
141,,武器圣属性,,,,
142,,武器圣属性,,,,
143,,Nil|武器圣属性,,,,
144,,Nil|武器圣属性|精炼每+1，对不死属性魔物伤害+1%,,,,
145,,Nil|武器圣属性|精炼每+1，对不死属性魔物伤害+1%,,,,
146,,Nil|武器圣属性|精炼每+1，对不死属性魔物伤害+1%,,,,
147,,Nil|武器圣属性|精炼每+1，对不死属性魔物伤害+1%,,,,
148,,Nil|武器圣属性|精炼每+1，对不死属性魔物伤害+1%,,,,
149,,Nil,,,,
150,,Nil,,,,
151,,Nil|Nil,,,,
152,,Nil|Nil|精炼+6，对BOSS魔物伤害+{value1}%,,,,
153,,Nil|Nil|精炼+6，对BOSS魔物伤害+{value1}%,,,,
154,,Nil|Nil|精炼+6，对BOSS魔物伤害+{value1}%,,,,
155,,Nil|Nil|精炼+6，对BOSS魔物伤害+{value1}%,,,,
156,,Nil|Nil|精炼+6，对BOSS魔物伤害+{value1}%,,,,
157,,Nil,,,,
158,,Nil,,,,
159,,物理攻击增加至精炼等级*精炼等级*2,,,,
160,,物理攻击增加至精炼等级*精炼等级*2,,,,
161,,物理攻击增加至精炼等级*精炼等级*2,,,,
162,,物理攻击增加至精炼等级*精炼等级*2,,,,
163,,物理攻击增加至精炼等级*精炼等级*2,,,,
164,,物理攻击增加至精炼等级*精炼等级*2,,,,
165,,Nil,,,,
166,,Nil,,,,
167,,物理攻击有{pro}%几率8s内暴击+100，内置CD30秒|杀死目标回复{value1}生命|精炼+6，暴击伤害+{value1}%,,,,
168,,物理攻击有{pro}%几率8s内暴击+100，内置CD30秒|杀死目标回复{value1}生命|精炼+6，暴击伤害+{value1}%,,,,
169,,物理攻击有{pro}%几率8s内暴击+100，内置CD30秒|杀死目标回复{value1}生命|精炼+6，暴击伤害+{value1}%,,,,
170,,物理攻击有{pro}%几率8s内暴击+100，内置CD30秒|杀死目标回复{value1}生命|精炼+6，暴击伤害+{value1}%,,,,
171,,物理攻击有{pro}%几率8s内暴击+100，内置CD30秒|杀死目标回复{value1}生命|精炼+6，暴击伤害+{value1}%,,,,
172,,物理攻击有{pro}%几率8s内暴击+100，内置CD30秒|杀死目标回复{value1}生命|精炼+6，暴击伤害+{value1}%,,,,
173,,Nil,,,,
174,,Nil|Nil,,,,
175,,Nil|精炼每+1，力量+1,,,,
