Id,WeaponId,WeaponTypeDec,Atlas,Spt,Small,Middle,Huge,FunctionID
Key,武器类型ID，考虑到单双手武器，多个时用|隔开,武器类型中文描述,图集,图片资源,小体型克制系数,中体型克制系数,大体型克制系数,功能ID（新职业功能开关）
1,17,空手,Commonicon,UI_CommonIcon_Kezhibiao_Icon_01.png,10000,10000,10000,
2,1,短剑,Commonicon,UI_CommonIcon_Kezhibiao_Icon_02.png,10000,7500,5000,
3,2,剑,Commonicon,UI_CommonIcon_Kezhibiao_Icon_03.png,7500,10000,7500,
4,3,双手剑,Commonicon,UI_CommonIcon_Kezhibiao_Icon_03.png,7500,7500,10000,
5,8,锤子,Commonicon,UI_CommonIcon_Kezhibiao_Icon_04.png,7500,10000,10000,
6,4,长矛,Commonicon,UI_CommonIcon_Kezhibiao_Icon_05.png,7500,7500,10000,
7,5,双手矛,Commonicon,UI_CommonIcon_Kezhibiao_Icon_05.png,7500,7500,10000,
8,7,双手斧,Commonicon,UI_CommonIcon_Kezhibiao_Icon_10.png,5000,7500,10000,
9,6,单手斧,Commonicon,UI_CommonIcon_Kezhibiao_Icon_10.png,5000,7500,10000,
10,9,法杖,Commonicon,UI_CommonIcon_Kezhibiao_Icon_09.png,10000,10000,10000,
11,10,双手杖,Commonicon,UI_CommonIcon_Kezhibiao_Icon_06.png,10000,10000,10000,
12,11,弓,Commonicon,UI_CommonIcon_Kezhibiao_Icon_07.png,10000,10000,7500,
13,16,拳刃,Commonicon,UI_CommonIcon_Kezhibiao_Icon_08.png,7500,10000,7500,
14,12,拳套,Commonicon,UI_CommonIcon_Kezhibiao_Icon_11.png,10000,10000,7500,32010
15,13,乐器,Commonicon,UI_CommonIcon_Kezhibiao_Icon_12.png,7500,10000,7500,72010
16,14,鞭子,Commonicon,UI_CommonIcon_Kezhibiao_Icon_13.png,7500,10000,7500,72110
17,15,书,Commonicon,UI_CommonIcon_Kezhibiao_Icon_09.png,10000,10000,10000,42010
