ID,EventType,EventTime,ActivityEventTime,EventScene,TargetID,Comment,LocalizationArea
事件ID,事件类型（1.刷新MVP）,事件时间配置（1. 1=0=3600“单位秒 固定时间刷新60分钟”2.  2=3600=7200“单位秒随机时间刷新，60-120分钟内随机”）,有活动时刷新时间,事件场景,事件目标ID,策划备注,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配2+8=10)
1,1,1=0=7200,1=0=5400,13,1032,天使波利（波利岛）,0
2,1,1=0=7200,1=0=5400,8,1012,哥布林首领（哥布林森林）,0
3,1,1=0=7200,1=0=5400,13,1021,恶魔波利（波利岛）,0
4,1,1=0=7200,1=0=5400,503,3001,黄金虫（下水道2）,0
5,1,1=0=7200,1=0=5400,502,1041,巴风特（北森）,0
6,1,1=0=7200,1=0=5400,507,1103,海盗之王（沉船1）,0
7,1,1=0=7200,1=0=5400,38,1113,皮里恩（苏克拉特南部）,0
8,1,1=0=7200,1=0=5400,506,1116,蚁后,0
9,1,1=0=7200,1=0=5400,17,1121,蜂后（花园）,0
10,1,1=0=7200,1=0=5400,512,1107,俄赛里斯（金字塔2）,0
11,1,1=0=7200,1=0=5400,34,1135,兽人英雄（兽人村）,0
12,1,1=0=7200,1=0=5400,34,1187,兽人酋长（兽人村）,0
13,1,1=0=7200,1=0=5400,67,1196,虎王（斐杨树林深处）,0
14,1,1=0=7200,1=0=5400,515,1200,德古拉男爵,0
15,1,1=0=7200,1=0=5400,514,1202,月夜猫,0
16,1,1=0=7200,1=0=5400,517,1237,法老王,0
17,1,1=0=7200,1=0=5400,520,1144,死灵（吉芬塔3层）,0
18,1,1=0=7200,1=0=5400,55,1363,凯美拉,0
19,1,1=0=7200,1=0=5400,527,1365,鹗枭男爵,0
20,1,1=0=7200,1=0=5400,529,1364,黑暗之王,0
21,1,1=0=7200,1=0=5400,533,1366,血腥骑士,0
22,1,1=0=7200,1=0=5400,82,1540,卡仑,9
23,1,1=0=7200,1=0=5400,539,1542,冰暴骑士,9
24,1,1=0=7200,1=0=5400,535,1541,时间管理人,9
25,1,1=0=7200,1=0=5400,544,1631,半龙人,9
26,1,1=0=7200,1=0=5400,541,1630,塔奥群卡,9
27,1,1=0=7200,1=0=5400,202,1816,阿特罗斯 ,9
28,1,1=0=7200,1=0=5400,545,1817,伊芙利特,9
