ID,Name,Atlas,ExpressionName,Type,Width
id,备注名称（策划用）,表情图集,头顶表情Sprite名,表情包归类,表情占用宽度 前端用
1,晕,Emoji,ui_EmojiA_13.png,1,1
2,惊呆,Emoji,ui_EmojiA_09.png,1,1
3,嘤嘤嘤,Emoji,ui_EmojiA_08.png,1,1
4,卖萌,Emoji,ui_EmojiA_07.png,1,1
5,大哭,Emoji,ui_EmojiA_12.png,1,1
6,生气,Emoji,ui_EmojiA_06.png,1,1
7,震惊,Emoji,ui_EmojiA_03.png,1,1
8,邪恶,Emoji,ui_EmojiA_02.png,1,1
9,害羞,Emoji,ui_EmojiA_11.png,1,1
10,哭哭,Emoji,ui_EmojiA_05.png,1,1
11,平静,Emoji,ui_EmojiA_01.png,1,1
12,无语,Emoji,ui_EmojiA_10.png,1,1
13,开心,Emoji,ui_EmojiA_04.png,1,1
14,哥布林惊呆,Emoji,ui_EmojiA_14.png,2,1
15,焦虑,Emoji,ui_EmojiA_15.png,2,1
16,沮丧,Emoji,ui_EmojiA_16.png,2,1
17,想美事,Emoji,ui_EmojiA_17.png,2,1
18,眼馋,Emoji,ui_EmojiA_18.png,2,1
19,恶作剧,Emoji,ui_EmojiA_19.png,2,1
20,得意,Emoji,ui_EmojiA_20.png,2,1
21,搞砸了,Emoji,ui_EmojiA_21.png,2,1
22,不听不听,Emoji,ui_EmojiA_22.png,2,1
23,坏笑,Emoji,ui_EmojiA_23.png,2,1
24,陶醉,Emoji,ui_EmojiA_24.png,2,1
25,气炸,Emoji,ui_EmojiA_25.png,2,1
26,恶魔波利委屈,Emoji,ui_EmojiA_26.png,3,1
27,愤怒,Emoji,ui_EmojiA_27.png,3,1
28,疑惑,Emoji,ui_EmojiA_28.png,3,1
29,假装开心,Emoji,ui_EmojiA_29.png,3,1
30,无语,Emoji,ui_EmojiA_30.png,3,1
31,期待,Emoji,ui_EmojiA_31.png,3,1
32,亲亲,Emoji,ui_EmojiA_32.png,3,1
33,尴尬,Emoji,ui_EmojiA_33.png,3,1
34,感动,Emoji,ui_EmojiA_34.png,3,1
35,狡猾,Emoji,ui_EmojiA_35.png,3,1
36,犯困,Emoji,ui_EmojiA_36.png,3,1
37,加油,Emoji,ui_EmojiA_37.png,3,1
38,sorry,DynamicExpression,sorry_{0}.png,10,1.8
39,打哈欠,DynamicExpression,haqian_{0}.png,10,1.8
40,过来,DynamicExpression,come_{0}.png,10,1.8
41,好吃,DynamicExpression,haochi_{0}.png,10,1.8
42,摸摸头,DynamicExpression,motou_{0}.png,10,1.8
43,瞪眼生气,DynamicExpression,angry_{0}.png,10,1.8
44,叹气,DynamicExpression,tanqi_{0}.png,10,1.8
45,头晕,DynamicExpression,yun_{0}.png,10,1.8
46,乌云,DynamicExpression,wuyun_{0}.png,10,1.8
47,无表情,DynamicExpression,wubiaoqing_{0}.png,10,1.8
