EyeID,EyeName,EyeAtlas,EyeIcon,SexLimit,SortID,EyeModel,EyePrice,UseItem,UsedForCreate,Hide,AttrLuxury,AttrMaturity,AttrElegancy,AttrRomance,AttrDarkTone,LocalizationArea
眼睛ID,名称,图集,图标,性别限制（0男1女2无性别）,排序ID,贴图,价格（101铜币 102喵喵果实）,使用道具解锁,是否创角用,是否在理发店隐藏（1隐藏）,简约-100<=>华丽100,活泼-100<=>成熟100,邪气-100<=>正义100,清凉-100<=>保暖100,亮色-100<=>暗色100,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加）
6030001,豆豆眼,Cosmetology_M,UI_Cosmetology_M_02.png,0,8,0,101=20000,,1,,-50,-50,50,50,0,
6030002,叛逆少年,Cosmetology_M,UI_Cosmetology_M_03.png,0,7,3,101=20000,,1,,50,-50,-50,-50,0,
6030003,冷漠脸,Cosmetology_M,UI_Cosmetology_M_06.png,0,6,5,101=20000,,1,,-50,50,-50,-50,0,
6030004,高冷脸,Cosmetology_M,UI_Cosmetology_M_01.png,0,5,4,101=20000,,1,,-50,50,50,-50,0,
6030005,酷BOY,Cosmetology_M,UI_Cosmetology_M_07.png,0,4,12,101=20000,,1,,-50,50,-50,-50,0,
6030006,深沉脸,Cosmetology_M,UI_Cosmetology_M_05.png,0,3,13,101=20000,,1,,50,50,-50,50,0,
6030007,无辜眼,Cosmetology_M,UI_Cosmetology_M_08.png,0,2,14,101=20000,2061501=2,0,,50,-50,50,50,0,
6030008,坚毅目光,Cosmetology_M,UI_Cosmetology_M_04.png,0,1,15,101=20000,101=30000,0,,50,-50,50,50,0,
6030009,困倦,Cosmetology_M,UI_Cosmetology_M_09.png,0,9,11,101=20000,2061502=2,0,,50,-50,50,50,0,9
6031001,豆豆眼,Cosmetology_F,UI_Cosmetology_F_01.png,1,8,0,101=20000,,1,,-50,-50,50,50,0,
6031002,叛逆少女,Cosmetology_F,UI_Cosmetology_F_04.png,1,7,3,101=20000,,1,,50,-50,-50,-50,0,
6031003,冷若冰霜,Cosmetology_F,UI_Cosmetology_F_03.png,1,6,4,101=20000,,1,,50,50,-50,50,0,
6031004,怦然心动,Cosmetology_F,UI_Cosmetology_F_05.png,1,5,5,101=20000,,1,,50,-50,50,50,0,
6031005,酷GIRL,Cosmetology_F,UI_Cosmetology_F_08.png,1,4,12,101=20000,,1,,-50,50,-50,-50,0,
6031006,高冷脸,Cosmetology_F,UI_Cosmetology_F_06.png,1,3,13,101=20000,2062501=2,0,,-50,50,50,-50,0,
6031007,无辜眼,Cosmetology_F,UI_Cosmetology_F_02.png,1,2,14,101=20000,101=30000,0,,50,-50,50,50,0,
6031008,冷漠脸,Cosmetology_F,UI_Cosmetology_F_07.png,1,1,15,101=20000,,1,,-50,50,-50,-50,0,
6031009,困倦,Cosmetology_F,UI_Cosmetology_F_09.png,1,9,11,101=20000,2061502=2,0,,-50,50,-50,-50,0,9
6032000,默认,,,0,,0,,,0,1,,,,,,
6032001,眨眼,,,0,,1,,,0,1,,,,,,
6032002,不务正业的诗人,,,0,,2,,,0,1,,,,,,
6032003,圣职人员,,,0,,3,,,0,1,,,,,,
6032004,斐杨商人,,,0,,4,,,0,1,,,,,,
6032005,嘴笨诗人,,,0,,5,,,0,1,,,,,,
6032006,塔乐猫商人,,,0,,6,,,0,1,,,,,,
6032007,瑞安,,,0,,7,,,0,1,,,,,,
6033000,默认,,,1,,0,,,0,1,,,,,,
6033001,眨眼,,,1,,1,,,0,1,,,,,,
6033002,露克希蓝,,,1,,9,,,0,1,,,,,,
6033003,露克希红,,,1,,9,,,0,1,,,,,,
6033004,引导员,,,1,,9,,,0,1,,,,,,
6033005,梦罗克商人,,,1,,5,,,0,1,,,,,,
