MajorId,Name,SystemIcon,Tips
主键,玩法名字,插图,介绍
1,圣歌试炼,ui_Howtoplay_Weituo01.png,
2,迷雾之森,ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png,
3,黑暗迷宫,ui_Howtoplay_Yiji01.png|ui_Howtoplay_Yiji02.png|ui_Howtoplay_Yiji03.png,靠近燃烧的火盆后可以点燃火把，带着点燃的火把靠近熄灭的火盆可以将火盆点燃。|远离火盆范围后，火把会逐渐熄灭。火把完全熄灭后会陷入黑暗，需立即回到点亮的火盆处。|遗迹中散布着隐藏在黑暗中的怪物，注意躲避，点亮10个火盆即可获得胜利。如果跨凌晨5点完成副本，将以次日委托是否有该玩法为准来计算奖励，并不会产生委托券上的损失。
4,躲避球,ui_Howtoplay_Lingqiao01.png|ui_Howtoplay_Lingqiao02.png|ui_Howtoplay_Lingqiao03.png,这里是技能密布的修罗场，角色拥有初始生命值。|需要通过移动来躲避四周散发出来的技能，每被技能击中都会扣除相应生命值。|在进度条结束时存活即可通关，在最后关头出现更多的技能和陷阱，只有一个目标，活下去！如果跨凌晨5点完成副本，将以次日委托是否有该玩法为准来计算奖励，并不会产生委托券上的损失。
5,教国谍影,ui_Howtoplay_Dieying01.png|ui_Howtoplay_Dieying02.png|ui_Howtoplay_Dieying03.png,跟踪教国的间谍，保持适当的距离监视其行踪。|注意既不能丢失目标也不要引起怀疑，警戒条代表着被跟踪者的警惕程度。|期间可能会遇到各种阻碍，需要操作角色解决障碍，但记住，像鹰一样敏锐，像影子一样安静。如果跨凌晨5点完成副本，将以次日委托是否有该玩法为准来计算奖励，并不会产生委托券上的损失。
6,钓鱼/采集,ui_Howtoplay_Weituo01.png,
7,无导航拍照,ui_Howtoplay_Yanlu01.png|ui_Howtoplay_Yanlu02.png,接取任务后，点击任务导航栏可以查看照片缩略图。|来到目标附近后，普通模式下打开相机，对焦点变绿时拍摄即可完成目标拍摄啦。
8,收集道具,ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png,
9,魔物试炼,ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png,
10,生命的奇迹,ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png,
11,诗人阿戴尔,ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png,
12,高级魔物研究,ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png,
13,幻化成商,ui_Howtoplay_Plaoshang02.png|ui_Howtoplay_Maoyi01.png|ui_Howtoplay_Maoyi02.png,接取任务后，点击任务导航栏任务打开贸易小地图，选择想要交易的商人后，可以自动寻路到该商人处。|在各个商人处进行买卖交易，达到规定数量波利币后可以提交贸易任务。|在野外偶尔会遇到一些不务正业的诗人，他们会提供一些小道消息哦。
