ItemID,ItemName,GiftType,FriendDegree
道具ID,道具名称（策划看）,礼物标签（0物品 1材料 2纹章 3特殊）,需求友好度
3040012,煤炭,0,0
3040005,火灵原石,0,0
3040006,水灵原石,0,0
3040007,土灵原石,0,0
3040008,风灵原石,0,0
1290004,空瓶,1,5
1290014,杰勒比结晶,1,5
1290015,三叶幸运草,1,5
1290008,昆虫外壳,1,5
1290018,粘稠液体,1,5
1290011,坚硬外皮,1,5
1290013,苹果汁,1,5
1290017,动物外皮,1,5
1290016,柔毛,1,5
1290003,玛哪树枝,1,5
1290007,加勒结晶,1,5
1290010,死人遗骨,1,5
1290009,雪勒结晶,1,5
1290012,剎勒空结晶,1,5
1290054,珊瑚,1,5
1290001,腐烂绷带,1,5
1290005,亡者遗物,1,5
1290069,葡萄,1,5
1290070,苹果,1,5
1290042,酒精,1,5
1280004,玻璃珠,1,5
1280007,光粒,1,5
1280011,慧眼,1,5
1280002,布里刊,1,5
1290002,黄玉碎片,1,5
1290006,赛依伐,1,5
1290043,蜂蜜,1,5
1280008,巨大杰勒比结晶,1,5
1290053,透明之布,1,5
1290058,羽毛,1,5
1290062,破旧书页,1,5
1290057,植物梗,1,5
1290059,硬角,1,5
1290061,锐利鳞片,1,5
1290056,巨大雪勒结晶,1,5
1290060,石心,1,5
1290063,冰碎块,1,5
1290064,冰结晶,1,5
1290065,熊掌,1,5
1290066,螳螂臂,1,5
1290067,人鱼鳞片,1,5
1290068,背鳍,1,5
1290079,老旧汤匙,1,5
1290080,行刑者手套,1,5
1290081,白云母,1,5
1290082,黑云母,1,5
1290083,红色领巾,1,5
1290084,圆形外皮,1,5
1290085,红色蜡烛,1,5
1290092,红色流苏,1,5
1290093,结实的藤,1,5
1290094,西纳雷叶子,1,5
1290095,冰块一角,1,5
1290096,青苹果,1,5
1290097,柠檬,1,5
1290101,触须,1,5
1290102,菠萝,1,5
1290103,甜瓜,1,5
1290098,蛤蜊肉,1,5
1290099,蛤蜊外壳,1,5
1290100,螃蟹外壳,1,5
1290112,龙皮,1,5
1290113,老旧的铁板 ,1,5
1290114,砂团,1,5
1290115,昆虫的尾巴,1,5
1290116,昆虫的长腿 ,1,5
1290117,粉尘,1,5
1290036,大嘴鸟之羽,0,10
1290041,柔软的羽毛,0,10
3090006,青绿宝石,0,10
3090001,白宝石,0,10
1270008,小恶魔翅膀,0,10
1270007,欧拉欧拉,0,10
1290037,怀表,0,10
1290039,蜜饯香蕉,0,10
1290029,蜂胶,0,10
1290031,围兜兜,0,10
1280010,诅咒红宝石,0,10
1270003,紫宝石,0,10
1270009,永恒玫瑰,0,10
3090004,黄宝石,0,10
1280006,兽人战士之证,0,10
3090008,天蓝宝石,0,10
1290030,发亮鳞片,0,10
3090002,绿宝石,0,10
1280005,黑猫娃娃,0,10
1290035,恶魔角,0,10
1280001,神之手,0,10
1290071,人鱼之牙,0,10
1290072,年老的树枝,0,10
1290090,魔女之星沙,0,10
1290091,老旧魔法图,0,10
1290077,回忆书签,0,10
1290078,红色相框,0,10
1290104,辉石,0,10
1290110,七彩羽毛,0,10
1290111,燃烧的心脏,0,10
3078011,力量药剂1星,0,10
3078014,智力药剂1星,0,10
3078017,敏捷药剂1星,0,10
3078020,灵巧药剂1星,0,10
3078023,体质药剂1星,0,10
3078026,幸运药剂1星,0,10
3054001,蒸蟹螯1星,0,10
3054101,口感爽滑的面1星,0,10
3054201,鲜虾汁1星,0,10
3054301,什锦饭团1星,0,10
3054401,热炒蛤蜊1星,0,10
3054501,蟹肉棒1星,0,10
3054601,金枪鱼串烧1星,0,10
3054701,鱼子酱1星,0,10
3054801,鲜贝粥1星,0,10
601,卢恩骑士团纹章,2,0
602,沙漠守望者纹章,2,0
603,造物者纹章,2,0
604,骑士团纹章,2,0
605,阿尔奇商盟纹章,2,0
606,米德加兹教廷纹章,2,0
607,商人公会纹章,2,0
608,探险家协会纹章,2,0
609,吉芬评议会纹章,2,0
1400001,幸运数字1,3,5
1400002,幸运数字2,3,5
1400003,幸运数字3,3,5
1400004,幸运数字4,3,5
1400005,幸运数字5,3,5
1400006,幸运数字6,3,5
1400007,幸运数字7,3,5
1400008,幸运数字8,3,5
1400009,幸运数字9,3,5
1400010,幸运数字10,3,5
1400011,幸运数字11,3,5
1400012,幸运数字12,3,5
1400013,幸运数字13,3,5
1400014,幸运数字14,3,5
1400015,幸运数字15,3,5
1400016,幸运数字16,3,5
1400017,幸运数字17,3,5
1400018,幸运数字18,3,5
1400019,幸运数字19,3,5
1400020,幸运数字20,3,5
1400021,幸运数字21,3,5
1400022,幸运数字22,3,5
1400023,幸运数字23,3,5
1400024,幸运数字24,3,5
1400025,幸运数字25,3,5
1400026,幸运数字26,3,5
1400027,幸运数字27,3,5
1400028,幸运数字28,3,5
1400029,幸运数字29,3,5
1400030,幸运数字30,3,5
1400031,幸运数字31,3,5
1400032,幸运数字32,3,5
1400033,幸运数字33,3,5
1400034,幸运数字34,3,5
1400035,幸运数字35,3,5
1400036,幸运数字36,3,5
1400037,幸运数字37,3,5
1400038,幸运数字38,3,5
1400039,幸运数字39,3,5
1400040,幸运数字40,3,5
1400041,幸运数字41,3,5
1400042,幸运数字42,3,5
1400043,幸运数字43,3,5
1400044,幸运数字44,3,5
1400045,幸运数字45,3,5
1400046,幸运数字46,3,5
1400047,幸运数字47,3,5
1400048,幸运数字48,3,5
1400049,幸运数字49,3,5
1400050,幸运数字50,3,5
3085002,装饰品,4,5
3085003,魔法结晶,4,5
3085004,小雪花,4,5
