Category,Name,Comment,Value
分类,名字,注释,值
触发器模式相机配置,CamTrgSpeedDis,相机触发器距离缓动速度,3
,CamTrgSpeedRotX,相机触发器方位角缓动速度,0.5
,CamTrgSpeedRotY,相机触发器仰角缓动速度,0.5
,AttkTime,围攻时候，攻击者过期时间,10
NPC,NpcShowTime,NPC随机特殊动作的播放时间（秒）,10=20
,NpcScriptTime,NPC自动问候脚本运行时间间隔（秒）,5=15
任务显示优先级,Task_Priority,任务显示优先级（任务状态=权重：权重越小，优先级越高）,2=1|5=5|1=10|0=20|4=30|3=40
,TaskTrackMaxNum,快捷任务面板最大追踪数,15
剧情,StoryWordNextTime,剧情文字显示下一行间隔时间（单位：秒）,0.5
,StoryFadeOutTime,剧情淡出时间,0.1
,StoryFadeInTime,剧情淡入时间,0.1
,StoryPreloadMaxTime,剧情预加载最大时间,0.3
,RenameTask,改名任务ID,1000010
,NoviceScene,新手村场景ID（用于新手村保护）,31|32|33
,NoviceProtect,新手村离开保护（任务ID=任务状态=传送目标场景ID=X=Y=Z=朝向：当玩家上线的时候，检测玩家当前的任务信息，如果玩家当前的任务满足离开条件，但还是在新手村，则会传到指定点）,1000190=2=21=135=17.18=92=180|1000191=2=16=99.48=17.03=71.25=0|1000192=2=7=131.29=10.00=200.40=45|1000193=2=47=188.91=16.08=184.45=8.08|1000194=2=26=114.8=9.83=64.7=180|1000195=2=50=116.81=22.27=74.42=0
取名跨场景处理,NonameSeekNpc,未取名跨场景拦截寻路NPC,6060=31
任务对话框标点换行,PunctuationNewLine,当一行初始第一个是此处标点时，从上一行拉一个汉字下来,(\！|\？|\，|\。|\《|\》|\）|\：|\“|\‘|\、|\；|\+|\-)
一转任务相关,ChoiceJob,选择职业时各个职业对应的任务（子任务ID=职业ID）,1000181=2000|1000182=4000|1000183=3000|1000184=7000|1000185=5000|1000186=6000
自动对话任务过滤,TaskAutoRunFilter,该列表下的任务不会进行自动对话 （|分割）,-1
任务状态互斥,TaskMutuallyExclusizeState,变身状态下不可接取任务（任务1=状态1|任务2=状态2）,17000018=28
搬运状态保护时间,CarryConditionTime,进入搬运后计时，如果玩家啥也不干，达到这个时间点会解除搬运（单位，毫秒）,300000
起名任务常态npcid,ModifyNameNpcId,起名任务常态npcid,6060
出新手村坐热气球cutscene,SwitchSceneCutSceneId,出新手村坐热气球cutscene,12
任务与npc交互icon,NPCinteractiveIcon,任务与npc交互icon,UI_main_Interactive_Fumo.png
任务与npc交互范围,NPCinteractiveScope,任务与npc交互范围,3
任务刷删NPC透明渐变时间,NPCBornTransparentTime,NPC透明渐变出现消失时间,0.5
cutscene高宽度自适应,CUTSCENE_VIDEO_RATIO,cutscene高宽度自适应,1.775
按钮文字初始停留时长,TalkDlgBtnMoveStay,选项按钮超框执行走马灯效果前文本静止时间（秒）,1.5
按钮文字滚动速度,TalkDlgBtnMoveSpeed,选项按钮内文本执行走马灯效果时的移动速度（像素/秒）,20
按钮文字到底停留时长,TalkDlgBtnMoveExit,选项按钮内文字全部滚动到底后的静止时间（秒）,1.5
重要任务,ImportantTask,控制触发对话时NPC默认对话和任务对话的显示优先级，NPC只挂有一个任务时在value中列举的任务类型直接触发任务对话,1|3|6|12
打字机速度,TypeWriterCharsPerSecond,打字机效果展示每个字符需要的时间（秒）,0.03
喊话页面每页停驻时长,TypeWriterStayTime,喊话界面每页显示的时长（秒），如超框则翻页,1.8
镜像保护,DungeonsOriginDistance,进入镜像的瞬间，如果进入点距离初始位置的距离比这个值大，会拉到初始进入点的这个位置,3.05
招募任务阵营判断的ID,WarriorRecruitCamp,1=tasidA|2=tasidB。表示只要接取了A任务就算玩家选择了吉永阵营，只要接取了B任务就算玩家选择了克勒亚阵营,1=25000011|2=25000012
招募任务征召值的计算比例,WarriorRecruitCampValue,这里填的是招募任务征召值的计算比例值（附征召值的计算公式是：征召值=活动期间获得的积分标准道具数量 * 招募任务征召值的计算比例）,10
