ID,GreatSecretID,GreatSecretName,EntityId,GreatSecretNormalAttribute
,大秘境副本ID,副本名称,怪物ID,普通怪难度
1,4001,普隆德拉下水道,5001,16876=79
2,4001,普隆德拉下水道,5002,31537=118
3,4001,普隆德拉下水道,5003,10876=79
4,4001,普隆德拉下水道,5004,32408=118
5,4001,普隆德拉下水道,5096,20324=79
6,4001,普隆德拉下水道,5005,50810=158
7,4001,普隆德拉下水道,5006,1051260=474
8,4001,普隆德拉下水道,5007,10014=79
9,4001,普隆德拉下水道,5008,21025=39
10,4001,普隆德拉下水道,5013,31537=118
11,4001,普隆德拉下水道,5043,21025=39
12,4001,普隆德拉下水道,5042,105115579=39
13,4001,普隆德拉下水道,5044,21605=79
14,4001,普隆德拉下水道,5045,31537=118
15,4001,普隆德拉下水道,5047,21025=39
16,4001,普隆德拉下水道,7901,40070=197
17,4002,普隆德拉下水道,5001,23235=98
18,4002,普隆德拉下水道,5002,43455=147
19,4002,普隆德拉下水道,5003,14983=98
20,4002,普隆德拉下水道,5004,44673=147
21,4002,普隆德拉下水道,5096,27992=98
22,4002,普隆德拉下水道,5005,69980=197
23,4002,普隆德拉下水道,5006,1448507=591
24,4002,普隆德拉下水道,5007,13802=98
25,4002,普隆德拉下水道,5008,28970=49
26,4002,普隆德拉下水道,5013,43455=147
27,4002,普隆德拉下水道,5043,28970=49
28,4002,普隆德拉下水道,5042,144836225=49
29,4002,普隆德拉下水道,5044,29782=98
30,4002,普隆德拉下水道,5045,43455=147
31,4002,普隆德拉下水道,5047,28970=49
32,4002,普隆德拉下水道,7901,55216=246
33,4002,词缀entity,7901,30231=90
34,4002,词缀：逝者之碑邪骸弓箭手,2003531,30231=90
35,4002,词缀：逝者之碑邪骸士兵,2003532,30231=90
36,4002,词缀：逝者之碑邪骸兽人,2003533,30231=90
37,4003,普隆德拉下水道,5001,10868=54
38,4003,普隆德拉下水道,5002,21666=90
39,4003,普隆德拉下水道,5003,11208=72
40,4003,普隆德拉下水道,5004,16699=108
41,4003,普隆德拉下水道,5096,20943=72
42,4003,普隆德拉下水道,5005,31414=84
43,4003,普隆德拉下水道,5006,974997=360
44,4003,普隆德拉下水道,5007,10403=72
45,4003,普隆德拉下水道,5008,17606=36
46,4003,普隆德拉下水道,5013,23475=90
47,4003,普隆德拉下水道,5043,17606=36
48,4003,普隆德拉下水道,5042,117366887=36
49,4003,普隆德拉下水道,5044,11133=72
50,4003,普隆德拉下水道,5045,23475=90
51,4003,普隆德拉下水道,5047,17606=36
52,4003,普隆德拉下水道,7901,17606=36
53,4004,普隆德拉下水道,5001,14905=66
54,4004,普隆德拉下水道,5002,29736=110
55,4004,普隆德拉下水道,5003,15379=88
56,4004,普隆德拉下水道,5004,22927=133
57,4004,普隆德拉下水道,5096,28731=88
58,4004,普隆德拉下水道,5005,43096=102
59,4004,普隆德拉下水道,5006,1338120=443
60,4004,普隆德拉下水道,5007,14256=88
61,4004,普隆德拉下水道,5008,24194=44
62,4004,普隆德拉下水道,5013,32258=110
63,4004,普隆德拉下水道,5043,24194=44
64,4004,普隆德拉下水道,5042,161278865=44
65,4004,普隆德拉下水道,5044,15285=88
66,4004,普隆德拉下水道,5045,32258=110
67,4004,普隆德拉下水道,5047,24194=44
68,4004,普隆德拉下水道,7901,24194=44
69,4005,普隆德拉下水道,5001,19243=93
70,4005,普隆德拉下水道,5002,38411=156
71,4005,普隆德拉下水道,5003,19863=125
72,4005,普隆德拉下水道,5004,29624=187
73,4005,普隆德拉下水道,5096,37102=125
74,4005,普隆德拉下水道,5005,55653=142
75,4005,普隆德拉下水道,5006,1728501=625
76,4005,普隆德拉下水道,5007,18394=125
77,4005,普隆德拉下水道,5008,31279=62
78,4005,普隆德拉下水道,5013,41706=156
79,4005,普隆德拉下水道,5043,31279=62
80,4005,普隆德拉下水道,5042,208512365=62
81,4005,普隆德拉下水道,5044,19749=125
82,4005,普隆德拉下水道,5045,41706=156
83,4005,普隆德拉下水道,5047,31279=62
84,4005,普隆德拉下水道,7901,31279=62
85,4011,沉船迷宫,5206,34053=173
86,4011,沉船迷宫,5207,67058=144
87,4011,沉船迷宫,5208,53649=129
88,4011,沉船迷宫,5209,28956=144
89,4011,沉船迷宫,5210,125181=216
90,4011,沉船迷宫,5211,73965=722
91,4011,沉船迷宫,5212,14886=57
92,4011,沉船迷宫,5201,938547=866
93,4011,沉船迷宫,5216,44379=722
94,4011,沉船迷宫,5217,17026=86
95,4011,沉船迷宫,5218,40235=144
96,4011,沉船迷宫,5219,18097=144
97,4011,沉船迷宫,5221,8932=72
98,4011,沉船迷宫,7901,69953=361
99,4012,沉船迷宫,5206,39473=205
100,4012,沉船迷宫,5207,77616=171
101,4012,沉船迷宫,5208,62207=154
102,4012,沉船迷宫,5209,33575=171
103,4012,沉船迷宫,5210,145150=257
104,4012,沉船迷宫,5211,85727=856
105,4012,沉船迷宫,5212,17259=68
106,4012,沉船迷宫,5201,1092256=1028
107,4012,沉船迷宫,5216,51436=856
108,4012,沉船迷宫,5217,19736=102
109,4012,沉船迷宫,5218,46569=171
110,4012,沉船迷宫,5219,20984=171
111,4012,沉船迷宫,5221,10355=85
112,4012,词缀entity,7901,30231=90
113,4012,词缀：逝者之碑邪骸弓箭手,2003531,30231=90
114,4012,词缀：逝者之碑邪骸士兵,2003532,30231=90
115,4012,词缀：逝者之碑邪骸兽人,2003533,30231=90
116,4012,沉船迷宫,7901,81118=428
