Setting,Comment,Value
事项,注释,值
BanquetStartTime,宴会开始时间,2000
BanquetCookingTime,烹饪阶段时间,2000
BanquetSetupTime,准备阶段时间,2007
BanquetTasteTime,品尝阶段时间,2010
BanquetEndTime,结束时间,2020
BanquetNpcId,宴会活动npcid,6000
CookUrgentMenuTime,烹饪加急菜谱出现时间点,60|90
CookUrgentMenuPossibility,烹饪加急菜谱出现概率（基数10000）,5000
CookPerfectPotTime,烹饪完美时间段（单位秒）,5=15
CookRandomTime,烹饪随机事件事件点,25|75|115
CookRandomTimeAddtion,烹饪增加时长（单位秒）,15
CookRandomPossibility,烹饪随机事件触发几率（基数10000）,4000
CookRandomTimesLimit,烹饪随机事件触发次数上限,2
CookSingleFoodScore,烹饪单个食材分数,50
CookUrgentMenuScore,烹饪紧急菜单分数,100
CookPerfectPotScore,烹饪完美下锅分数,50
CookAddTimeBuff,加时间buff的拾取物id,141
CookoffGroupingInterval,烹饪比赛公会区间数,8
CookoffGroupingNum,烹饪比赛公会分组数,4
CookoffScoreCount,烹饪比赛成绩计算样本数,20
CookoffExpReward,烹饪比赛经验奖励加成（1~4名）（基数10000）,1=8000|2=6000|3=4000|4=2000
CookoffEndTime,烹饪比赛计算时间,2010
CookoffGroupRewardMes,烹饪比赛公会成绩公告ID,62038
CookoffPersonalRewardMes,烹饪比赛个人成绩公告ID,62039
CookoffFirstTitle,烹饪比赛个人成绩第一档,1
CookoffSecondTitle,烹饪比赛个人成绩第二档,2|3
CookoffThirdTitle,烹饪比赛个人成绩第三档,4|5|6|7|8|9|10
CookoffFirstTitleText,"烹饪比赛""烹饪之神""称号文字",COOKOFF_FIRST_TITLE
CookoffSecondTitleText,"烹饪比赛""烹饪大师""称号文字",COOKOFF_SECOND_TITLE
CookoffThirdTitleText,"烹饪比赛""优秀厨师""称号文字",COOKOFF_THIRD_TITLE
CookoffFirstTitleItem,"烹饪比赛""烹饪之神""称号道具id",1059001
CookoffSecondTitleItem,"烹饪比赛""烹饪大师""称号道具id",1059002
CookoffThirdTitleItem,"烹饪比赛""优秀厨师""称号道具id",1059003
CookoffTitleItemMail,烹饪比赛称号道具邮件补发,5102
CookOrderMinTime,烹饪订单最小刷新间隔时间，秒,2
CookBoxMoveTime,烹饪食材箱移动时间点,50|80|110
CookCooker1AndPlate,烹饪NPC1对应的waveID,4|6=7=8=9
CookCooker2AndPlate,烹饪NPC2对应的waveID,5|10=11=12=13
CookNpcEatBeginTime,烹饪触发NPC厨子偷吃前置时间,10
CookNpcEatScanTime,烹饪触发NPC厨子扫描判定时间,15|20
CookNpcAlertTime,烹饪触发NPC厨子警戒时间,5
CookNpcRadius,烹饪NPC厨子触发偷吃范围（半径）,2
CookNpcEatCDTime,烹饪NPC偷吃后的CD时间，秒,20
CookNpcEatSoloCD,烹饪NPC偷吃单人触发次数上限,3
CookNpcEatTeamCD,烹饪NPC偷吃组队触发次数上限,5
CookFoodSpeedRising,烹饪持有食材速度上升（万分比）,12000
CookEmptySpeedRising,烹饪移动速度上升（万分比）,15000
CookEmptySpeedBUFF,烹饪移动速度buffID,921801
CookBonusTime,烹饪bonus触发时间（开始结束时间）,120|140
CookBonusFoodNo,烹饪bonus随机生成食材数量,4
CookBonusFoodWeight,烹饪bonus随机生成食材和厨神食材通用,1122=25|1123=25|1124=25|1125=25
CookMenuHint,烹饪菜单剩余闪红时间（万分比）,5000|2000
CookLuckyStableTime,烹饪固定触发厨神随机时间，秒,5|10
CookLuckyGodChance,烹饪厨神事件概率（万分比）,5000
CookBuffFoodWeight,烹饪厨神事件buff和食材的权重,60|40
CookLuckyGodCD,烹饪厨神事件CD事件，秒,15
CookLuckyBUFFWeight,烹饪厨神速度和加速buff对应权重(关联Doodad),141=20|142=80
CookLuckySpeedBUFF,烹饪厨神Bonus速度buffID,938201
CookLuckyBgmSpeed,烹饪厨神Bonus时BGM的倍速,1.5
CookLuckyTimeBUFF,烹饪厨神加时buffID,921701
CookLuckyBUFFLocation,烹饪空地BUFF和食材刷新坐标,17.87=1.83=10.45=0.3|9=1.83=9.52=0.3|17.87=1.83=5.79=0.3|9=1.83=5.79=0.3
CookLuckyBUFFTime,烹饪空地刷新BUFF存在时间，秒,12
CookLuckyMaterialTime,烹饪空地刷新食材存在时间，秒,12
CookGameBUFFScore,烹饪吃到单个BUFF获得分数,30
CookGameBuffTlog,烹饪tlog记录刷新次数的buffID,921701
BanquetChampagneNpc,宴会香槟使者NPCID,6037
