ContentID,ContentOfTab,ContentSort,ContentName,ContentLevText,ContentTimeText,ButtonTextType,TextualDescription,PicAtlas,PicIcon,IsOpen,TipsContent,OpenSystemId
内容ID,内容页签（1福利2活动）,内容排序,内容名,等级描述,时间描述,按钮文字（1前往2查看3发放,文本描述,图标图集,图标位置,是否开启,弹出tips文本内容,系统ID
1,1,2,公会贩卖机,,,1,公会百宝箱，什么都有哦,GuildWelfare,UI_GuildWelfare_Icon_Zidongfanmaiji.png,1,,7007
2,1,5,每周福利,,,2,小伙伴们记得每周来领一次福利~,GuildWelfare,UI_GuildWelfare_Icon_Fenhong.png,1,,
3,2,4,公会宴会,16级,周二、四、六20:00～20:20,1,<color=$$Yellow$$>周二、四、六20:00—20:20</color>\r\n一起双人烹饪吧~泡点有经验哦,GuildWelfare,UI_GuildWelfare_Icon_Yanhui.png,1,,7000
4,1,1,华丽水晶,,,1,华丽水晶啊，赐予我力量吧,GuildWelfare,UI_GuildWelfare_Icon_Hualishujing.png,1,,7008
5,1,4,公会礼盒,,,3,会长发礼盒咯，大家注意查收,GuildWelfare,UI_GuildWelfare_Icon_Lihe.png,1,,
6,1,7,,,,,,,,0,,
7,2,9,,,,,,,,0,,
8,2,5,公会狩猎,,由会长副会长开启,2,组队进行狩猎，赢取丰厚奖励,GuildWelfare,UI_GuildWelfare_Icon_Gonhuishoulie.png,1,,7009
9,1,3,公会仓库,,,2,存放着公会物资，周末开放拍卖,GuildWelfare,UI_GuildWelfare_Icon_Gonghuicangku.png,1,1.公会狩猎、公会匹配赛以及公会组织手册都能产出战利品，公会表现越好，获得特殊物资概率越高。\n2.公会战利品会存放在公会仓库中，并会在周六20:00到周日22:00公开拍卖。,
10,2,6,公会匹配赛,,<color=$$Yellow$$>每周二19:00~19:55开放报名</color>,1,为了公会的荣誉而战吧！,GuildWelfare,UI_GuildWelfare_Icon_PiPeiSai.png,1,,15101
11,2,3,纪念原石,,,2,想要纪念币和纪念纹章吗？一起雕刻原石吧,GuildWelfare,UI_GuildWelfare_Icon_YuanShi.png,1,,7014
12,2,1,皇室竞赛,,,2,皇室举办的公会间竞赛，多多攒积分吧,GuildWelfare,UI_GuildWelfare_Icon_PaiMing.png,1,,7015
13,2,2,组织手册,,,2,收集公会道具，为公会组织发展贡献力量,GuildWelfare,UI_GuildWelfare_Icon_Gonhuishouce.png,1,,
14,2,7,时空调查团,,每天12:00-24:00,1,组队参与时空副本，赢取丰厚奖励,GuildWelfare,UI_GuildWelfare_Icon_Shikongdiaochatuan.png,1,,5130
15,2,8,攻城战,,每周日20:50~22:00,2,与众多公会争夺城池，收获奖励和荣誉！,GuildWelfare,UI_GuildWelfare_Icon_GVG.png,1,,15201
16,1,6,城主房间,,,1,每天都可进入房间获得一次宝箱奖励哦,GuildWelfare,UI_GuildWelfare_Icon_chengzhufangjian.png,1,,15209
