CrystalLevelId,CrystalId,CrystalLevel,isMaxLevel,CrystalBonuses,CrystalExpSpend,UpgradeCondition1,UpgradeCondition1Value,UpgradeCondition2,UpgradeCondition2Value
水晶等级,水晶ID,水晶等级,是否是最高级（0不是1是）,水晶属性加成,水晶消耗经验,升级条件1,升级条件1的值,升级条件2,升级条件2的值
101,1,1,0,0=25=0=20,80000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
102,1,2,0,0=25=0=24,160000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
103,1,3,0,0=25=0=28,240000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
104,1,4,0,0=25=0=32,320000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
105,1,5,0,0=25=0=36,600000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
106,1,6,0,0=25=0=40,800000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
107,1,7,0,0=25=0=44,1000000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
108,1,8,0,0=25=0=48,1200000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
109,1,9,0,0=25=0=52,1400000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
110,1,10,0,0=25=0=56,2040000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
111,1,11,0,0=25=0=60,2400000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
112,1,12,0,0=25=0=64,2760000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
113,1,13,0,0=25=0=68,3120000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
114,1,14,0,0=25=0=72,3480000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
115,1,15,0,0=25=0=76,4620000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
116,1,16,0,0=25=0=80,5180000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
117,1,17,0,0=25=0=84,5740000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
118,1,18,0,0=25=0=88,6300000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
119,1,19,0,0=25=0=92,6860000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
120,1,20,0,0=25=0=95,8800000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
121,1,21,0,0=25=0=98,9760000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
122,1,22,0,0=25=0=101,10720000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
123,1,23,0,0=25=0=104,11680000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
124,1,24,0,0=25=0=107,12640000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
125,1,25,1,0=25=0=110,,,,,
201,2,1,0,0=34=0=20,80000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
202,2,2,0,0=34=0=24,160000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
203,2,3,0,0=34=0=28,240000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
204,2,4,0,0=34=0=32,320000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
