Setting,Comment,Value
事项,注释,值
ApplicationListMaxNum,公会申请列表最大人数,30
UserApplicationMaxNum,玩家申请公会数上限,30
DeaconNum,执事数量,5
GuildNameChangeRecordLimit,公会名字最大记录次数,5
SearchShowLimit,搜索显示数量,20
NameLengthMaxLimit,公会名长度最大字数,7
NameLengthMinLimit,公会名长度最小字数,2
NoticeLengthMaxLimit,公告/招募宣言最大字数,80
OnekeyapplicationNum,一键申请公会数量,20
OnekeyapplicationCD,一键申请公会间隔时间（分钟）,5
NewsQuantityLimit,新闻数量上限,200
KickConsumeVitality,踢离线一定天数内玩家扣除元气值,3=5
GuildChairman,会长职称名,CHAIRMEN
GuildViceChairman,副会长职称名,VICECHAIRMAN
GuildDirector,理事职称名,DIRECTOR
GuildDeacon,执事职称名,DEACON
GuildBeauty,魅力担当职称名,BEAUTY
NumberOfViceChairman,副会长职位数,2
NumberOfDirector,理事职位数,4
NumberOfDeacon,执事职位数,6
MemberTitleLength,自定义职称长度,2=5
NumberOfBeauty,公会魅力担当人数,4
BeautyJoinTimeLimit,魅力担当加入公会时间限制（天）,5
BeautyActiveTimeLimit,魅力担当活跃度要求限制,100
BeautyGuildLevelLimit,魅力担当特权对公会娱乐室等级要求,3
BeautyBeGivenTimes,魅力担当额外被赠送头饰材料次数,10
GuildMemberInitialNum, 公会初始人数,80
GuildMemberInitialBankroll, 公会初始资金,1000000
GuildUpgradingDiamondCost,公会升级加速单次捐献货币数量,101=200000
GuildUpgradingDiamondAward,公会升级加速捐献喵喵果实获得贡献,50
GuildUpgradingDiamondTime,公会升级加速捐献喵喵果实加速时间（分）,10
GuildUpgradingGoodsCost,公会升级加速所需物品,2040001=1
GuildUpgradingGoodsAward,公会升级加速捐赠物品获得贡献,150
GuildUpgradingGoodsTime,公会升级加速捐赠物品加速时间（分）,30
GuildMemberWelfare,公会分红,1=22000|2=16000|3=12000|4=8000|5=12000|6=6000|7=6000|8=6000
GuildUpgradingNotice,公会升级公告,62013|62014|62016|62021|62022
GuildBankrollDayLimit,公会资金每日获取上限,1=26000000|2=28000000|3=32000000|4=37000000|5=41000000
GuildShopBuildingId,公会贩卖机建筑ID,2
GuildNewsTypeAtlasName,公会新闻图集,CommonIcon
GuildNewsTypeIconName,公会新闻类型图标（1|2|3）,UI_CommonIcon_GuildNews_Icon_01|UI_CommonIcon_GuildNews_Icon_02|UI_CommonIcon_GuildNews_Icon_03
GuildEquipRefineLevNotice,装备精炼进公会事件等级,8
GuildNoticeMailLimit,公会群发邮件字数限制,100
GuildNoticeMailCost,公会群发邮件元气消耗,100
GuildNoticeMailId,公会群发邮件ID,1004
GuildInvitedTime,邀请入会时间（秒）,10
CrystalWeekLimit,水晶升级每周限购数,1000
CrystalExpPrice,水晶升级经验单次购买价格,103=100
CrystalExpNum,水晶升级单次购买获得经验,10000
CrystalBlessingCost,水晶祈福铜币消耗,101=100000
CrystalBlessingContributionCost,水晶祈福使用贡献的消耗,101=50000|401=50
CrystalSpecifiedBlessingCost,指定祈福消耗倍率,2
CrystalBlessingEffectTime,祈福生效时间（小时）,48
CrystalChargeEffectTime,水晶充能生效时间（分钟）,20
CrystalChargeCost,水晶充能喵喵果实消耗,50
CrystalChargeEffect,水晶充能效果提升（百分比）,20
CrystalChargeRefreshCD,水晶充能刷新cd（秒）,5
CrystalExpPerTime,华丽水晶研究经验每X分钟涨一次,10
CrystalChargeMaxNum,水晶充能随机个数及概率,1=80|2=15|3=5
CrystalBlessingMaxNum,祈福获得属性条目最大个数,2
CrystalBlessingMinAttrProportion,祈福随机属性上限的最小值（百分比）,25
CrystalBuffID,华丽水晶祈福BuffID,610014001
ChairmanOffineTimeLimit,系统弹劾的会长下线时间（天）,10
NewChairmanOnlineTime,新任会长的上线时间（天）,3
GuildGiftBoxId,公会礼盒道具ID,2050002
GuildGiftBoxSpecialPack,公会礼盒打开稀有包PackId,2050002
GuildGiftBoxMessage,公会礼盒打开稀有道具信息,62034
GuildGiftBoxOpenCost,公会礼盒打开消耗,401=50
TalkActiveValuePerMounts,发言值每X条发言增加1点,5
TalkActiveValuePerWords,1条发言的有效字符数,10
RedPackActiveValue,1条红包的发言值,5
RedPackActiveValueLimit,红包获得发言值的上限,20
TalkActiveValueLimit,发言获得发言值的上限,40
SendBoxTimeLimit,加入公会未满X天的成员无法被发放礼盒,5
GiftBoxMailID,礼盒邮件ID,1005
CrystalNoticeMailId,水晶升级停止邮件,1007
WarehouseLevelLimit,公会仓库操作的公会等级限制,2
WarehouseTimeLimit,公会仓库操作的成员加入时间限制（天）,5
AuctionStartTime,系统生成拍卖清单时间,6=20=00
AuctionEndTime,系统清算拍卖时间,7=22=00
AuctionMinQuantity,系统生成拍卖最小数量限制,10
AuctionMaxQuantity,系统生成拍卖最大数量限制,15
AuctionRandomQuantity,仓库数大于最大数量时的随机生成数量,15=15
AuctionStartNoticeMailId,关注物品拍卖开始提醒邮件id,1008
AuctionChangeBiddingCd,拍卖修改竞价cd（秒）,600
AuctionCancelBiddingCd,拍卖取消竞拍cd（秒）,600
AuctionWinningBidderMailId,竞拍成功收到的邮件id,1009
AuctionFailedBidderMailId,竞拍失败收到的邮件id,1010
AuctionAbnormalMailId,拍卖非正常关闭的贡献返回邮件的id,1011
AucitonSelfRecordAmount,拍卖个人记录存储个数上限,100
AucitonGuildRecordAmount,拍卖公会记录存储个数上限,100
GuildKickNoticeMailId,被请离公会收到的通知邮件id,1012
GuildManualListDisplay,公会组织手册贡献列表展示玩家数,20
