Id,ofBuildingId,Level,Comment,isMaxLevel,BankrollCost,TimeCost,UpgradingLimits,MemberAddNum,BankrollAddMount,BlessingStudyLev,BlessingStudyExpPerHour,BlessingFreeActiveTimes,GiftBoxStorageLimits,WarehouseStorageLimits,SectionA,SectionAValue,SectionB,SectionBValue,SectionC,SectionCValue
编号,建筑,当前等级,注释,是否是最高等级（0不是1是）,升级资金消耗,升级时间消耗（天|时|分）,限制条件（建筑ID=建筑等级）,公会成员上限增加,资金上限,水晶研究上限,每小时研究经验,免费充能次数,礼盒存储上限,仓库物资存储上限,选项A,选项A值,选项B,选项B值,选项C,选项C值
101,1,1,大厅1级,0,31530000,1=0=0,,10,63060000,,,,,,公会成员上限+{0},10,公会资金上限从{0}到{1},63060000=189180000,其他建筑等级上限从Lv.{0}到Lv.{1},1=2
102,1,2,大厅2级,0,94590000,2=0=0,,20,189180000,,,,,,公会成员上限+{0},10,公会资金上限从{0}到{1},189180000=567560000,其他建筑等级上限从Lv.{0}到Lv.{1},2=3
103,1,3,大厅3级,0,283780000,3=0=0,,30,567560000,,,,,,公会成员上限+{0},10,公会资金上限从{0}到{1},567560000=1513520000,其他建筑等级上限从Lv.{0}到Lv.{1},3=4
104,1,4,大厅4级,0,756760000,4=0=0,,40,1513520000,,,,,,公会成员上限+{0},10,公会资金上限从{0}到{1},1513520000=1816224000,其他建筑等级上限从Lv.{0}到最高,4
105,1,5,大厅5级,1,,,,50,1816224000,,,,,,公会成员上限提升{0},50,公会资金上限提升至{0},1816224000,其他建筑等级上限提升到最高,
200,2,0,华丽水晶0级,0,7780000,0=6=0,1=1,,,,,,,,1级开启华丽水晶研究和祈福,,,,,
201,2,1,华丽水晶1级,0,15560000,0=12=0,1=2,,,5,40000,3,,,华丽水晶研究等级上限从{0}提升到{1},5=10,每小时研究经验从{0}提升到{1},40000=50000,华丽水晶免费充能次数从{0}提升到{1},3=4
202,2,2,华丽水晶2级,0,46670000,1=0=0,1=3,,,10,50000,4,,,华丽水晶研究等级上限从{0}提升到{1},10=15,每小时研究经验从{0}提升到{1},50000=60000,华丽水晶免费充能次数从{0}提升到{1},4=5
203,2,3,华丽水晶3级,0,140000000,1=12=0,1=4,,,15,60000,5,,,华丽水晶研究等级上限从{0}提升到{1},15=20,每小时研究经验从{0}提升到{1},60000=70000,华丽水晶免费充能次数从{0}提升到{1},5=6
204,2,4,华丽水晶4级,0,373330000,2=0=0,1=5,,,20,70000,6,,,华丽水晶研究等级上限从{0}提升到{1},20=25,每小时研究经验从{0}提升到{1},70000=80000,华丽水晶免费充能次数从{0}提升到{1},6=7
205,2,5,华丽水晶5级,1,,,,,,25,80000,7,,,华丽水晶研究等级上限提升到{0},25,每小时研究经验提升到{0},80000,华丽水晶免费充能次数提升到{0},7
300,3,0,贩卖机0级,0,7780000,0=6=0,1=1,,,,,,,,,,升级解锁更多新物品,,,
301,3,1,贩卖机1级,0,15560000,0=12=0,1=2,,,,,,,,,,升级解锁更多新物品,,,
302,3,2,贩卖机2级,0,46670000,1=0=0,1=3,,,,,,,,,,升级解锁更多新物品,,,
303,3,3,贩卖机3级,0,140000000,1=12=0,1=4,,,,,,,,,,升级解锁更多新物品,,,
304,3,4,贩卖机4级,0,373330000,2=0=0,1=5,,,,,,,,,,已解锁全部物品,,,
305,3,5,贩卖机5级,1,,,,,,,,,,,,,已解锁全部物品,,,
400,4,0,娱乐室0级,0,7780000,0=6=0,1=1,0,,,,,,,公会成员上限+{0},10,等级达到3级，解锁照片墙（未实装）,,等级达到5级，解锁音乐盒（未实装）,
401,4,1,娱乐室1级,0,15560000,0=12=0,1=2,10,,,,,,,公会成员上限+{0},10,等级达到3级，解锁照片墙（未实装）,,等级达到5级，解锁音乐盒（未实装）,
402,4,2,娱乐室2级,0,46670000,1=0=0,1=3,20,,,,,,,公会成员上限+{0},10,等级达到3级，解锁照片墙（未实装）,,等级达到5级，解锁音乐盒（未实装）,
403,4,3,娱乐室3级,0,140000000,1=12=0,1=4,30,,,,,,,公会成员上限+{0},10,已解锁照片墙（未实装）,,等级达到5级，解锁音乐盒（未实装）,
404,4,4,娱乐室4级,0,373330000,2=0=0,1=5,40,,,,,,,公会成员上限+{0},10,已解锁照片墙（未实装）,,等级达到5级，解锁音乐盒（未实装）,
405,4,5,娱乐室5级,1,,,,50,,,,,,,公会成员上限提升了{0},50,已解锁照片墙（未实装）,,已解锁音乐盒（未实装）,
500,5,0,仓库0级,0,7780000,0=6=0,1=1,,,,,,50,20,礼盒储存上限从{0}提升到{1},50=60,仓库物资存储上限从{0}提升到{1},20=25,,
501,5,1,仓库1级,0,15560000,0=12=0,1=2,,,,,,60,25,礼盒储存上限从{0}提升到{1},60=70,仓库物资存储上限从{0}提升到{1},25=30,,
502,5,2,仓库2级,0,46670000,1=0=0,1=3,,,,,,70,30,礼盒储存上限从{0}提升到{1},70=80,仓库物资存储上限从{0}提升到{1},30=35,,
503,5,3,仓库3级,0,140000000,1=12=0,1=4,,,,,,80,35,礼盒储存上限从{0}提升到{1},80=90,仓库物资存储上限从{0}提升到{1},35=40,,
504,5,4,仓库4级,0,373330000,2=0=0,1=5,,,,,,90,40,礼盒储存上限从{0}提升到{1},90=100,仓库物资存储上限从{0}提升到{1},40=50,,
505,5,5,仓库5级,1,,,,,,,,,100,50,礼盒储存上限提升到{0},100,仓库物资存储上限提升到{0},50,,
