ID,Sorting,Comment,CastleName,MiniMapPos,Scenes,GuildDungeon,EmperiumID,IsCenter,Flag,TreasureRoomSceneID,TreasureRoomRewardsPublic,TreasureRoomRewardsPersonal,AllyTreasureRoomSceneID,AllyTreasureRoomRewardsPublic,AllyTreasureRoomRewardsPersonal,Leaderboard,AttackTransPos,DefenseRevivePos,OpenSystemId
城池ID,排序,注释,城池名字,小地图坐标,场景,公会地城,华丽水晶的ID,是中心城池？,旗子的NPC ID,城主房间场景ID,城主宝箱公共奖励,领袖礼包|管理礼包|精英礼包|大众礼包,盟友城主房间场景ID,盟友城主宝箱公共奖励,领袖礼包|管理礼包|精英礼包|大众礼包,排行榜,攻方传送点（多个点随机）,守方复活点（默认华丽水晶房间）,OpenSystemTable的ID（功能开关用）
1,101,普隆德拉城池1,法德格林,23=31,1601|1602|1603,1,40501,1,50112,110,2091181,8300010=8300020=8300030=8300040,140,2091332,8301770=8301780=8301790=8301800,3000,1601=18|1601=19|1601=20|1601=21|1601=22|1601=23|1601=24|1601=25|1601=26|1601=27|1601=28,64,15220
2,102,普隆德拉城池2,斯科古尔,-67=92,1604|1605|1606,2,40501,,50113,111,2091182,8300070=8300080=8300090=8300100,141,2091333,8301830=8301840=8301850=8301860,3010,1601=18|1601=19|1601=20|1601=21|1601=22|1601=23|1601=24|1601=25|1601=26|1601=27|1601=28,64,15221
3,103,普隆德拉城池3,贡杜尔,110=92,1607|1608|1609,3,40501,,50114,112,2091182,8300070=8300080=8300090=8300100,142,2091333,8301830=8301840=8301850=8301860,3020,1601=18|1601=19|1601=20|1601=21|1601=22|1601=23|1601=24|1601=25|1601=26|1601=27|1601=28,64,15222
4,104,普隆德拉城池4,斯万希尔德,110=-62,1610|1611|1612,4,40501,,50115,113,2091182,8300070=8300080=8300090=8300100,143,2091333,8301830=8301840=8301850=8301860,3030,1601=18|1601=19|1601=20|1601=21|1601=22|1601=23|1601=24|1601=25|1601=26|1601=27|1601=28,64,15223
11,105,吉芬城池1,伊斯内尔孚,-120=68,1621|1622|1623,11,40502,1,50117,115,2091334,8301890=8301900=8301910=8301920,145,2091336,8302010=8302020=8302030=8302040,3050,1621=22|1621=23|1621=24|1621=25|1621=26|1621=27|1621=28|1621=29|1621=30,7,15225
12,106,吉芬城池2,贝尔格尔,-3=144,1624|1625|1626,12,40502,,50118,116,2091335,8301950=8301960=8301970=8301980,146,2091337,8302070=8302080=8302090=8302100,3060,1621=22|1621=23|1621=24|1621=25|1621=26|1621=27|1621=28|1621=29|1621=30,7,15226
13,107,吉芬城池3,约尔布利格,88=94,1627|1628|1629,13,40502,,50119,117,2091335,8301950=8301960=8301970=8301980,147,2091337,8302070=8302080=8302090=8302100,3070,1621=22|1621=23|1621=24|1621=25|1621=26|1621=27|1621=28|1621=29|1621=30,7,15227
14,108,吉芬城池4,梅塞兹德斯,71=-74,1630|1631|1632,14,40502,,50120,118,2091335,8301950=8301960=8301970=8301980,148,2091337,8302070=8302080=8302090=8302100,3080,1621=22|1621=23|1621=24|1621=25|1621=26|1621=27|1621=28|1621=29|1621=30,7,15228
21,109,斐扬城池1 命名参考：https://kaikashiki.wiki.fc2.com/wiki/Gv%20log%20Sara,佛影,-98=74,1641|1642|1643,21,40503,1,50122,120,2091181,8300010=8300020=8300030=8300040,150,2091332,8301770=8301780=8301790=8301800,3100,1641=65|1641=66|1641=67|1641=68|1641=69|1641=70|1641=71|1641=72,12,15230
22,110,斐扬城池2,竹林丘,38=82,1644|1645|1646,22,40503,,50123,121,2091182,8300070=8300080=8300090=8300100,151,2091333,8301830=8301840=8301850=8301860,3110,1641=65|1641=66|1641=67|1641=68|1641=69|1641=70|1641=71|1641=72,12,15231
23,111,斐扬城池3,明庭,163=92,1647|1648|1649,23,40503,,50124,122,2091182,8300070=8300080=8300090=8300100,152,2091333,8301830=8301840=8301850=8301860,3120,1641=65|1641=66|1641=67|1641=68|1641=69|1641=70|1641=71|1641=72,12,15232
24,112,斐扬城池4,天坛,60=-77,1650|1651|1652,24,40503,,50125,123,2091182,8300070=8300080=8300090=8300100,153,2091333,8301830=8301840=8301850=8301860,3130,1641=65|1641=66|1641=67|1641=68|1641=69|1641=70|1641=71|1641=72,12,15233
