ID,Desc,RandomProb
怪物库ID,策划备注,怪物和权重（0代表空）
1,波利,1001=1|1002=1|1003=1
2,哥布林,1013=1|1014=1|1015=1
3,猫猫狗狗,1020=1|1023=1
4,50%概率天波,0=1|1032=1
5,50%概率空,1103=1|1107=1|0=2
6,25%概率大巴,1041=1|0=3
101,普隆德拉小怪坑1,41006=1|41008=1|41013=1|41016=1
102,普隆德拉小怪坑2,41009=1|41011=1|41012=1|41015=1
103,普隆德拉小怪坑3,41001=1|41002=1|41010=1|41014=1
104,普隆德拉小怪坑4,41003=1|41004=1|41005=1|41007=1
105,普隆德拉小怪坑5*,41006=1|41008=1|41013=1|41016=1|41009=1|41011=1|41012=1|41015=1|41001=1|41002=1|41010=1|41014=1|41003=1|41004=1|41005=1|41007=1|0=5
106,普隆德拉Boss坑1,41032=3|41030=3|41017=2|41019=2|0=10
107,普隆德拉Boss坑2,41034=3|41023=3|41028=2|41026=2|0=10
201,吉芬小怪坑1,41201=1|41202=1|41215=1|41216=1
202,吉芬小怪坑2,41203=1|41204=1|41211=1|41213=1
203,吉芬小怪坑3,41205=1|41208=1|41212=1|41214=1
204,吉芬小怪坑4,41206=1|41207=1|41209=1|41210=1
205,吉芬小怪坑5*,41201=1|41202=1|41215=1|41216=1|41203=1|41204=1|41211=1|41213=1|41205=1|41208=1|41212=1|41214=1|41206=1|41207=1|41209=1|41210=1|0=5
206,吉芬Boss坑1,41230=3|41225=3|41221=2|41217=2|0=10
207,吉芬Boss坑2,41233=3|41232=3|41223=2|41219=2|0=10
301,斐扬小怪坑1,41301=1|41302=1|41312=1|41314=1
302,斐扬小怪坑2,41303=1|41307=1|41308=1|41313=1
303,斐扬小怪坑3,41304=1|41305=1|41306=1|41310=1
304,斐扬小怪坑4,41309=1|41311=1|41315=1|41316=1
305,斐扬小怪坑5*,41301=1|41302=1|41312=1|41314=1|41303=1|41307=1|41308=1|41313=1|41304=1|41305=1|41306=1|41310=1|41309=1|41311=1|41315=1|41316=1|0=5
306,斐扬Boss坑1,41325=3|41327=3|41317=2|41321=2|0=10
307,斐扬Boss坑2,41329=3|41331=3|41319=2|41323=2|0=10
