ID,Comment,SceneNumber,GateSwitchId,Listeners,LuaFunction
场景ID,注释,场景序号（1外城2内城3水晶房）,大门开关ID,监听项（ID=参数=是否有公告。无参数的填-1，时间用毫秒）,Lua函数（公告函数|计分函数）
1601,GVG普隆德拉1_1,1,40510,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1602,GVG普隆德拉1_2,2,40510,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1603,GVG普隆德拉1_3,3,40510,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1604,GVG普隆德拉2_1,1,40510,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1605,GVG普隆德拉2_2,2,40510,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1606,GVG普隆德拉2_3,3,40510,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1607,GVG普隆德拉3_1,1,40510,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1608,GVG普隆德拉3_2,2,40510,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1609,GVG普隆德拉3_3,3,40510,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1610,GVG普隆德拉4_1,1,40510,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1611,GVG普隆德拉4_2,2,40510,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1612,GVG普隆德拉4_3,3,40510,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1621,GVG吉芬1_1,1,40511,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1622,GVG吉芬1_2,2,40511,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
