ID,Type,ContentID,Text,ReaderPreviewPath,LocalizationArea
ID,类型,内容对应ID,文本,文本预览图片路径,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
1,2,7004,,PlotIcon\UI_PlotIcon_Image_18.png,
2,1,,1,,
3,1,,经过一番努力，你顺利完成了职业考试，从初心者学院毕业转职成了一名真正的冒险者，导师告诉你冒险者的征程才刚刚开始，而开始的第一步，就是前往普隆德拉乐园团完成冒险者身份录入。,,
4,1,,职业考试由六大职业工会负责，所以分布在卢恩王国的六个城市。初心者本就由全国各地汇聚而来，而通过考核的人会统一前往卢恩王城普隆德拉完成最后的身份录入。,,
5,1,,冒险者身份是不少地方的通行证，也是乐园团派发任务的标准。周围有不少同样通过职业考试的初心得知此消息后兴奋的讨论起来。,,
6,1,,“嘿，早就想去卢恩最大的王城看看了，哈哈哈哈哈！”,,
7,1,,“那里一定很繁华，我听来往的冒险者说过不少关于那里的事情。”,,
8,1,,“没想到离开普隆德拉一段时间，还挺想家的……”,,
9,1,,正如导师说的那样，新的开始！怀着憧憬的心情，你也踏上了旅程。,,
10,1,,普隆德拉南门，是完成职业考核的最后地点进入王城的必经之路。你决定观察一下周围地势和环境并步行进入南门。,,
11,1,,带有活力的温和的风，不会主动攻击甚至有些可爱的魔物，遥远的湖边眯着眼的垂钓者……你沉浸在周围的祥和之中，突然一阵极不和谐的打斗声从不远处响起。,,
12,1,,你循声望去，一个刺客装扮的女子被几个带着面具的白衣人围着。白色的衣服很怪，并不像是当地服饰，他们还带着面具。,,
13,1,,“交出那个东西，我们可以饶你一命。”白衣面具人为首的说道。他的口音很怪，你几乎由此就可以判定他不是卢恩人。,,
14,1,,“现在滚开，我也可以饶你们一命。”出人意料的是，刺客装扮的女子声音稚嫩，感觉与你年龄相若，面对几人围攻竟然毫不慌乱。不示弱的同时语气之中还带着些许戏谑。,,
15,1,,若不是脑子有问题，那就只能说明，此女子对自己的实力有绝对的自信。,,
16,1,,话音未落，不耐烦的白衣人已经开始动手。他们挥动匕首一拥而上。刺客女子辗转腾挪一一化解。但对方人数占优，这样缠斗下去并不理智。她屏气凝神，蓄力后翻，几道光将围上来的白衣人尽数击倒。与此同时一道白影悄然出现在她的背后。,,
17,1,,偷袭？！以多对一竟然还出这种阴险的招数。那女子背后受袭，身形一顿，跪伏下来。,,
18,1,,其实这场战斗你早就有了心之所向，作为冒险者怎么能容忍这种事情在眼前发生。于是你挺身而出，挡在了女子前面。,,
19,1,,对方似乎打红了眼，并没有多说话，直接向你出手。他身形闪烁，出现了两个相同的幻象，这术法……似乎并不常见，这又一次印证了你的立场选择的正确性，你使出全力将他击败。,,
20,1,,“谢、谢谢你……冒险者。”女子开口了：“我叫露克希，隶属梦罗克的刺客工会。”,,
21,1,,近距离观察她，和你想象的一样，她确实很年轻。,,
22,1,,简单的交谈后你观察到她的伤势，她说没关系，其实她在关键的时候避开了要害，只要采集附近的药草敷在伤口上止血就行。她似乎更关心那个神秘组织，拿着掉落的白色面具端详许久。,,
23,1,,突然她似乎注意到了你，然后轻轻一笑，眉目之中流露出的神情让你的心头放松了些许。这短暂的情感流露让人心生怜悯，不管她有多强，也不管她背负着什么使命，她始终是一个少女啊。,,
24,1,,在简单的治疗之后她大概恢复了伤势，起身说自己还有重要的事要做，她决定委托你去做一件事：给普隆德拉教堂的高阶祭司班波一些东西：一封密函和刚刚从神秘组织打落的白色面具。,,
25,1,,天色已晚，远方响起了教堂的钟声。虽然有些意外，但你毕竟接到了冒险者生涯的第一个委托。那钟声所在之地就是你的方向。,,
26,1,,道别露克希之后，你自信满满的进入普隆德拉。旅程的起点，从这个奇妙的南门遭遇战开始了！,,
27,1,,2,,
28,1,,作为国都，普隆德拉异常的繁华：来自各处的冒险者、商人，牵着大嘴鸟的骑士，巡逻的卫兵，温文尔雅的卡普拉，街边的杂耍者……,,
29,1,,你在路上走着正看的入神，突然被一股力道撞了一下。回过神来却肩头一松，反应过来原来刚才那一个照面，自己的背包竟然被顺走了。且不说那里面几乎有你全部的家当，甚至还包括露克希刚刚给你的委托物。,,
30,1,,贼人熟练的逃走的背影，轻车熟路的转弯，进入不远处的暗巷之中。,,
31,1,,你没有选择，只能追过去。,,
32,1,,“原来是个穷鬼，这次失手了……”你听着暗巷深处背包里的杂物被倒出来的声音，一道懒洋洋的声音抱怨着。,,
33,1,,“喂喂喂，交出你的钱。我心情不太好，否则可能会揍你！”另外一道声音也响了起来。,,
34,1,,第三个人甚至没有言语，只是捏着骨骼作响，似乎随时打算动手。,,
35,1,,反应过来时，已经有三道身影向你走来。他们似乎对你追来并不觉得意外。这个本地的盗贼团若是想跑，以他们对这个城市的了解程度，怕是你是难以追上的。,,
36,1,,但是他们并没有跑的打算，那是不是可以说明他们根本就没把你放在眼里。,,
37,1,,虽然没什么把握，但是只能一战了吗？你躬下身子，握紧手中的武器。,,
38,1,,三人气势逼人，释放出凝重的压迫感。随着向前走，他们的眼神从阴影中探出，冷漠至极。而让人惊异的是，下一瞬间，竟然变成了恐惧。,,
39,1,,刹那间，一道刚猛的气压从你背后倾泻而出，盗贼团三人在慌乱中应对。但仍抵挡不及被尽数掀翻。,,
40,1,,你感到周围清风骤起。一个带着面具的白袍女巫从风中降临，风吹起她的白袍，让你看的有些失神。,,
41,1,,这一切都发生在电光火石之间，盗贼团三人狼狈爬起，看来很识时务。“走！”为首的人咬咬牙，毫不犹豫的下令。其余两人听到指令狼狈逃窜。,,
42,1,,这是谁？你的脑海中疯狂的搜索这一切你可能认识的人，但沉默数秒后你觉得也许只是路见不平的人吧。,,
43,1,,白袍女巫背对着你，看着不远处包裹里掉落的白色面具，只是一招手，一股力道便将面具吸入她的手中。,,
44,1,,她侧过脸似乎刚想说什么，不远处响起了巡逻兵的哨声，你循声望去，骑士装扮的人徐徐赶来。,,
45,1,,心里的石头落地，你刚打算道谢，谢字还没说出口，回过神来白袍女巫已经悄无声息的失踪了。,,
46,1,,收拾自己的背包时，你发现面具竟然也的被带走了，你心中大呼不妙，却也没有办法避免。治安团来了三人和一只鸟，为首的是一袭灰色长发的女骑士，她说自己是普隆德拉的骑兵队长，名为古娜。,,
47,1,,你从恍惚中回过神来，打量着眼前的女骑士，她面容精致，语气和善，让人不自觉有几分想要亲近的感觉。你向她阐述了事情的来龙去脉后，她对你的遭遇表示同情。,,
48,1,,旁边的人告诉你刚才抢你背包的不出意外的话应该是臭名昭著的盗贼团Z团。,,
49,1,,最近有不少新手冒险者都成了他们的目标。为了表示治安维护疏漏的歉意，古娜决定用天堂鸟把你直接送到目的地，大教堂。,,
50,1,,你早就被这个可爱的家伙吸引了注意力，在来之前早有耳闻，只是没想到能这么快就接触到。天堂鸟比想象的更容易接触，简单的互动之后你们熟稔起来。,,
51,1,,“通过初心者测试的话，应该有基础的臂力，只要拉住就行，不是很紧张的话，应该就不会成为明天报纸上没拉住天堂鸟而摔伤的笨蛋。”骑士团的天堂鸟饲员虽然看来是调侃却是善意的提醒，声音越来越远。,,
52,1,,你拉着天堂鸟的脚高高飞起，俯视着整个普隆德拉，风吹到你的脸上让你倍感惬意。,,
53,1,,就算丢失了面具，另外一个委托物也是要尽快送到，回想刚才发生的种种，觉得今天的坏运气应该算是到头了。,,
54,1,,从西部的街区到普隆德拉大教堂恰巧是个对角线，天堂鸟飞的虽然并不是很高，但是足以将普隆德拉所有的繁荣尽收眼底。,,
55,1,,片刻之后，天堂鸟带着你安稳的降落在大教堂前庭。两个圣女雕像在教堂门前俨然而立，钟声就在此时响起，夕阳的光照射在雕像上，庄严肃穆反射出神圣的质感。,,
56,1,,“喂喂喂，闲杂人等禁止入内。”一道不和谐的声音响起，循声望去，叫嚣者是一个叫做毕斯库斯的圣职人员，你借此打探班波所在，没想到被他刁难。,,
57,1,,从Z团那里憋的火一股脑宣泄出来，你动用了武力。很快解决了这个宵小之徒，顺利进入大教堂。,,
58,1,,此时已经是傍晚，教堂的人不多，班波就在讲台前，看起来很严肃，似乎在思考着什么。你将露克希委托的信件递交到他的手中时他的眼睛里闪过一道光。,,
59,1,,班波的整体气质中能让你感受到他是个极为稳重的中年人，他似乎看出了你的局促，询问之下， 你说出另外一件委托物白色面具丢失的事。,,
60,1,,“嗯……”班波略一沉吟：“那我就直说了，以我对她的了解，露克希给我的面具应该是想传达某些重要的线索，所以还是希望能将面具找回。”,,
61,1,,“说到面具……”班波停顿一下，似乎想到了什么重要的事。,,
62,1,,“我记得教会十字军巡逻简报上好像有提到，骑士团的骑兵队长赛依连似乎也在调查关于此面具的线索。”,,
63,1,,班波判断出来这个面具应该是指向那个袭击她的神秘组织，露克希是希望藉由班波的人脉调查神秘组织的相关信息。如此一来，委托物真正的意义并不是面具本身，而是这背后隐藏的信息。,,
64,1,,在班波的引荐下，你很快找到赛依连。让你吃惊的是此人竟然如此年轻，看来比你大不了几岁，但是已然做到了独当一面的骑兵队长。,,
65,1,,回想一下，这王城都会真是高手众多，短短一天之内，简单照面的露克希、白袍女巫、赛依连，都蕴含着深厚强大的实力。,,
66,1,,赛依连读完班波的介绍信，他说自己受命调查数起冒险者无故失踪的案件。他搜集到的信息十分有限，目前唯一的线索是在一处有战斗痕迹的地方发现了一个损坏的白色面具。他拿出面具给你看，虽然有些破损，你还是能够认出那面具应该是出自同一个组织。,,
67,1,,“这白色面具指向一个卢恩的境外组织，他们潜入普隆德拉似乎在密谋着什么计划。”赛依连说。,,
68,1,,“而我们正在筹备着一次行动，代号【公正之剑】。根据可靠线索，靛青鹦鹉酒吧里混杂着很多来自别国的异邦人。,,
69,1,,“如果计划是有人能带着面具混入其中，或许会以【带面具的人的身份】吸引到一些白面具组织的成员或者相关的线索。骑士团的人大多身材魁梧，并不适合冒充组织成员，所以……”赛依连斜着眼打量着你的身板，若有所思的点了点头，然后把剩下的话说完：“冒险者，你愿意协助我们执行【公正之剑】吗？”,,
70,1,,3,,
71,1,,乔装打扮一番之后，你顺利进入酒吧。酒吧人比想象的多，鱼龙混杂，赛依连交代过，来到这里可以去找侍者点一杯叫做【公正之剑】的酒，这是行动代号也是暗号。,,
