ID,Comment,Type,SubType,Title,Content,UnlockCondition,Bonus,PreviewPath,LocalizationArea
ID,策划备注,类型,子类型,标题,包含内容,解锁条件,积分,预览图片路径,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
3000,普隆德拉-大教堂,3,1,大教堂,300001=300002,10001,10,,
3001,普隆德拉-中央喷泉,3,1,中央喷泉广场,300101=300102,10002,10,,
3002,普隆德拉-贤者之间,3,1,贤者之间,300201=300202,10003,10,,
3200,吉芬-吉芬塔,3,1,吉芬塔,320001=320002,10004,10,,
3600,伊斯鲁德-挑战场,3,1,挑战场,360001=360002,10005,10,,
3300,梦罗克-黑店,3,1,黑店,330001=330002,10006,10,,
3301,梦罗克皇宫,3,1,皇宫外景,330101=330102,10007,10,,
3100,斐扬樱花树,3,1,樱花树,310001=310002,10008,10,,
3400,艾尔贝塔-轮船,3,1,渡船,340001=340002,10009,10,,
3500,艾尔帕兰-钟楼,3,1,钟塔,350001=350002,10010,10,,9
3501,艾尔帕兰-运河,3,1,运河,350101=350102,10011,10,,9
3700,古城城堡,3,1,城堡,370001=370002,10012,10,,9
3800,克魔岛露天餐厅,3,1,露天餐厅,380001=380002,10013,10,,9
3801,克魔岛海岸线,3,1,海岸线,380101=380102,10014,10,,9
3802,灯塔岛遗迹,3,1,旧遗迹,380201=380202,10015,10,,9
3803,灯塔岛灯塔,3,1,双子灯塔,380301=380302,10016,10,,9
3804,蜜月岛爱心岛,3,1,爱心小岛,380401=380402,10017,10,,9
3805,蜜月岛爱神喷泉,3,1,爱神喷泉,380501=380502,10018,10,,9
3901,朱诺广场,3,1,广场,390101=390102,10019,10,,9
3902,朱诺花园,3,1,花园,390201=390202,10020,10,,9
3903,朱诺僻静处,3,1,僻静处,390301=390302,10021,10,,9
3904,政府大楼,3,1,政府大楼,390401=390402,10022,10,,9
