ID,Comment,Type,SubType,Title,Content,UnlockCondition,Bonus,PreviewPath,LocalizationArea
ID,策划备注,类型,子类型,标题,包含内容,解锁条件,积分,预览图片路径,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
4000,,3,2,卢恩骑士团,400001=400002,1,10,,
4001,,3,3,地底集市起火,400101=400102,1,10,,
4002,,3,4,《卢恩史诗》,400201=400202,4,10,,
4003,,3,2,七圣贤,400301=400302,4,10,,
4004,,3,4,白面具,400401=400402,1,10,,
4005,,3,3,卢恩·米德加兹建国,400501=400502,4,10,,
4006,,3,3,特里斯坦家族的诅咒,400601=400602,4,10,,
4007,,3,4,聚能水晶,400701=400702,2,10,,
4008,,3,4,记忆水晶,400801=400802,6,10,,
4009,,3,3,伊米尔之心被点亮,400901=400902,6,10,,
4010,,3,2,白骑士团,401001=401002,14,10,,
4011,,3,3,由佩雷斯彼女被发现,401101=401102,14,10,,
4012,,3,3,伊米尔的诞生与死亡,401201=401202,1011,10,,
4013,,3,3,朱诺升空,401301=401302,1015,10,,
4014,,3,3,希莫梅斯入侵,401401=401402,1011,10,,
4200,,3,2,米德加兹教廷,420001=420002,3,10,,
4201,,3,3,蒲公英团暗杀宝妮,420101=420102,7,10,,
4202,,3,4,卢恩日报,420201=420202,9,10,,
4203,,3,3,葛佩妮亚文明,420301=420302,1013,10,,
4500,,3,3,白女巫逃离米德加兹,450001=450002,18,10,,9
4600,,3,2,凯渥宝乐格家族,460001=460002,5,10,,
4601,,3,3,白面具的踪迹,460101=460102,5,10,,
4602,,3,2,刺客工会,460201=460202,5,10,,
4603,,3,4,蛇舌草,460301=460302,5,10,,
4300,,3,4,光粒结晶,430001=430002,8,10,,
4301,,3,3,拉乐西斯之死,430101=430102,8,10,,
4302,,3,3,特里斯坦三世失踪,430201=430202,8,10,,
4303,,3,4,《死海古卷》,430301=430302,10,10,,
4304,,3,3,梦罗克盐化事件,430401=430402,10,10,,
4305,,3,4,圣光卷轴,430501=430502,11,10,,
4306,,3,3,巴雷蒙德的异变,430601=430602,11,10,,
4307,,3,4,《启示录》,430701=430702,11,10,,
4308,,3,2,教国鹰派,430801=430802,12,10,,
4309,,3,2,蒲公英团,430901=430902,12,10,,
4310,,3,3,梦罗克儿童失踪,431001=431002,12,10,,
4311,,3,2,教国鸽派,431101=431102,13,10,,
4312,,3,3,蒲公英团的背叛,431201=431202,13,10,,
4313,,3,3,梦罗克第一次复活,431301=431302,15,10,,
4314,,3,4,《所罗门之书》,431401=431402,15,10,,
4315,,3,2,印记刺客,431501=431502,16,10,,
4316,,3,3,梦罗克第二次复活,431601=431602,17,10,,9
4317,,3,3,梦罗克第三次复活,431701=431702,17,10,,9
4318,,3,3,由佩雷斯文明始末,431801=431802,1012,10,,
4319,,3,3,所罗门王召唤梦罗克,431901=431902,1012,10,,
4320,,3,3,博仁斯惨案,432001=432002,1016,10,,
4700,,3,3,瓦尔基里降临事件,470001=470002,19,10,,9
4701,,3,3,古城湮灭,470101=470102,20,10,,9
4702,,3,3,古城政变,470201=470202,20,10,,9
4703,,3,4,天使之卵,470301=470302,19,10,,9
4704,,3,4,圣饼,470401=470402,21,10,,9
4705,,3,2,古城教会,470501=470502,21,10,,9
4706,,3,4,符文王冠,470601=470602,20,10,,9
4707,,3,3,王子之乱,470701=470702,1014,10,,9
4708,,3,3,卢恩施密特王登基,470801=470802,1014,10,,9
4400,,3,3,石化病事件,440001=440002,22,10,,9
4401,,3,3,贝鲁兹文明,440101=440102,22,10,,9
4402,,3,2,奇迹教会,440201=440202,23,10,,9
4800,,3,2,风铃草剧团,480001=480002,1017,10,,9
4801,,3,4,女巫的匕首,480101=480102,1017,10,,9
4802,,3,3,风铃草剧团巡回演出,480201=480202,1017,10,,9
4803,,3,4,依诗柯的珍珠,480301=480302,1017,10,,9
4804,,3,3,女巫的传说,480401=480402,1017,10,,9
4901,,3,4,《命运的乌鸦》,490101=490102,24,10,,9
4902,,3,4,林赛的档案,490201=490202,25,10,,9
4903,,3,4,秘密之翼的证件,490301=490302,24,10,,9
4904,,3,4,奥利弗核心,490401=490402,25,10,,9
4905,,3,3,研究所失事,490501=490502,24,10,,9
4906,,3,3,阿斯自爆,490601=490602,25,10,,9
4907,,3,3,林赛逃跑,490701=490702,25,10,,9
4908,,3,3,伊娃的背叛,490801=490802,25,10,,9
4909,,3,3,伊娃的失踪,490901=490902,25,10,,9
4910,,3,3,奥利弗的秘密联合,491001=491002,25,10,,9
4911,,3,3,被中断的复活仪式,491101=491102,25,10,,9
4912,,3,2,雷根贝勒,491201=491202,24,10,,9
4913,,3,2,林赛的研究所,491301=491302,24,10,,9
4914,,3,4,记忆卷轴,491401=491402,1018,10,,9
4915,,3,4,金属片,491501=491502,1018,10,,9
4916,,3,4,一代机械人形,491601=491602,1018,10,,9
4917,,3,4,二代机械人形,491701=491702,1018,10,,9
4918,,3,4,三代机械人形,491801=491802,1018,10,,9
4919,,3,3,学院内的幽灵传说,491901=491902,1018,10,,9
4920,,3,3,希雅落水死亡事件,492001=492002,1018,10,,9
4921,,3,3,罗希米爱乐没落,492101=492102,1018,10,,9
4922,,3,3,启海伊洛先生被捕,492201=492202,1018,10,,9
4923,,3,2,秘密之翼,492301=492302,1018,10,,9
4924,,3,2,启海伊洛学院,492401=492402,1018,10,,9
