ID,Name,,SortID,GuildActivity,Tips,MainSonId,ActivityTimeShow
功能ID,功能名（策划用）,（策划用）获取途径类型（1商店&兑换 2日常活动 3限时活动 4生活技能 5魔物掉落 6一次性奖励）,排序id,公会活动标识（1为公会活动，需要判断是否加入公会）,提示,子活动主键,自然显示时间
11002,摆摊,1,1001,,,,
11001,商会,1,1002,,,,
118,卖场,1,1003,,卖场限时出售,,
11801,喵喵果实·热销,1,1004,,,,
11802,喵喵果实·礼包,1,1005,,,,
11803,万事屋·zeny,1,1006,,,,
11804,万事屋·铜币,1,1007,,,,
11805,神秘商店·每日限时,1,1008,,,,
11806,充值界面,1,1009,,,,
11808,喵喵果实·外观,1,1010,,卖场限时出售,,
11003,拍卖行,1,1011,,,,
4100,装备图纸商人,1,1012,,,,
19007,时空商人,1,1013,,,,
2005,主题币商店,1,1014,,,,
999,商店,1,1015,,,,
4070,商人武器店,1,1016,,,,
4080,水产商人,1,1017,,,,
4090,谷物商人,1,1018,,,,
3050,卡片商人,1,1019,,,,
3052,初心者商店,1,1020,,,,
3060,贵重品商人,1,1021,,,,
3100,首饰商店,1,1022,,,,
5123,跑商,1,1023,,,,
4020,剑士武器店,1,1024,,,,
4030,魔法师武器店,1,1025,,,,
4040,盗贼武器店,1,1026,,,,
4050,弓箭手武器店,1,1027,,,,
1080,头饰兑换,1,1028,,,,
4060,服事武器店,1,1029,,,,
108,合成,1,1030,,,,
10801,打造,1,1031,,,,
3090,卡片分解,1,1032,,,,
3091,卡片抽卡,1,1033,,,,
9012,卡片解封,1,1034,,,,
3092,头饰分解,1,1035,,,,
3097,装备分解,1,1036,,,,
3093,头饰抽取,1,1037,,,,
3010,道具商店,1,1038,,,,
3020,装备商店,1,1039,,,,
3040,料理商店,1,1040,,,,
3030,染料商店,1,1041,,,,
7001,公会宴会,1,1042,1,,,
7007,公会自动售货机,1,1043,1,,,
15009,狸猫商店,1,1044,,,,
3094,武器锻造,1,1045,,,,
3095,防具锻造,1,1046,,,,
1081,载具兑换,1,1047,,,,
11701,委托兑换,1,1048,,,,
3070,助战商店,1,1049,,,,
15003,勇气商店,1,1050,,,,
3080,魔物商店,1,1051,,,,
3098,装备抽取,1,1052,,,,
1000002,礼包,1,1053,,,,
3205,道具商店,1,1055,,,1105,
3110,奇异金属兑换,1,1056,,,,
10807,材料合成,1,1057,,商人职业合成材料获得,,
1027,时装兑换商店,1,1058,,,,
5060,解救小恶魔,2,2001,,,,
5131,猫手商队,2,2002,,,,
5020,主题副本,2,2003,,,,
5023,贤者的回忆2类型,2,2004,,,,
5140,极限挑战,2,2005,,,,
5030,无限塔,2,2006,,,,
117,委托任务,2,2007,,,,
5010,乐园团委托,2,2008,,,,
5110,魔物驱逐,2,2009,,,,
5160,天地树守卫战,2,2010,,,,
5161,天地树守卫战,2,2011,,,,
15002,擂台,3,3001,,,,
5050,圣歌试炼,3,3002,,,,
5070,迷雾之森,3,3003,,,,
5130,时空调查团,3,3004,1,参与时空调查团有机会获得,,
5073,葛帔尼亚遗迹,3,3005,,,,
5074,灵巧试炼,3,3006,,,,
5075,教国谍影,3,3007,,,,
7009,公会狩猎,3,3008,1,,,
15001,战场,3,3009,,,,
2001,主题派对,3,3010,,通过周末主题派对抽奖活动获得,,
6010,采集,4,4001,,,,
6020,挖矿,4,4002,,,,
6030,钓鱼,4,4003,,,,
6040,烹饪,4,4004,,,,
6050,制药,4,4005,,,,
6060,甜品,4,4006,,,,
6070,冶炼,4,4007,,,,
5100,团队&个人MVP,5,5001,,,,
1000001,MINI,5,5002,,,,
1000000,魔物掉落,5,9999,,,,
11301,成就等级奖励,6,6001,,,,
113,成就奖励,6,6002,,,,
10601,时尚度奖励,6,6003,,,,
11208,首充礼包,6,6005,,,,
5121,野外练级,0,10001,,,,
9008,任务,0,10002,,,,
109,活动,0,10003,,通过活动中活跃度奖励获得,,
3201,博仁斯攻略战,1,1054,,,,
3207,攻城战军需商店,1,1057,,,,
4005,万圣兑换商店,1,1058,,,,
180,节日活动,0,1,,,,
3300,蓝色卡片兑换,1,1059,,,,
3301,高级蓝色卡片兑换,1,1060,,,,
14021,金秋祈愿券商店,1,1061,,,,
3210,秋夕商店,1,1062,,,,
3208,攻城战道具专卖店,1,1063,,,,
4006,万圣节兑换商店,1,1064,,,,20211014=050000|20211102=045959
3400,雪花节活动商店,1,1065,,,,
3401,雪花节时装商店,1,1066,,,,
14010,米莉的松饼屋,3,3011,,通过2021年感恩节——米莉的松饼屋活动获得,,
14020,金秋的祈愿,3,3012,,通过2020年秋夕节——金秋的祈愿抽奖活动获得,,
14030,15日签到,3,3013,,参与15日签到活动可获得,,
30001,嘉年华通行证,3,3014,,通过2020年嘉年华通行证获得,,
30002,嘉年华通行证商店,3,3015,,通过2020年嘉年华通行证商店兑换,,
11807,积分返利,3,3016,,通过积分返利活动获得,,
11809,积分返利（限时）,3,3017,,通过限时积分返利活动获得,,
15000,新年通行证,3,3018,,通过新年通行证获得,,
14999,通行证商店,3,3019,,通过新年通行证商店兑换,,
7014,纪念原石,2,2013,1,完成精致的纪念币雕刻后可获得,,
14022,雪花之愿,3,3020,,通过2020年雪花节——雪花之愿抽奖活动获得,,
