ItemID,ItemName,ReobtainItself,ReobtainRelation,ReobtainCount,ReobtainType
道具ID,道具名称，程序不读,自己是否不参与检测（默认都检测，不填；不检测填1，基本只有礼包不检测,重复获取索引关联，索引类型1=索引对象id1|索引类型2=索引对象id2|索引类型3=索引对象id3；\n1=发型，对应Barber索引是否激活，或背包是否有对应id道具；\n2=美瞳，对应Eye索引是否激活，或背包是否有对应id道具；\n3=背包负重，玩家使用健身券次数是否=ReobtainCount，对应GlobalTable中BagLoadExtendTimes=50；\n4=仓库，玩家扩建仓库数是否=ReobtainCount，对应GlobalTable中PotExNum=6；\n5=载具，对应Vehicle索引是否激活，或背包&仓库是否有对应id道具；\n6=饰品，对应Equip索引是否已装备，或衣橱已收纳，或背包是否有对应id道具；\n7=表情，对应XX；\n11=道具，检测背包是否有对应id道具；,重复获取计数，达到相应计数后才重复提醒,重复判定类型，当存在多个检测时，1=and，不填默认为or，基本只有自选礼包用这个
2061001,阳光男孩发型解锁券,,1=6020005,,
2061002,骑士领主发型解锁券,,1=6020006,,
2061003,刺客发型解锁券,,1=6020007,,
2061004,小恶魔发型解锁券,,1=6020008,,
2061005,翩翩少年发型解锁券,,1=6020009,,
2061006,霜冻之夜发型解锁券,,1=6020010,,
2061007,暖男发型解锁券,,1=6020015,,
2061008,小王子发型解锁券,,1=6020018,,
2061009,运动少年发型解锁券,,1=6020012,,
2061010,飘逸发型解锁券,,1=6020021,,
2061011,优质男生发型解锁券,,1=6020023,,
2061012,质感碎发发型解锁券,,1=6020025,,
2061013,冒险者发型解锁券,,1=6020026,,
2061014,cool boy发型解锁券,,1=6020028,,
2061015,纯真时光发型解锁券,,1=6020030,,
2061016,飘零发型解锁券,,1=6020034,,
2061017,童话世界发型解锁券,,1=6020035,,
2061018,月光狂想曲发型解锁券,,1=6020039,,
2061019,花样年华发型解锁券,,1=6020040,,
2061020,未来发型解锁券,,1=6020041,,
2061021,天才少年发型解锁券,,1=6020042,,
2061022,小正太发型解锁券,,1=6020043,,
2061023,任性发型解锁券,,1=6020044,,
2062001,小魔女发型解锁券,,1=6030013,,
2062002,俏皮小萌妹发型解锁券,,1=6030014,,
2062003,cool girl发型解锁券,,1=6030015,,
2062004,英姿飒爽发型解锁券,,1=6030016,,
2062005,公主小妹发型解锁券,,1=6030018,,
2062006,波波头发型解锁券,,1=6030023,,
2062007,古典发型解锁券,,1=6030024,,
2062008,童话世界解锁券,,1=6030025,,
2062009,波西米亚风发型解锁券,,1=6030026,,
2062010,优雅发型解锁券,,1=6030026,,
2062011,糖豆发型解锁券,,1=6030028,,
2062012,秋日梦发型解锁券,,1=6030029,,
2062013,冬日暖阳发型解锁券,,1=6030030,,
2062014,双马尾发型解锁券,,1=6030004,,
2062015,叶子发型解锁券,,1=6030033,,
2062016,柔美长发发型解锁券,,1=6030034,,
2062017,飘零发型解锁券,,1=6030040,,
2062018,活力宝贝发型解锁券,,1=6030005,,
2062019,月光发型解锁券,,1=6030038,,
2062020,学姐发型解锁券,,1=6030039,,
2062021,小幸运发型解锁券,,1=6030044,,
2062022,俏皮女生发型解锁券,,1=6030046,,
2062023,棉花糖发型解锁券,,1=6030047,,
2061501,美瞳解锁券，无辜眼,,2=6030007,2,
2062501,美瞳解锁券，高冷脸,,2=6031006,2,
2032003,健身房会员券,,3=0,50,
2032002,仓库扩建券,,4=0,6,
1020003,小恶魔双人车,,5=1020003|11=1029007,,
1020007,抱抱熊,,5=1020007|11=1029009,,
1020009,波利串串,,5=1020009,,
1020021,博学幽灵,,5=1020021,,
1020022,白幽灵秋千,,5=1020022,,
1020023,木乃伊王座,,5=1020023|11=1029008,,
1020024,鲨鱼恶霸,,5=1020024|11=1029006,,
1020025,哭泣汉堡,,5=1020025|11=1029004,,
1020026,泡泡,,5=1020026,,
1020027,布布,,5=1020027,,
1020028,吉吉,,5=1020028,,
1020029,岛岛,,5=1020029,,
1020030,游泳鸭,,5=1020030|11=1029005,,
1020031,月亮木马,,5=1020031,,
1021041,分裂蘑菇,,5=1021041,,
1021042,炫酷魔物滑板,,5=1021042,,
1021043,魔法飞行扫把,,5=1021043|11=1029023,,
1021044,拉风南瓜车,,5=1021044,,
1021045,驯鹿摩托车,,5=1021045,,
1021046,咕咕鸡,,5=1021046,,
1021047,浮空摩托,,5=1021047,,
1021048,公主贝壳,,5=1021048,,
1021049,欢庆麋鹿,,5=1021049,,
1021050,骷髅战马,,5=1021050,,
1021051,RO-037型,,5=1021051,,
1021052,弯角羊,,5=1021052,,
1021053,兔子团,,5=1021053,,
1021054,旅月时光,,5=1021054,,
1021056,魔术球,,5=1021056,,
1021057,时光之轮,,5=1021057,,
1021058,惊悚稻草人,,5=1021058,,
1021055,黑色星期五,,5=1021055,,
1021059,绒绒虫宝宝,,5=1021059,,
1021060,筋斗云,,5=1021060,,
1029004,设计图·哭泣汉堡,,5=1020025,,
1029005,设计图·游泳鸭,,5=1020030,,
1029006,设计图·鲨鱼恶霸,,5=1020024,,
1029007,设计图·恶魔双人车,,5=1020003,,
1029008,契约·木乃伊王座,,5=1020023,,
1029009,契约·抱抱熊,,5=1020007,,
1029023,设计图·魔法飞行扫把,,5=1021043,,
1010001,结婚礼服燕尾服,,,,
1010002,结婚礼服婚纱,,,,
1010005,恶魔派对,,,,
1010006,恶魔派对,,,,
1010007,执事,,,,
1010008,女仆装,,,,
1010009,恶魔派对（男）,,,,
1010010,恶魔派对（女）,,,,
1010011,水手服,,,,
1010012,水手服,,,,
1010013,童话世界,,,,
1010014,童话世界,,,,
1010015,魔法日记,,,,
1010016,魔法日记,,,,
1010017,糯糯鼠玩偶服,,,,
1010018,软软鼠玩偶服,,,,
1010019,超萌学园,,,,
1010020,超萌学园,,,,
1010021,传统韩服,,,,
1010022,传统韩服,,,,
1010023,两小无猜,,,,
1010024,两小无猜,,,,
1010025,idol look,,,,
1010026,idol look,,,,
1010027,海浪之歌,,,,
1010028,海浪之歌,,,,
1010029,私家侦探,,,,
1010030,私家侦探,,,,
1010031,邪恶使者cos装,,,,
1010032,恶魔女仆cos装,,,,
1010033,鬼魂绅士cos装,,,,
1010034,鬼魂新娘cos装,,,,
1010035,医生cos装,,,,
1010036,护士cos装,,,,
1010037,奇妙南瓜套装,,,,
1010038,奇妙南瓜套装,,,,
1010039,死神cos装,,,,
1010040,死神cos装,,,,
1010041,飞行员特工,,,,
1010042,飞行员特工,,,,
1010043,梦游睡衣,,,,
1010044,梦游睡衣,,,,
1010045,太珍儿同款套装,,,,
1010046,太珍儿同款套装,,,,
1010047,惊奇派对,,,,
1010048,惊奇派对,,,,
1010049,圣诞快乐套装,,,,
1010050,圣诞快乐套装,,,,
1010051,冬季羽绒服,,,,
1010052,冬季羽绒服,,,,
1010053,玩具士兵,,,,
1010054,玩具士兵,,,,
1010055,艺术家羊绒大衣,,,,
1010056,艺术家羊绒大衣,,,,
1010057,2020至臻黑金礼服,,,,
1010058,2020至臻黑金礼服,,,,
1010059,奶牛玩偶服,,,,
1010060,奶牛玩偶服,,,,
1010061,暗夜精灵,,,,
1010062,暗夜精灵,,,,
1010064,莓果奇缘,,,,
1010065,莓果奇缘,,,,
1010066,总经理制服,,,,
1010067,总经理制服,,,,
1010068,童真校服,,,,
1010069,童真校服,,,,
1010070,缤纷西瓜,,,,
1010071,缤纷西瓜,,,,
1010074,时尚海滩,,,,
1010075,时尚海滩,,,,
1010076,热带风情,,,,
1010077,热带风情,,,,
1010078,1周年感谢时装,,,,
1010079,1周年感谢时装,,,,
1010080,凯旋者之铠(男),,,,
1010081,凯旋者之铠(女),,,,
1010082,棒球服,,,,
1010083,棒球服,,,,
1010084,宫廷时光,,,,
1010085,宫廷时光,,,,
1010086,时空模拟战志愿者纪念服,,,,
1010087,时空模拟战志愿者纪念服,,,,
1010088,致敬侦探,,,,
1010089,致敬侦探,,,,
1010091,月兔之礼,,,,
1010092,月兔之礼,,,,
1010093,季风指挥官,,,,
1010094,季风指挥官,,,,
1010095,血色傀儡,,,,
1010096,血色傀儡,,,,
1010097,摇滚之魂,,,,
1010098,摇滚之魂,,,,
1010099,古堡魅影,,,,
1010100,古堡魅影,,,,
1010101,栗子装,,,,
1010102,栗子装,,,,
1010103,神父装,,,,
1010104,修女装,,,,
1010105,终结者,,,,
1010106,终结者,,,,
1010107,秋之红叶,,,,
1010108,秋之红叶,,,,
1010109,火鸡玩偶装,,,,
1010110,火鸡玩偶装,,,,
1010111,军港之夜,,,,
1010112,军港之夜,,,,
1010113,时空恋旅人,,,,
1010114,时空恋旅人,,,,
1010115,雪花绒装,,,,
1010116,雪花绒装,,,,
1070001,天使发圈,,,,
1070002,金属头盔,,,,
1070003,苹果头饰,,,,
1070005,兔耳发圈,,,,
1070006,山羊头盔,,,,
1070007,爱心发夹,,,,
1070008,恶魔发圈,,,,
1070009,婚礼发冠,,,,
1070011,粉纱发圈,,,,
