ItemID,ItemName,ItemAtlas,ItemIcon,TypeTab,Subclass,SortID,LevelLimit,ItemQuality,IsRare,Star,ItemDescription,ItemDesType,SexLimit,Profession,Overlap,PromptFx,CanStorehouse,CanCart,CanQuick,RecycleValue,GuildUpsetPrice,ShowRecycleButton,QuickUse,AccessPrompt,CanUse,Weight,MerchantAddition,TimeType,CountTime,ParentID,IsFAQImport,TimeLimitRecycleValue,LocalizationArea,TaskItemAbandon
道具ID,道具名称,道具图集,道具图标,道具分类（1装备/2消耗品/3材料/4卡片/5背包内不分类/6时装/7背包外货币/8食谱/9任务道具/10生活职业道具/11头饰图纸/12置换器/13头像/14载具/15载具经验书/16卡片碎片/17称号/18跑商/19魔物图鉴/20贝鲁兹核心/21封魔石/22双倍奖励触发卡/23bingo/24特殊道具/25特殊时效性道具占用/26气泡框/27头像框）,道具子分类(前后端都读，前端用于显示分类，文本信息配置在ItemSubclassTable表；后端用于做功能),排序ID(大的在前),"使用等级（x|y,x=0时不设最低使用等级,y=-1时不设最高使用等级0|-1为全等级可用)",道具品质(1C/1B/3A/4S/0无品质不显示，对于宠物道具类型，仅生效1-3品质),是否稀有道具（在无限塔等副本中，获得稀有道具会弹Rare提示）,星级（主要是生活职业加工类产出显示用）,道具描述（支持可配置）,道具tips显示类型（0或者不填.直接显示道具描述；1.n个固定道具奖励礼包；2.n个道具随机奖励礼包；3.n个中选择其中1个选择礼包）,可用性别（0男1女2无限制）,可用职业（对应职业表中id）专有职业才能用配置5101=1,最大堆叠数量（不可叠加道具为1，叠加数量有上限）,背包中引导特效（需要特效时可能是直接在图标上画特效不用配置，也可能设置特效调用路径）,能否放入仓库,是否可放入手推车,能否放入快捷栏,回收价格\r\n（货币类型=货币数量）,公会拍卖底价（货币类型=货币数量）,是否显示回收按钮(1显示0不显示),快捷使用弹框（2为选择礼包自动弹出强制选择）,特殊获取提示（1需要特殊提示2添加高品质特效0不提示）,能否使用\r\n（服务器判定能否直接使用，配成0则不管什么情况下都不能使用）,道具负重,是否受商人高价卖出技能的修正，1受修正0不受,时效性类型（1不叠加时效性道具；2叠加时效性道具 ；3根据活动时间销毁；5节日活动结束后回收；6节日活动结束后回收对应TimeLimitActivityTable表的ActType=活动id；11节日活动结束后回收，和5作区分）,时效性参数（type1配置时间（秒）；type2配置时间（秒）；type3配置DailyActivitiesTable活动id ；type5配置TimeLimitActivityTable的ActType类型，type6配置TimeLimitActivityTable表的ActType=活动id，type11配置ActType=时间（单位：秒），表示该活动结束N秒后回收）,关联道具id,用于【卡普拉咨询】导入确认的字段，该字段用于导入数据时的判断字段，填1则在web后台会导入该行数据,节日活动回收列（itemid=数量，配置前核对该道具是否只有节日活动中用到）,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12),任务道具丢弃专用
101,铜币,Icon_ItemConsumables01,UI_icon_item_Zeng.png,7,701,451000101,0=-1,1,,,米德加兹王国通用货币，可以用来购买很多普通道具,,2,0=0,0,0,1,1,0,,,0,0,,1,0,0,,,,1,,,
102,Zeny,Icon_ItemConsumables01,UI_icon_item_huobi02.png,7,701,452000102,0=-1,2,,,米德加兹王国上层货币，可以用来购买很多珍稀道具,,2,0=0,0,0,1,1,0,,,0,0,,1,0,0,,,,1,,,
103,喵喵果实,Icon_ItemConsumables01,UI_icon_item_huobi01.png,7,701,453000103,0=-1,3,,,米德加兹王国高级货币，可以用来购买很多稀有道具,,2,0=0,0,0,1,1,0,,,0,0,,1,0,0,,,,1,,,
104,喵喵果实,Icon_ItemConsumables01,UI_icon_item_huobi01.png,7,701,453000104,0=-1,3,,,米德加兹王国高级货币，可以用来购买很多稀有道具,,2,0=0,0,0,1,1,0,,,0,0,,1,0,0,,,,1,,,
201,BASE经验,Icon_ItemConsumables02,UI_icon_item_BaseExp.png,7,704,422000201,0=-1,2,,,角色升级需要的经验，完成各种任务、野外击杀怪物、参加乐园团委托和各种活动都可以获得经验哦,,2,0=0,0,0,0,0,0,,,0,0,,1,0,0,,,,1,,,
202,JOB经验,Icon_ItemConsumables02,UI_icon_item_JobExp.png,7,704,422000202,0=-1,2,,,职业升级需要的经验，完成各种任务、野外击杀怪物、参加乐园团委托和各种活动都可以获得经验哦,,2,0=0,0,0,0,0,0,,,0,0,,1,0,0,,,,1,,,
203,大量BASE经验,Icon_ItemConsumables01,UI_icon_item_jingyanshubase.png,7,704,423000203,0=-1,3,,,角色升级需要的经验，完成各种任务、野外击杀怪物、参加乐园团委托和各种活动都可以获得经验哦,,2,0=0,0,0,0,0,0,,,0,0,,1,0,0,,,,1,,,
204,大量JOB经验,Icon_ItemConsumables01,UI_icon_item_jingyanshujob.png,7,704,423000204,0=-1,3,,,职业升级需要的经验，完成各种任务、野外击杀怪物、参加乐园团委托和各种活动都可以获得经验哦,,2,0=0,0,0,0,0,0,,,0,0,,1,0,0,,,,1,,,
205,魔物研究进度点,IllustrationMonster,UI_IllustrationMonster_Icon_Mowujingyan.png,7,704,421000205,0=-1,1,,,魔物研究等级升级需要的经验，累计击杀魔物可在[魔物图鉴]中领取魔物研究进度点哦,,2,0=0,0,0,0,0,0,,,0,0,,1,0,0,,,,1,,,
