ID,LimitType,Comment,Para
编号\r\n(0-500预留给状态互斥，对应StateExclusionTable表里的StateId，其他新增ID必须从501开始),限制类型\r\n1：特定场景类型不可使用(param填场景类型ID)；\r\n2：变身状态可使用(param不需要填，所有Typetab为9的任务道具默认允许使用)3：特定场景ID可使用(param填场景ID)；4：Base等级达上限后不可使用(param不需要填)；5：特定副本类型不可使用（param填副本ID）6：玩家Job等级达到上限后不可使用；7：队伍人数达到X人/队员全部在身边X米范围内 8：指定场景不可使用 9：使用上限次数（读COUNTTABLE配置）,,参数
501,1,副本/角斗场/双人烹饪/PVP场景/等候区不让是所有,3|4|5|6|7|8
502,2,变身状态可使用,
503,3,只允许在梦罗克西部使用,25
504,4,Base等级达到上限后不让使用,
505,5,擂台、公会匹配赛不让使用,11|25
506,6,玩家Job等级达到上限后不可使用,
507,7,队伍人数达到X人/队员全部在身边X米范围内,3|15
508,1,公会属地内不可使用,9
509,8,新手村3个场景不可使用,31|32|33
510,8,变身不能嗑药的场景ID(黑暗迷宫/躲避球/抢滩登陆),2088|8000|8010
511,8,主题派对场景不能传送,59
512,1,公会场景不允许使用,9
513,5,塔防不让使用,23|24
514,8,混沌的枷锁以及教堂禁止使用苍蝇翅膀,63|41|64|65|69|70
515,9,每周使用上限20个,49|1400301
516,8,狩猎场（博仁斯攻略战）不可使用,401
517,5,战场不能使用,6
518,8,GvG不能使用苍蝇翅膀,80|1601|1602|1603|1604|1605|1606|1607|1608|1609|1610|1611|1612|1621|1622|1623|1624|1625|1626|1627|1628|1629|1630|1631|1632|1641|1642|1643|1644|1645|1646|1647|1648|1649|1650|1651|1652
519,3,只允许GVG攻城战中使用,1601|1602|1603|1604|1605|1606|1607|1608|1609|1610|1611|1612|1621|1622|1623|1624|1625|1626|1627|1628|1629|1630|1631|1632|1641|1642|1643|1644|1645|1646|1647|1648|1649|1650|1651|1652
520,8,万圣夜场景不能使用,402
521,3,普隆德拉、斐扬、吉芬、梦罗克、艾尔贝塔、伊斯鲁得可以使用,7|47|16|26|50|21
522,8,时空模拟战中部分药剂无法使用（天地树果实、马牌等）,80|9000|9002|9003|9004
523,3,PVP药剂只能在该场景使用,80|9000|9002|9003
