ID,ProfessionID,NeedJobLvl,AwardAttribute,AwardIconAtlas,AwardIconSprite
ID,职业ID,奖励所需等级,奖励具体内容(  0.固定属性 1.Buff= 14.力量 16.智力 18.敏捷 20.灵巧 22.体质 24.幸运 = Value）,奖励图标图集,奖励图标sprite
1,2000,5,0=20=1|0=22=1,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Vit.png
2,2000,10,0=14=1|0=22=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Vit.png
3,2000,15,0=14=1|0=24=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Luk.png
4,2000,20,0=14=1|0=18=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
5,2000,25,0=14=1|0=24=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Luk.png
6,2000,30,0=14=1|0=18=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
7,2000,35,0=14=1|0=20=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
8,2000,40,0=14=1|0=22=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Vit.png
9,2101,5,0=14=1|0=20=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
10,2101,10,0=14=1|0=22=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Vit.png
11,2101,15,0=14=1|0=22=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Vit.png
12,2101,20,0=18=2|0=20=1,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
13,2101,25,0=20=2|0=24=2,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Luk.png
14,2101,30,0=20=1|0=22=3,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Vit.png
15,2101,35,0=14=2|0=22=3,Icon_Function01,UI_Icon_Str.png=UI_Icon_Vit.png
16,2101,40,0=14=3|0=24=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Luk.png
17,2102,5,0=16=2|0=18=3,Icon_Function01,UI_Icon_Int.png=UI_Icon_Agi.png
18,2102,10,0=20=3|0=22=2,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Vit.png
19,2102,15,0=22=2|0=24=3,Icon_Function01,UI_Icon_Vit.png=UI_Icon_Luk.png
20,2102,20,0=14=4|0=20=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
21,2102,25,0=14=4|0=18=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
22,2102,30,0=14=2|0=20=4,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
23,2102,35,0=14=2|0=22=4,Icon_Function01,UI_Icon_Str.png=UI_Icon_Vit.png
24,2102,40,0=14=3|0=18=3,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
25,2201,5,0=22=2|0=16=1,Icon_Function01,UI_Icon_Vit.png=UI_Icon_Int.png
26,2201,10,0=16=1|0=24=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Luk.png
27,2201,15,0=18=1|0=24=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Luk.png
28,2201,20,0=14=2|0=18=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
29,2201,25,0=14=2|0=22=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Vit.png
30,2201,30,0=20=3|0=24=1,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Luk.png
31,2201,35,0=22=3|0=16=2,Icon_Function01,UI_Icon_Vit.png=UI_Icon_Int.png
32,2201,40,0=14=3|0=16=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Int.png
33,2202,5,0=14=3|0=22=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Vit.png
34,2202,10,0=18=2|0=24=3,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Luk.png
35,2202,15,0=14=2|0=20=3,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
36,2202,20,0=18=2|0=22=4,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Vit.png
37,2202,25,0=16=3|0=20=3,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
38,2202,30,0=14=4|0=18=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
39,2202,35,0=16=4|0=20=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
40,2202,40,0=18=2|0=22=4,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Vit.png
41,3000,5,0=14=1|0=20=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
42,3000,10,0=16=1|0=24=1,Icon_Function01,UI_Icon_Int.png=UI_Icon_Luk.png
43,3000,15,0=18=1|0=20=1,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
44,3000,20,0=16=1|0=24=1,Icon_Function01,UI_Icon_Int.png=UI_Icon_Luk.png
45,3000,25,0=14=1|0=18=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
46,3000,30,0=20=1|0=22=1,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Vit.png
47,3000,35,0=16=1|0=22=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Vit.png
48,3000,40,0=14=1|0=24=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Luk.png
49,3101,5,0=14=1|0=18=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
50,3101,10,0=22=1|0=24=2,Icon_Function01,UI_Icon_Vit.png=UI_Icon_Luk.png
51,3101,15,0=14=1|0=20=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
52,3101,20,0=18=2|0=24=1,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Luk.png
53,3101,25,0=22=2|0=24=2,Icon_Function01,UI_Icon_Vit.png=UI_Icon_Luk.png
54,3101,30,0=16=2|0=20=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
55,3101,35,0=14=3|0=22=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Vit.png
56,3101,40,0=16=3|0=24=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Luk.png
57,3102,5,0=22=3|0=24=2,Icon_Function01,UI_Icon_Vit.png=UI_Icon_Luk.png
58,3102,10,0=16=3|0=20=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
