ID,Comment,Name,EventID,Style,LeaderBoards,TotalVerCount,ShowTagDuringEvent,ClearVerOnStart,CustomCopyVerTiming,CustomClearVerTiming,IsMutualExclusive,FestivalType,Type,FunctionID
ID,注释,排行榜UI标题上显示的名字,活动ID（映射DailyActivitiesTable的ID），取活动时间用，没有可不填。有活动ID的，如果是限时活动，会在活动开始那一刻保存当前记录的副本。,样式（0：有角色模型有上三角按钮，1：有角色模型无上三角按钮，2：无角色模型有上三角按钮，3：无角色模型无上三角按钮）,映射到LeaderBoardComponentTable中ID，代表这个榜包含哪几个子榜，id用竖线分隔,【废弃】最多记录多少个历史记录,【废弃】是否在活动进行中在当前记录的按钮上显示一个“当前”角标？需要有活动ID（0：不显示，1：显示）,活动开始那一刻清空当前记录？需要有活动ID（0：不清空，1：清空）,【废弃】自定义保存当前记录副本的时间 \r\n  0：无\r\n  1：每天凌晨5点\r\n  2：每周（=周几）凌晨5点\r\n  3：每月1日凌晨5点\r\n  4：每月16日凌晨5点\r\n  5：活动开始后每间隔14天凌晨5点 \r\n  6：活动开始后每间隔91凌晨5点  \r\n  7: 自定义（=月=日）凌晨5点\r\n  8是每周自定义时间（=周几=时间0000）\r\n  9每天0点,自定义清空当前记录的时间\r\n  0：无\r\n  1：每天凌晨5点\r\n  2：每周（=周几）凌晨5点\r\n  3：每月1日凌晨5点\r\n  4：每月16日凌晨5点\r\n  5：活动开始后每间隔14天凌晨5点 \r\n  6：活动开始后每间隔91凌晨5点  \r\n  7: 自定义（=月=日）凌晨5点  ,榜单是否互斥（互斥：有一个榜单有玩家的新数据进来时，其它榜单的该玩家旧数据会清掉）,映射到TimeLimitActivityTable表ActType字段,判定属于哪个总榜（0：个人，1：活动，2：攻城战，3：公会，4：竞速）,功能Id，映射到OpenSystemTable的Id
100,极限挑战,极限挑战,14,2,100|110|120|130|140|150|160|170|180,,,1,,,,,1,5142
200,单人天地树守卫战,单人天地树,,2,200|201|202|203|204|205|206,,,,,2=1,,,1,5162
210,双人天地树守卫战,双人天地树,,3,210,,,,,2=6,,,1,5163
300,吉芬魔法大赛,吉芬魔法大赛,,,,,,,,0,,,,
400,擂台,擂台,10,2,400|401|402|403|404|405,,,1,,,1,,1,15011
600,成就,成就榜,,,,,,,,,,,,
700,时尚评分,,,1,,,,,,7=12=5|7=12=10,,,,
800,公会精英组,公会精英组,,2,800|801|802|803|804,,,,,,,,3,7015
810,公会荣誉组,公会荣誉组,,2,810|811|812|813|814,,,,,,,,3,7015
1000,时尚度,时尚度,,1,1000,,,,,,,,0,106
1100,魔物研究等级,魔物研究等级,,3,1100,,,,,,,,0,114
2001,博仁斯攻略战,博仁斯攻略战,,3,2001,,,,,,,7,1,3200
2500,雪仗原激战,雪仗原激战,,3,2500,,,,,,,26,1,4013
2510,奶油狂欢节,奶油狂欢节,,2,2510|2511|2512,,,,,,,49,1,4015
2520,记忆碎片挑战竞速排行,记忆碎片挑战,,2,2520|2521|2522,,,1,,,,52,4,3614
2600,精炼行动,精炼行动,,1,2600,,,,,,,46,1,17100
3000,普隆德拉-法德格林,普隆德拉-法德格林,22,2,3000|3001|3002|3003|3004,,,1,,,,,2,15201
3010,普隆德拉-斯科古尔,普隆德拉-斯科古尔,22,2,3010|3011|3012|3013|3014,,,1,,,,,2,15201
3020,普隆德拉-贡杜尔,普隆德拉-贡杜尔,22,2,3020|3021|3022|3023|3024,,,1,,,,,2,15201
3030,普隆德拉-斯万希尔德,普隆德拉-斯万希尔德,22,2,3030|3031|3032|3033|3034,,,1,,,,,2,15201
3050,吉芬-伊斯内尔孚,吉芬-伊斯内尔孚,22,2,3050|3051|3052|3053|3054,,,1,,,,,2,15201
3060,吉芬-贝尔格尔,吉芬-贝尔格尔,22,2,3060|3061|3062|3063|3064,,,1,,,,,2,15201
3070,吉芬-约尔布利格,吉芬-约尔布利格,22,2,3070|3071|3072|3073|3074,,,1,,,,,2,15201
3080,吉芬-梅塞兹德斯,吉芬-梅塞兹德斯,22,2,3080|3081|3082|3083|3084,,,1,,,,,2,15201
3100,斐扬-佛影,斐扬-佛影,22,2,3100|3101|3102|3103|3104,,,1,,,,,2,15201
3110,斐扬-竹林丘,斐扬-竹林丘,22,2,3110|3111|3112|3113|3114,,,1,,,,,2,15201
3120,斐扬-明庭,斐扬-明庭,22,2,3120|3121|3122|3123|3124,,,1,,,,,2,15201
3130,斐扬-天坛,斐扬-天坛,22,2,3130|3131|3132|3133|3134,,,1,,,,,2,15201
1200,载具特色度,载具特色度,,1,1200,,,,,,,,0,9006
1300,赫尔海姆竞速,赫尔海姆竞速,,3,1300,,,,,,,33,4,12011
1301,时空模拟战,时空模拟战,25,3,1301,,,,,,,,1,12107
1400,心之道场,心之道场,24,2,1400|1401|1402|1403|1404|1405|1406,,,,,2=1,,,1,5172
4000,宠物生命值,宠物生命值,,4,4000,,,,,,,,5,20015
4001,宠物物理攻击,宠物物理攻击,,4,4001,,,,,,,,5,20015
4002,宠物魔法攻击,宠物魔法攻击,,4,4002,,,,,,,,5,20015
4003,宠物物理防御,宠物物理防御,,4,4003,,,,,,,,5,20015
4004,宠物魔法防御,宠物魔法防御,,4,4004,,,,,,,,5,20015
