SkillID,Name,SkillDesc,ImportantSkillDesc
技能ID,技能名称,技能描述,重要技能提示
1000103202,治愈术,恢复自身HP值,
1000103203,暗之障壁,制造防御壁，使区域内的一个目标减免100%近战物理伤害,
1000103204,召唤波波利,召唤波波利与之一同作战,
1000103206,狂暴,提升自身攻击力,
1000103210,圣灵召唤,召唤圣灵攻击单体目标，造成念属性伤害,
1000103211,瞬间移动,随机瞬移到地图中任意位置,
1000300102,火球术,召唤火球攻击单体目标，造成火属性<color=$$Yellow$$>AOE</color>伤害,
1000300103,怒爆,以自身为中心对范围内目标造成<color=$$Yellow$$>AOE</color>伤害并击退,
1000300104,治愈术,恢复自身HP值,
1000300105,金钱攻击,使用钱币攻击单体目标,
1000300106,隐匿,立即进入隐身状态,
1000300107,坚硬躯壳,免疫物理型伤害并对施放者造成伤害,普攻及物理类技能在触发期间停止施放
1000300108,圣母之祈福,提升自身防御力,
1000300109,召唤盗虫,召唤盗虫与之一同作战,
1000300110,瞬间移动,随机瞬移到地图中任意位置,
1000113502,自动防御,提升自身防御力,
1000113503,AGI下降,降低单体目标AGI属性,
1000113504,治愈术,恢复自身HP值,
1000113505,威力提升,提升自身攻击力，攻击速度,
1000113506,AGI上升,提升自身AGI属性,
1000113507,召唤兽人战士长,召唤兽人战士长与之一同作战,
1000113508,瞬间移动,随机瞬移到地图中任意位置,
1000102102,治愈术,恢复自身HP值,
1000102103,灵魂暗击,召唤黑暗圣灵攻击单体目标，造成暗属性伤害,
1000102104,AGI下降,降低单体目标AGI属性,
1000102105,召唤小恶魔,召唤小恶魔与之一同作战,
1000102106,灵魂深渊,在指定范围生成伤害区域，造成伤害并附带定身状态,关注地面施法预警圈，注意躲避
1000102108,瞬间移动,随机瞬移到地图中任意位置,
1000118702,挑衅,以自身为中心降低范围内目标防御力，范围内目标增加攻击力,
1000118703,冰箭术,召唤数根冰箭攻击单体目标，造成水属性伤害,
1000118704,火箭术,召唤数根火箭攻击单体目标，造成火属性伤害,
1000118705,治愈术,恢复自身HP值,
1000118706,AGI提升,提升自身AGI属性,
1000118707,广域沉默,以自身为中心使范围内目标陷入沉默状态,
1000118708,盾击,攻击单体目标使其被击退并短暂陷入眩晕状态,
1000118709,威力提升,提升自身攻击力，攻击速度,
1000118710,召唤兽人弓箭手,召唤兽人弓箭手与之一同作战,
1000118711,瞬间移动,随机瞬移到地图中任意位置,
1000111602,骑乘攻击,对身前范围内目标造成<color=$$Yellow$$>AOE</color>伤害,
1000111603,自动防御,提升自身防御力,
1000111604,治愈术,恢复自身HP值,
1000111605,崩裂术,对范围内目标造成<color=$$Yellow$$>AOE</color>地属性伤害,
1000111606,广域沉默,以自身为中心使范围内目标陷入沉默状态,
1000111607,召唤卷甲虫,召唤卷甲虫与之一同作战,
1000111608,威力提升,提升自身攻击力，攻击速度,
1000111609,瞬间移动,随机瞬移到地图中任意位置,
1000101202,猛击,猛烈一击，攻击单体目标,
1000101203,武器最大化,提升自身攻击力,
1000101204,地震术,对单体目标，造成地属性伤害,
1000101205,无敌模式,召唤两个小哥布林同时获得无敌状态,解决小哥布林可解除无敌状态
1000101206,召唤小哥布林,召唤小哥布林与之一同作战,
1000101207,瞬间移动,随机瞬移到地图中任意位置,
1000112102,AGI提升,提升自身AGI属性,
1000112103,治愈术,恢复自身HP值,
1000112104,雷鸣术,对单体目标造成伤害并击退，造成风属性伤害,
1000112105,光之障壁,制造防御壁，使区域内的一个目标减免100%远程物理伤害,
1000112106,沉默攻击,对单体目标造成伤害，并使目标陷入沉默状态,
1000112107,广域沉默,以自身为中心使范围内目标陷入沉默状态,
1000112108,召唤蜂兵,召唤蜂兵与之一同作战,
1000112109,瞬间移动,随机瞬移到地图中任意位置,
1000110302,AGI提升,提升自身AGI属性,
1000110304,AGI下降,降低单体目标AGI属性,
1000110305,武器最大化,提升自身攻击力,
1000110306,水球术,召唤数颗水球攻击单体目标，造成水属性伤害,
1000110307,召唤恶灵,召唤恶灵与之一同作战,
1000110308,缓速术,降低目标移动速度,
1000110309,瞬间移动,随机瞬移到地图中任意位置,
1000110702,AGI提升,提升自身AGI属性,
1000110703,诅咒攻击,对单体目标造成伤害，并使目标选入诅咒状态,
1000110704,黑暗瞬间,以自身为中心对范围内目标造成<color=$$Yellow$$>AOE</color>伤害并有概率使目标陷入眩晕，黑暗或流血状态,
1000110705,威力提升,提升自身攻击力，攻击速度,
1000110706,泥沼地,"在指定区域内制造沼泽地，使进入的目标降低AGI,DEX以及移动速度",
1000110707,石化术,使单体目标陷入石化状态,
1000110708,病毒散拨,在指定区域内制造毒性区域，使进入的目标陷入中毒状态,
1000110709,召唤蛇女伊丝,召唤蛇女伊丝与之一同作战,
1000110710,瞬间移动,随机瞬移到地图中任意位置,
1000111302,治愈术,恢复自身HP值,
1000111304,崩裂术,对范围内目标造成<color=$$Yellow$$>AOE</color>地属性伤害,
1000111305,隐匿,立即进入隐身状态,
1000111306,广域沉默,以自身为中心使范围内目标陷入沉默状态,
1000111307,召唤蚯蚓,召唤蚯蚓伊丝与之一同作战,
1000111308,威力提升,提升自身攻击力，攻击速度,
1000111309,广域石化,以自身为中心使范围内目标陷入石化状态,
1000111310,瞬间移动,随机瞬移到地图中任意位置,
1000119602,怒爆,以自身为中心对范围内目标造成<color=$$Yellow$$>AOE</color>伤害并击退,
1000119603,火球术,召唤火球攻击单体目标，造成火属性<color=$$Yellow$$>AOE</color>伤害,
1000119604,治愈术,恢复自身HP值,
1000119605,威力提升,提升自身攻击力，攻击速度,
1000119606,暴怒猛击,对单体目标连续猛击，造成伤害,
1000119607,召唤大脚熊,召唤大脚熊与之一同作战,
1000119608,瞬间移动,随机瞬移到地图中任意位置,
1000122702,AGI下降,降低单体目标AGI属性,
1000122703,无影之牙,隐身状态下对目标造成<color=$$Yellow$$>AOE</color>伤害，并降低目标移速,使用【火狩】、【光猎】等反隐技能破隐
1000122704,隐匿,立即进入隐身状态,
1000122705,沉默攻击,对单体目标造成伤害，并使目标陷入沉默状态,
1000122706,吸血,攻击单体目标并恢复自身血量,
1000122707,召唤吸血蝙蝠,召唤吸血蝙蝠与之一同作战,
1000122708,瞬间移动,随机瞬移到地图中任意位置,
1000122402,冰箭术,召唤数根冰箭攻击单体目标，造成水属性伤害,
1000122403,火箭术,召唤数根火箭攻击单体目标，造成火属性伤害,
1000122404,雷击术,召唤数道雷电攻击单体目标，造成风属性伤害,
1000122405,大地之击,以自身为中心对范围内目标造成眩晕状态,
1000122406,金钱攻击,使用钱币攻击单体目标,
1000122407,威力提升,提升自身攻击力，攻击速度,
1000122408,召唤九尾狐,召唤九尾狐与之一同作战,
1000122409,瞬间移动,随机瞬移到地图中任意位置,
1000104102,治愈术,恢复自身HP值,
1000104103,怒雷强击,在指定区域内制造怒雷区域，对目标造成<color=$$Yellow$$>AOE</color>风属性伤害,
1000104106,地狱审判,以自身为中心对范围内目标造成<color=$$Yellow$$>AOE</color>伤害,
1000104107,狂暴,提升自身攻击力,
1000104108,黑暗吐息,在身前范围制造黑暗火焰，对目标造成<color=$$Yellow$$>AOE</color>伤害,
1000104110,瞬间移动,随机瞬移到地图中任意位置,
1000104111,召唤小巴风特,召唤小巴风特与之一同作战,
1000104113,陨石术,在指定区域内制造陨石区域，对目标造成<color=$$Yellow$$>AOE</color>火属性伤害,
1000124402,冲锋箭,对单体目标造成伤害并击退,
1000124403,灵魂暗击,召唤黑暗圣灵攻击单体目标，造成暗属性伤害,
1000124404,治愈术,恢复自身HP值,
1000124405,召唤随从,召唤马尔杜克和帕莎纳与之一同作战,
1000124406,瞬间移动,随机瞬移到地图中任意位置,
1000123011,泯灭暗焱刃,刺向地心的一剑，对圆型范围内6处扇形区域造成暗属性伤害,关注地面施法预警圈，注意躲避
1000123012,怪物互击,自身前方一定区域的范围攻击，对范围内目标造成<color=$$Yellow$$>AOE</color>伤害,
1000123003,剑攻速增加,提升自身的攻击速度,
1000123004,大地之击,以自身为中心对范围内目标造成眩晕状态,
1000123005,无视防御攻击,忽视目标防御的一击,
1000123006,螺旋击刺,用尽全力的一记刺击，会造成大量伤害,
1000123007,威力提升,提升自身攻击力,
1000123009,召唤梦魇,每隔一段时间，在自身周围召唤梦魇一同作战,坦克需要拉住小怪，避免小怪去找输出和治疗
1000975102,雷暴剑,抽出虚空剑顺劈，对单体目标造成风属性伤害,
1000975103,贯雷横切,集雷电之力于剑，对环形范围内目标造成<color=$$Yellow$$>AOE</color>风属性伤害,关注地面施法预警圈，注意躲避
1000975104,连锁闪电,对所有目标发出闪电链，造成<color=$$Yellow$$>AOE</color>风属性伤害,技能伤害只相关自身防御力，无法被暗之障壁，光之障壁，霸邪之阵，双剑格挡等技能抵挡
1000975105,雷电能量,在目标身上种下雷电能量，数秒后爆发对其周围造成风属性伤害,注意与队友之间的距离，尽可能远离队友
1000975106,致命雷暴,改变天气，召唤无数雷暴从地面冲天而起，造成风属性伤害,关注地面施法预警圈，注意躲避
1000500604,多重打击,狂甩舌头，对单体目标造成连击伤害,
1000500605,重力冲击,跳起下落，使用重力能量向四周发射能量波，能量波在撞到障碍物或造成一次伤害后消失,在吟唱时注意躲在障碍物后
1000500603,蘑菇生长,在场地中召唤出1个紫色孢子，孢子在一段延迟后会生长出剧毒魔菇，释放毒液泥沼造成<color=$$Yellow$$>AOE</color>伤害,紫色孢子出生后需要立即转火，消灭孢子
1000500611,重力震荡,跳起后重重落下，对全场造成<color=$$Yellow$$>AOE</color>伤害,技能伤害只相关自身防御力，无法被暗之障壁，光之障壁，霸邪之阵，双剑格挡等技能抵挡
1000500610,爆炸蘑菇,在场地中召唤出5个红色孢子，孢子在短暂延迟后会爆炸并对周围造成<color=$$Yellow$$>AOE</color>伤害,红色孢子出生后可以直接踩碎孢子，或躲开预警圈
1000500612,定身蛛网,向一个随机目标喷出事先准备的蛛网，并使其定身,
1000500606,狂暴,血量少于30%后，进入狂暴状态，技能有所增强，并提升攻击力和攻速,
1000520112,海盗宿命,随机让目标陷入海盗宿命，短暂延迟后让附近的单位感染坏血病,注意与队友之间的距离，尽可能远离队友
1000520106,海浪冲击,召唤海浪，对场内造成水属性魔法伤害,关注地面施法预警圈，注意躲避
1000520123,水球术,对当前仇恨目标发射水球，造成水属性魔法伤害,水属性防御可有效抵抗该伤害
1000520127,贯穿剑道,施展贯穿剑术，对随机单体目标造成巨量近战物理伤害,霸邪/暗障可有效抵抗该伤害
1000520102,潮汐之刃,使潮汐之力附着在剑刃上，对全场所有目标造成水属性物理伤害,技能伤害只相关自身防御力，无法被暗之障壁，光之障壁，霸邪之阵，双剑格挡等技能抵挡
