SuitId,Type,Dec,PictureNameBoy,PictureNameGirl,PictureNameBigBoy,PictureNameBigGirl,IdType,ComponentIDBoy,ComponentIDGirl,Awardid,SortId,SpecialEffects,PrefabBoy,PrefabGirl,LocalizationArea
套装ID,类型1神话 2异色3普通套装 4饰品收集,套装名称,男小图片名,女小图片名,男大图片名,女大图片名,1代表异色，0代表非异色,男角色套装内组合,女角色套装内组合,激活奖励id,排序id,特效名,男翅膀对应特效prefab,女翅膀对应特效prefab,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加）
1,1,诗嘉古尔的庇佑,LegendFashion/UI_LegendFashion_Frame2.png,LegendFashion/UI_LegendFashion_Frame4.png,LegendFashion/UI_LegendFashion_pic04.png,LegendFashion/UI_LegendFashion_pic02.png,0,1078001|1088001|1098001|1108001|1018001,1078003|1088003|1098003|1108003|1018002,5500136,1,Fx_TianKongTao_MoFaXi_LanSe_01,Back_F_FaXiTianKongTao_01_Effects_01,Back_M_FaXiTianKongTao_01_Effects_01,11
2,1,亚尔薇特的祝福,LegendFashion/UI_LegendFashion_Frame3.png,LegendFashion/UI_LegendFashion_Frame1.png,LegendFashion/UI_LegendFashion_pic03.png,LegendFashion/UI_LegendFashion_pic01.png,0,1078002|1088002|1098002|1108002|1018003,1078004|1088004|1098004|1108004|1018004,5500136,2,Fx_TianKongTao_WuLiXi_LanSe_01,Back_F_WuLiTianKongTao_01_Effects_01,Back_M_WuLiTianKongTao_01_Effects_01,11
3,2,诗嘉古尔的庇佑,LegendFashion/UI_LegendFashion_Frame2_1.png,LegendFashion/UI_LegendFashion_Frame4_1.png,LegendFashion/UI_LegendFashion_pic04_1.png,LegendFashion/UI_LegendFashion_pic02_1.png,1,1078001|1088001|1098001|1108001|1018001,1078003|1088003|1098003|1108003|1018002,5500136,3,Fx_TianKongTao_MoFaXi_BaiSe_01,Back_F_FaXiTianKongTao_01_Effects_02,Back_M_FaXiTianKongTao_01_Effects_02,11
4,2,亚尔薇特的祝福,LegendFashion/UI_LegendFashion_Frame3_1.png,LegendFashion/UI_LegendFashion_Frame1_1.png,LegendFashion/UI_LegendFashion_pic03_1.png,LegendFashion/UI_LegendFashion_pic01_1.png,1,1078002|1088002|1098002|1108002|1018003,1078004|1088004|1098004|1108004|1018004,5500136,4,Fx_TianKongTao_WuLiXi_BaiSe_01,Back_F_WuLiTianKongTao_01_Effects_02,Back_M_WuLiTianKongTao_01_Effects_02,11
5,3,小怪兽的甜甜梦,,,,,0,1070209|1080063|1010043,1070209|1080063|1010044,5500135,5,,,,11
6,3,太珍儿同款限定,,,,,0,1080056|1070197|1010045,1080056|1070197|1010046,5500135,6,,,,11
7,3,玩具仪仗队,,,,,0,1090054|1070226|1010053,1090054|1070226|1010054,5500135,7,,,,11
8,3,2020至臻黑金限定,,,,,0,1070231|1080080|1010057,1070231|1080080|1010058,5500135,8,,,,11
9,3,执事&女仆,,,,,0,1070014|1070041|1010007,1070014|1070041|1010008,5500135,9,,,,11
10,3,惊奇派对,,,,,0,1080055|1070196|1100013|1010047,1080055|1070196|1100013|1010048,5500135,10,,,,11
11,3,铃儿响叮当,,,,,0,1070208|1080057|1090051|1010049,1070208|1080057|1090051|1010050,5500135,11,,,,11
12,3,青春记事簿,,,,,0,1080003|1090014|1070032|1010019,1080003|1090014|1070032|1010020,5500135,12,,,,11
13,3,海洋总动员,,,,,0,1090013|1070162|1070166|1070099|1010011,1090013|1070162|1070166|1070099|1010012,5500135,13,,,,11
14,3,大侦探,,,,,0,1070173|1080039|1090038|1100020|1010029,1070173|1080039|1090038|1100020|1010030,5500135,14,,,,11
15,3,见习医师,,,,,0,1080016|1090006|1080023|1070178|1010035,1080016|1090006|1080023|1070178|1010036,5500135,15,,,,11
16,3,奇妙南瓜夜,,,,,0,1080042|1070181|1070179|1100011|1010037,1080042|1070181|1070179|1100011|1010038,5500135,16,,,,11
17,3,王牌飞行员,,,,,0,1080046|1070182|1080045|1100012|1010041,1080046|1070182|1080045|1100012|1010042,5500135,17,,,,11
18,3,搞怪小恶魔,,,,,0,1070067|1080033|1080034|1100006|1010005,1070067|1080033|1080034|1100006|1010006,5500135,18,,,,11
19,3,冬日暖心,,,,,0,1070210|1080058|1090053|1100017|1010051,1070210|1080058|1090053|1100017|1010052,5500135,19,,,,11
20,4,萌新三件套,,,,,0,1070016|1070031|1070051,1070016|1070031|1070051,5500134,20,,,,11
21,4,圣诞老爷爷,,,,,0,1080067|1070163|1090052|1100016,1080067|1070163|1090052|1100016,5500134,21,,,,11
22,4,我就是MVP,,,,,0,1070006|1090002|1080064|1100019,1070006|1090002|1080064|1100019,5500134,22,,,,11
23,4,航海时代,,,,,0,1070056|1080010|1070021|1090025,1070056|1080010|1070021|1090025,5500134,23,,,,11
24,4,小丑工坊,,,,,0,1080015|1090049|1070065|1080054,1080015|1090049|1070065|1080054,5500134,24,,,,11
25,4,各种耳朵,,,,,0,1070005|1070167|1070091|1070093,1070005|1070167|1070091|1070093,5500134,25,,,,11
26,4,追光之翼,,,,,0,1070001|1080004|1100002|1070172,1070001|1080004|1100002|1070172,5500134,26,,,,11
27,4,黯黑之翼,,,,,0,1090018|1080032|1070008|1080017|1100004,1090018|1080032|1070008|1080017|1100004,5500134,27,,,,11
28,4,小兔子爱吃草,,,,,0,1070169|1080038|1090027|1100008|1100009,1070169|1080038|1090027|1100008|1100009,5500134,28,,,,11
29,4,魔物大乱斗,,,,,0,1070119|1070120|1070121|1070122|1070123,1070119|1070120|1070121|1070122|1070123,5500134,29,,,,11
30,4,波利收集控,,,,,0,1100007|1070115|1100001|1070203|1070205,1100007|1070115|1100001|1070203|1070205,5500134,30,,,,11
31,4,好多花,,,,,0,1090047|1070059|1070145|1090001|1090011,1090047|1070059|1070145|1090001|1090011,5500134,31,,,,11
32,4,甜品爱好者,,,,,0,1090004|1090015|1090035|1090036|1090037,1090004|1090015|1090035|1090036|1090037,5500134,32,,,,11
33,4,音乐发烧友,,,,,0,1070143|1070156|1090016|1070157|1070183,1070143|1070156|1090016|1070157|1070183,5500134,33,,,,11
34,1,时空漫游者,LegendFashion/UI_LegendFashion_Frame5.png,LegendFashion/UI_LegendFashion_Frame6.png,LegendFashion/UI_LegendFashion_pic05.png,LegendFashion/UI_LegendFashion_pic06.png,0,1078005|1088005|1098005|1108005|1018005,1078006|1088006|1098006|1108006|1018006,5500136,34,,Back_M_JiJia_01_Effects_01,Back_F_JiJia_01_Effects_01,9
35,2,时空漫游者,LegendFashion/UI_LegendFashion_Frame5_1.png,LegendFashion/UI_LegendFashion_Frame6_1.png,LegendFashion/UI_LegendFashion_pic05_1.png,LegendFashion/UI_LegendFashion_pic06_1.png,1,1078005|1088005|1098005|1108005|1018005,1078006|1088006|1098006|1108006|1018006,5500136,35,,Back_M_JiJia_01_Effects_02,Back_F_JiJia_01_Effects_02,9
