JackpotNum,,LotteryModel,LotteryPropID,RefreshLimitNum,LimitNum,LotteryConsume,FinishType,FinishContent,ConditionType,ConditionContent,PreviewItem,Name,Sort,ProbabilityShows,ExtraType,ExtraProp,ExtraProbability,Lucky
奖池参数（道具为LotteryPropTable中对应JackpotNum中一样的参数）,奖池名称,抽奖模式（1为抽一个就没一个；2为可循环抽取）,对应LotteryPropTable中的主键（竖线隔开）,抽取次数限制的刷新类型(type:0或者不填为不刷新;1每天0点;2每天5点;3每周周一0点;4每周一5点;9为CD9=小时)9=12,对应奖池抽取次数限制,消耗（下限=上限=消耗道具=消耗数量|下限=上限=消耗道具=消耗数量，区间左闭右闭）,完成条件枚举（1为FinishContent中道具任有一个，则此奖池完成）,完成条件参数（对应LotteryProp表中主键）,开启条件枚举（1为ConditionContent中奖池全部开启，才会开启此奖池，为空时默认无条件直接开启）,开启条件参数，ConditionType为空时不读这个字段,奖励预览显示（LotteryPropTable的ID）,奖池名称,排序（用于排序奖池）,ProbabilityInterface中的InterfaceID，具体道具去ProbabilityDetails表格中查询,0为无额外掉落，1为有,额外掉落道具，道具id=道具数量|道具id=道具数量,伪随机，索引ProbabilityVariationTable中主键,每次可获得幸运值数量（依次为每次的权重）
1001,脸,1,100101|100102|100103|100104|100105|100106|100107|100108|100109|100110,,8,1=1=2035004=0|2=8=2035004=1,1,100101,,,100101,猫耳泳镜奖池,10,5001,,,,
1002,头,1,100201|100202|100203|100204|100205|100206|100207|100208|100209|100210|100211,,8,1=8=2035004=2,1,100201,,,100201,卡普拉发圈奖池,20,5002,,,,
1003,嘴,1,100301|100302|100303|100304|100305|100306|100307|100308|100309|100310|100311|100312,,8,1=8=2035004=2,1,100301,,,100301,花叶嘴饰奖池,30,5003,,,,
1004,背+背图纸,1,100401|100402|100403|100404|100405|100406|100407|100408|100409|100410|100411|100412|100413,,8,1=8=2035004=3,1,100401|100402,,,100401|100402,波利背包奖池,40,5004,,,,
1005,载具,1,100501|100502|100503|100504|100505|100506|100507|100508|100509|100510|100511|100512|100513|100514|100515|100516,,12,1=1=2035004=0|2=12=2035004=4,1,100501,1,1001|1002|1003|1004,100501,抱抱熊奖池,50,5005,,,,
1006,时装+头饰,1,100601|100602|100603|100604|100605|100606|100607|100608|100609|100610|100611|100612|100613|100614|100615|100616|100617|100618|100619,,12,1=1=2035004=0|2=12=2035004=4,1,100601|100602,1,1001|1002|1003|1004,100601|100602,传统韩服奖池,60,5006,,,,
1007,姜饼人,1,100701|100702|100703|100704|100705|100706|100707|100708|110701|110702|110703|110704|110705|110706|110707|110708,,8,1=1=2035006=0|2=8=2035006=1,1,100701|110701,,,100701|110701,姜饼人嘴饰,10,5007,0,,1,
1008,圣诞眼镜,1,100801|100802|100803|100804|100805|100806|100807|100808|100809|100810|100811|100812|110801|110802|110803|110804|110805|110806|110807|110808|110809|110810|110811|110812,,12,1=12=2035006=2,1,100801|110801,,,100801|110801,圣诞眼镜脸饰,20,5008,0,,2,
1009,麋鹿帽子,1,100901|100902|100903|100904|100905|100906|100907|100908|100909|100910|100911|100912|100913|100914|100915|100916|110901|110902|110903|110904|110905|110906|110907|110908|110909|110910|110911|110912|110913|110914|110915|110916,,16,1=16=2035006=3,1,100901|110901,,,100901|110901,麋鹿帽子头饰,30,5009,0,,3,
1010,圣诞礼物袋,1,101001|101002|101003|101004|101005|101006|101007|101008|101009|101010|101011|101012|101013|101014|101015|101016|101017|101018|101019|101020|111001|111002|111003|111004|111005|111006|111007|111008|111009|111010|111011|111012|111013|111014|111015|111016|111017|111018|111019|111020,,20,1=20=2035006=4,1,101001|111001,,,101001|111001,圣诞礼物袋背饰,40,5010,0,,4,
1011,圣诞载具,1,101201|101202|101203|101204|101205|101206|101207|101208|101209|101210|101211|101212|101213|101214|101215|101216|101217|101218|101219|101220|101221|101222|101223|101224|111201|111202|111203|111204|111205|111206|111207|111208|111209|111210|111211|111212|111213|111214|111215|111216|111217|111218|111219|111220|111221|111222|111223|111224,,24,1=1=2035006=0|2=24=2035006=5,1,101201|111201,1,1007|1008|1009|1010,101201|111201,驯鹿摩托车载具,60,5011,0,,5,
1012,圣诞装,1,101101|101102|101103|101104|101105|101106|101107|101108|101109|101110|101111|101112|101113|101114|101115|101116|101117|101118|101119|101120|101121|101122|101123|101124|101125|111101|111102|111103|111104|111105|111106|111107|111108|111109|111110|111111|111112|111113|111114|111115|111116|111117|111118|111119|111120|111121|111122|111123|111124|111125,,24,1=1=2035006=0|2=24=2035006=5,1,101101|101102|111101|111102,1,1007|1008|1009|1010,,圣诞快乐时装,50,5012,0,,6,
1013,花牌,1,101301|101302|101303|101304|101305|101306|101307|101308|101309|101310|111301|111302|111303|111304|111305|111306|111307|111308|111309|111310|121301|121302|121303|121304|121305|121306|121307|121308|121309|121310,,10,1=1=2035010=0|2=10=2035010=1,1,101301|111301|121301,,,101301|111301|121301,花牌,10,5013,0,,7,
1014,烟花棒,1,101401|101402|101403|101404|101405|101406|101407|101408|101409|101410|111401|111402|111403|111404|111405|111406|111407|111408|111409|111410|121401|121402|121403|121404|121405|121406|121407|121408|121409|121410|100103|100104|100105|100106|100107|100108|100109|100110,,16,1=16=2035010=1,1,101401|111401|121401,,,101401|111401|121401,烟花棒,20,5014,0,,8,
1015,烟花发箍,1,101501|101502|101503|101504|101505|101506|101507|101508|101509|101510|101511|101512|101513|101514|101515|101516|111501|111502|111503|111504|111505|111506|111507|111508|111509|111510|111511|111512|111513|111514|111515|111516|121501|121502|121503|121504|121505|121506|121507|121508|121509|121510|121511|121512|121513|121514|121515|121516,,16,1=16=2035010=2,1,101501|111501|121501,,,101501|111501|121501,烟花发箍,30,5015,0,,9,
1016,巨大烟花炮,1,101601|101602|101603|101604|101605|101606|101607|101608|101609|101610|101611|101612|101613|101614|101615|101616|101617|101618|101619|101620|111601|111602|111603|111604|111605|111606|111607|111608|111609|111610|111611|111612|111613|111614|111615|111616|111617|111618|111619|111620|121601|121602|121603|121604|121605|121606|121607|121608|121609|121610|121611|121612|121613|121614|121615|121616|121617|121618|121619|121620|100208|100209|100210|100211,,24,1=24=2035010=3,1,101601|111601|121601,,,101601|111601|121601,巨大烟花炮,40,5016,0,,10,
