ID,JackpotNum,Description,Prop,SortID,PriorityLevel,PrdID,Weight,DoorTime,BindInfo,ServerDaylLimit,GenderLimit
主键（主键格式：奖池id+2位数）,奖池参数（每个id是一个奖池）,备注字段（活动名字）,道具（道具id=道具数量）,排序id（小在前，大在后，排序id一样，按照item品质从大到小，品质一样，按id从小到大）,优先级，先抽取数值低的，再抽数值高的（1-5）,如果不为-1时，去ProbabilityVariationTable表ProbabilityVariation列（配置行），查询每次抽奖的概率,权重,门槛次数，未达到次数的无法抽到（5次开始可以抽到）,是否绑定（0为不绑，1为绑定，默认不绑）,服务器天数限制（开启活动时的服务器天数，默认没有限制）,性别显示（0男1女2无限制）
100101,1001,猫耳泳镜,1080036=1,1,1,1,50,0,1,0,2
100102,1001,50级装备图纸碎片,2034008=10,2,2,-1,50,0,1,1=17,2
100103,1001,70级装备图纸碎片,2034010=10,3,2,-1,50,0,1,18=33,2
100104,1001,80级装备图纸碎片,2034011=10,4,2,-1,50,0,1,34=9999,2
100105,1001,贝思波齿轮幸运箱,3010116=1,5,2,-1,50,0,1,0,2
100106,1001,微型精炼袋子,3010107=2,7,2,-1,30,0,1,0,2
100107,1001,Zeny随机宝箱,3010117=1,6,2,-1,30,0,1,0,2
100108,1001,小声望箱子,3026006=25,8,2,-1,60,0,1,0,2
100109,1001,战斗补给箱,3010108=1,9,2,-1,50,0,1,0,2
100110,1001,以太因子补充卡,2040016=1,10,2,-1,40,0,1,0,2
100201,1002,卡普拉发圈,1070014=1,1,1,2,40,0,1,0,2
100202,1002,50级装备图纸碎片,2034008=20,2,2,-1,50,0,1,1=17,2
100203,1002,70级装备图纸碎片,2034010=20,3,2,-1,50,0,1,18=33,2
100204,1002,80级装备图纸碎片,2034011=20,4,2,-1,50,0,1,34=9999,2
100205,1002,阳光猕猴桃幸运箱,3010118=1,7,2,-1,30,0,1,0,2
100206,1002,传说水晶,3020016=20,5,2,-1,20,0,1,75=9999,2
100207,1002,微型精炼袋子,3010107=4,6,2,-1,20,0,1,1=74,2
100208,1002,崩裂迪齿轮,3024024=1,9,2,-1,15,0,1,0,2
100209,1002,受祝福的矿石自选袋子,2091166=2,8,2,-1,30,0,1,0,2
100210,1002,魔力晶石,40000010=600,10,2,-1,60,0,1,0,2
100211,1002,超级幸运打宝糖,1400302=2,11,2,-1,40,0,1,0,2
100301,1003,花叶,1090001=1,1,1,3,50,0,1,0,2
100302,1003,50级装备图纸碎片,2034008=20,2,2,-1,50,0,1,1=17,2
100303,1003,70级装备图纸碎片,2034010=20,3,2,-1,50,0,1,18=33,2
100304,1003,80级装备图纸碎片,2034011=20,4,2,-1,50,0,1,34=9999,2
100305,1003,卡片转蛋,2091111=1,5,2,-1,30,0,1,0,2
100306,1003,传说水晶,3020016=20,6,2,-1,30,0,1,75=9999,2
100307,1003,微型精炼袋子,3010107=4,11,2,-1,30,0,1,1=74,2
100308,1003,紫色武器自选时空卡册（7天）,2091165=1,7,2,-1,25,0,1,0,2
100309,1003,受祝福的矿石自选袋子,2091166=2,12,2,-1,30,0,1,0,2
100310,1003,Zeny随机宝箱,3010117=1,8,2,-1,50,0,1,0,2
100311,1003,莫拉硬币,3021001=50,9,2,-1,30,0,1,35=9999,2
100312,1003,奇异金属,2034006=250,10,2,-1,30,0,1,1=34,2
100401,1004,波利背包男,1100001=1,1,1,4,50,0,1,0,0
100402,1004,波利背包女,1100001=1,2,1,4,50,0,1,0,1
100403,1004,50级装备图纸碎片,2034008=30,3,2,-1,50,0,1,1=17,2
100404,1004,70级装备图纸碎片,2034010=30,4,2,-1,50,0,1,18=33,2
100405,1004,80级装备图纸碎片,2034011=30,5,2,-1,50,0,1,34=9999,2
100406,1004,莫拉硬币幸运箱,3010119=1,8,2,-1,30,0,1,35=9999,2
100407,1004,贝思波齿轮幸运箱,3010116=2,10,2,-1,30,0,1,1=34,2
100408,1004,中级钛钢,3024029=1,11,2,-1,25,0,1,0,2
100409,1004,传说水晶,3020016=30,6,2,-1,50,0,1,75=9999,2
100410,1004,微型精炼袋子,3010107=6,12,2,-1,50,0,1,1=74,2
100411,1004,超级饼干,3024003=10,9,2,-1,30,0,1,0,2
100412,1004,精炼保护礼盒Ⅰ,3010106=1,13,2,-1,40,0,1,0,2
100413,1004,Zeny随机宝箱,3010117=1,7,2,-1,50,0,1,0,2
100501,1005,抱抱熊,1020007=1,1,1,5,50,0,1,0,2
100502,1005,50级装备图纸碎片,2034008=40,2,2,-1,50,0,1,1=17,2
100503,1005,70级装备图纸碎片,2034010=40,3,2,-1,50,0,1,18=33,2
100504,1005,80级装备图纸碎片,2034011=40,4,2,-1,50,0,1,34=9999,2
100505,1005,崩裂迪齿轮幸运箱,3010120=1,5,2,-1,14,2,1,0,2
100506,1005,小型精炼礼盒Ⅱ,3010105=1,10,2,-1,50,0,1,0,2
100507,1005,精炼保护礼盒Ⅰ,3010106=1,14,2,-1,35,0,1,0,2
100508,1005,C型稀有头饰材料包,2092008=3,15,2,-1,40,0,1,0,2
100509,1005,Zeny随机宝箱,3010117=2,9,2,-1,40,0,1,0,2
100510,1005,超级饼干,3024003=15,12,2,-1,60,0,1,0,2
100511,1005,传说水晶,3020016=40,7,2,-1,50,0,1,75=9999,2
100512,1005,野生猕猴桃,3024004=20,13,2,-1,50,0,1,1=74,2
100513,1005,莫拉硬币,3021001=90,11,2,-1,50,0,1,35=9999,2
100514,1005,紫色武器自选时空卡册（7天）,2091165=1,8,2,-1,50,0,1,1=34,2
100515,1005,受祝福的矿石自选袋子,2091166=5,6,2,-1,60,0,1,0,2
100516,1005,以太因子增幅卡,2040017=1,16,2,-1,60,0,1,0,2
100601,1006,传统韩服,1010021=1,1,1,6,50,0,1,0,0
100602,1006,传统韩服,1010022=1,2,1,6,50,0,1,0,1
100603,1006,红花女冠,1070104=1,3,2,-1,11,2,1,0,1
100604,1006,使道帽子,1070095=1,4,2,-1,11,2,1,0,0
100605,1006,50级装备图纸碎片,2034008=40,5,2,-1,50,0,1,1=17,2
