Id,Type,,JackpotNumId,MallID
功能Id（对应opensystem表中的功能ID),对应抽奖程序代码，服务器给到,标题（策划备注用）,奖池ID(LotteryGroupTable的JackpotNum，|分隔配置多个）,商店ID(卖场malltable对应的商店id）
14020,14,秋夕抽奖活动,1001|1002|1003|1004|1005|1006,
14022,32,圣诞抽奖,1007|1008|1009|1010|1011|1012,1501
14024,32,春节抽奖,1013|1014|1015|1016|1017|1018,1502
14026,32,儿童节抽奖,1025|1026|1027|1028|1029|1030,1503
14028,32,夏日抽奖祭,1031|1032|1033|1034|1035|1036,1507
14031,32,秋夕抽奖祭,1037|1038|1039|1040|1041|1042,1508
14033,32,爱意抽奖祭,1043|1044|1045|1046|1047|1048,1509
29901,50,卡片树抽奖1,2001,1505
29903,50,许愿树-7月,2002,1506
