Id,Title,Sender,SendName,Content,AwardId,MailGroupContent,ExpireTime,IsTemplate,MinBaseLevel,ItemChangeReason,Payment,ImportantMail
邮件模版id1-999：系统邮件1000-1999：公会邮件2000-2999：个人邮件3000-3999：好友邮件4000-4999：商会邮件5000-5999：系统奖励邮件 ,标题（长度上线为14个汉字）,寄件人(填NpcTable表里的ID，目前仅支持npc表对于ID有头像的，不支持拼接的),寄件人的名字显示（Npc的填对于ID，具体人发送的填{0}）,内容（内容上限为300个汉字）,奖励id,邮件奖励组内容,有效期（天）,是否是模版邮件1：是模板，显示表格中的标题、内容0：不是模板，不显示表格中标题、内容，发邮件采用自定义模板，显示发送时配置的内容、标题。,大于等于该等级才可收到对应邮件,道具获取途径(不填则默认记录为33邮件),当配置为1时，该邮件为付费邮件，玩家领取前会弹出【领取提示】，确认后即可领取邮件，取消则不领取邮件。当配置为0或者空时，该邮件为正常邮件，遵循其固有的领取逻辑。,是否为重要邮件，配置1则是重要邮件，配置0或者不配则不是重要邮件
1,,1600,,,,2010001=15=1|2010005=15=1,30,1,,,,
2,,1600,,,,,30,0,,,,
3,,1600,,,,,999,0,,,1,
4,,1600,,,,,30,0,,,,1
5,,1600,,,,,30,0,,,,
99,系统邮件,4,,昨天您有部分波利点数奖励未领取，现在都在这里，请收下~,,,15,1,,,,
101,贤者的回忆,245,,挑战贤者的回忆进阶模式失败，返还同调水晶，请注意查收！,,,1,1,,,,
1000,创建成功,6001,,恭喜你成功创建{0}公会，相信在你的带领下，{1}公会一定变得越来越繁荣，成为团结有爱的大家庭。,,,10,1,,,,
1001,欢迎加入,6001,,欢迎你加入到{0}公会大家庭！快去和大家打声招呼吧~,,,3,1,,,,
1002,就任会长,6001,,恭喜你成为新一任的{0}公会会长，相信在你的带领下，{1}公会一定变得比原来更热闹，成为团结有爱的大家庭。,,,3,1,,,,
1003,公会升级,6001,,经过大家的共同努力，{0}达到了{1}级，再接再励~,,,3,1,,,,
1004,公会群发信息,0,{0},{0},,,3,1,,,,
1005,公会礼盒发放,6001,,感谢你对公会做出的杰出贡献，会长给你发放了一个公会礼盒，请注意查收！,,2050002=1,7,1,,,,
1006,公会狩猎宝箱发放,6001,,感谢你在公会狩猎中的优异表现，这是你尚未领取的奖励，请注意查收！,,2050005=1,7,1,,,,
1007,研究停止,6001,,公会研究的{0}水晶已经达到上限，研究自动停止，请选择其他水晶进行研究。,,,3,1,,,,
1008,关注物品拍卖提醒,6001,,您关注的以下物品已经开始拍卖了：{0}拍卖时间截至周日22:00，请留意竞拍。,,,2,1,,,,
1009,公会竞拍成功,6001,,恭喜你花费{0}公会贡献，成功竞拍了{1}，请查收。,,,30,1,,,,
1010,公会竞拍失败,6001,,很遗憾，你未能成功竞拍{0}，现返还全部竞拍扣除的公会贡献,,,30,1,,,,
1011,公会拍卖关闭,6001,,本次公会拍卖由于服务器维护非正常关闭，拍卖物品均返回公会仓库，现返还所有竞拍扣除的公会贡献。,,,30,1,,,,
1012,请离公会通知,6001,,你已经被{0}请离出{1}公会了，你现在已经没有公会。\n(若离会期间未加过其他公会，再加回{2}公会则会保留之前的公会贡献),,,30,1,,,,
1013,公会狩猎红包发放,6001,,"你在公会狩猎中的优异表现，积分排名第{0},请收下这份奖励，以后继续加油哦！",,2050007=1,7,1,,,,
1014,职位调整通知,6001,,您的职位被会长{0}调整成{1}，公会的发展和壮大离不开您的管理和维护，一起加油~,,,3,1,,,,
1015,职位调整通知,6001,,您的职位被会长{0}调整成{1}，您将获得众多展示特权，包含聊天特殊标识、公会专属镜像、额外头饰材料赠送次数等，公会娱乐室到达{2}级时还会解锁专属聊天气泡框。但是成为{3}需要您每周保持足够高的活跃哦~公会和谐友爱的气氛离不开您的积极参与。,,,3,1,,,,
1016,职位自动罢免通知,6001,,由于您的职称{0}对活跃度有较高要求，您的上周活跃度没有达到{1}，系统自动收回您的{2}职位，请您谅解。,,,3,1,,,,
1017,职位特权通知,6001,,由于公会娱乐室等级达到{0}级，解锁了公会魅力担当的专属聊天框，请查收使用。,,,3,1,,,,
1100,公会匹配赛入围通知,50101,,公会匹配赛将在<color=$$Yellow$$>{0}</color>举行，您所在的公会已入围，对手公会为<color=$$Yellow$$>{1}</color>。报名时间为<color=$$Yellow$$>{2}</color>至<color=$$Yellow$$>{3}</color>，比赛正式开始时间为<color=$$Yellow$$>{4}</color>。公会成员可在报名时间内组队报名。在公会内的公会匹配赛接待员处可获取更多信息。,,,1,1,,,,
1101,公会匹配赛获胜通知,50101,,公会匹配赛将在<color=$$Yellow$$>{0}</color>举行，您所在的公会已入围，并且未能匹配到对手，将不战而胜。奖励将于比赛结束后通过邮件发放。,,,1,1,,,,
1102,恭喜您成为参赛选手,50101,,恭喜您成为第{0}队的成员。请于<color=$$Yellow$$>{1}</color>~<color=$$Yellow$$>{2}</color>时间段内进入等候区准备参赛。,,,1,1,,,,
1103,恭喜您成为拉拉队选手,50101,,恭喜您成为拉拉队的成员。请于<color=$$Yellow$$>{1}</color>~<color=$$Yellow$$>{2}</color>时间段内进入等候区准备参赛。,,,1,1,,,,
1104,参赛资格取消通知,50101,,由于<color=$$Yellow$$>{0}</color>的操作，你的公会匹配赛资格已经被取消了。,,,1,1,,,,
1105,参赛资格取消通知,50101,,由于<color=$$Yellow$$>{0}</color>重新组队进行了报名，你的公会匹配赛参赛资格已经被取消了。,,,1,1,,,,
1106,公会匹配赛观战奖励,50101,,感谢您观战了公会匹配赛，附件里是您的观战奖励，请查收。,,2091035=1,30,1,,,,
1107,公会匹配赛获胜奖励,50101,,附件里是您公会的公会匹配赛获胜奖励，请查收。,,2091033=1,30,1,,,,
1108,公会匹配赛奖励,50101,,附件里是您公会的公会匹配赛奖励，请查收。,,2091034=1,30,1,,,,
1109,报名取消通知,50101,,由于<color=$$Yellow$$>{0}</color>重新组队进行了报名，你的公会匹配赛报名已经被取消了，请重新组队报名。,,,1,1,,,,
1110,报名成功通知,50101,,您已成功报名，报名队友为：\n<color=$$Yellow$$>{0}</color>\n报名成功后您的任何组队相关行为都不会影响您的报名合法性。,,,1,1,,,,
1114,参赛队伍变动通知,50101,,{0}设置了参赛队伍，当前参赛队伍信息如下：\n第1队：{1}\n第2队：{2}\n第3队：{3},,,1,1,,,,
1115,公会匹配赛最终参赛队伍,50101,,以下勇士将代表公会参战公会匹配赛：\n第1队：{0}\n第2队：{1}\n第3队：{2}\n未出战的公会成员可以在比赛进行中进行观战并给参战的勇士们送花，送花达到{3}朵时，场上勇士们可获得强化效果<奥丁的祝福>！,,,1,1,,,,
1116,参赛队伍失效通知,50101,,由于第{0}队有成员重新组队进行了报名，该队伍已被取消，请重新选择一支新的参赛队伍。,,,1,1,,,,
1117,参赛队伍失效通知,50101,,由于第{0}队有成员离开了公会，该队伍已被取消，请重新选择一支新的参赛队伍。,,,1,1,,,,
1118,报名取消通知,50101,,由于<color=$$Yellow$$>{0}</color>离开了公会，你的公会匹配赛报名已经被取消了，请重新组队报名。,,,1,1,,,,
1200,皇室竞赛结算通知,6001,,恭喜公会在大家的齐心协力下，本赛季取得了第{0}名的成绩，分配到{1}，下个赛季继续加油！,,,3,1,,,,
1201,皇室竞赛结算通知,6001,,由于公会在本赛季取得第{1}名的成绩，皇室特别赠与相应的公会图标（未实装）和称号作为鼓励，公会图标和称号的有效使用期截止到下个赛季结算时。,,,3,1,,,,
1202,皇室竞赛结算通知,6001,,由于公会在本赛季取得第{1}名的成绩，皇室特别赠与相应的公会图标（未实装）作为鼓励，公会图标的有效使用期截止到下个赛季结算时。,,,3,1,,,,
1203,皇室竞赛结算通知,6001,,恭喜公会在大家的齐心协力下，本赛季取得了{0}第{1}名的成绩，下个赛季继续加油！,,,3,1,,,,
1204,皇室竞赛结算通知,6001,,在大家的齐心协力下，本赛季取得{0}第{1}名的成绩。由于排名靠后遗憾掉入{2}，下个赛季继续加油！,,,3,1,,,,
1205,皇室竞赛结算通知,6001,,恭喜公会在大家的齐心协力下，本赛季取得{0}第{1}名的成绩。由于名列前茅成功晋级{2}，下个赛季继续加油！,,,3,1,,,,
1206,皇室竞赛结算通知,6001,,由于公会在本赛季取得{0}第{1}名的成绩，皇室特别赠与相应的公会图标（未实装）和称号作为鼓励，公会图标和称号的有效使用期截止到下个赛季结算时。,,,3,1,,,,
1207,皇室竞赛结算通知,6001,,由于公会在本赛季取得{0}第{1}名的成绩，皇室特别赠与相应的公会图标（未实装）作为鼓励，公会图标的有效使用期截止到下个赛季结算时。,,,3,1,,,,
1208,皇室竞赛结算通知,6001,,由于公会在本赛季取得{0}{1}玩法积分第一的成绩，皇室特别赠与相应的公会图标作为鼓励（未实装），该公会图标的有效使用期截止到下个赛季结算时。,,,3,1,,,,
1301,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091060=1,3,1,,,,
1302,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091077=1,3,1,,,,
1303,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091094=1,3,1,,,,
1304,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091061=1,3,1,,,,
1305,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091078=1,3,1,,,,
1306,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091095=1,3,1,,,,
1307,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091062=1,3,1,,,,
1308,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091079=1,3,1,,,,
1309,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091096=1,3,1,,,,
1310,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091063=1,3,1,,,,
1311,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091080=1,3,1,,,,
1312,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091097=1,3,1,,,,
1313,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091064=1,3,1,,,,
1314,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091081=1,3,1,,,,
1315,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091098=1,3,1,,,,
1316,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091065=1,3,1,,,,
1317,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091082=1,3,1,,,,
1318,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091099=1,3,1,,,,
1319,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091066=1,3,1,,,,
1320,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091083=1,3,1,,,,
1321,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091100=1,3,1,,,,
1322,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091067=1,3,1,,,,
1323,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091084=1,3,1,,,,
1324,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091101=1,3,1,,,,
1325,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091068=1,3,1,,,,
1326,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091085=1,3,1,,,,
1327,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091102=1,3,1,,,,
1328,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091069=1,3,1,,,,
1329,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091086=1,3,1,,,,
1330,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091103=1,3,1,,,,
1331,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091070=1,3,1,,,,
1332,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091087=1,3,1,,,,
1333,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091104=1,3,1,,,,
1334,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091071=1,3,1,,,,
1335,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091088=1,3,1,,,,
1336,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091105=1,3,1,,,,
1337,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091072=1,3,1,,,,
1338,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091089=1,3,1,,,,
1339,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091106=1,3,1,,,,
1340,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091073=1,3,1,,,,
1341,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091090=1,3,1,,,,
1342,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091107=1,3,1,,,,
1343,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091074=1,3,1,,,,
1344,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091091=1,3,1,,,,
1345,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091108=1,3,1,,,,
1346,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091075=1,3,1,,,,
1347,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091092=1,3,1,,,,
1348,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091109=1,3,1,,,,
1349,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091076=1,3,1,,,,
1350,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091093=1,3,1,,,,
1351,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091110=1,3,1,,,,
1352,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091320=1,3,1,,,,
1353,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091321=1,3,1,,,,
1354,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091322=1,3,1,,,,
1355,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091323=1,3,1,,,,
1356,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091324=1,3,1,,,,
1357,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091325=1,3,1,,,,
1358,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091326=1,3,1,,,,
1359,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091327=1,3,1,,,,
1360,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091328=1,3,1,,,,
1361,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091329=1,3,1,,,,
1362,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091330=1,3,1,,,,
1363,MVP普通参与奖发放,1042,,由于在MVP战斗中的良好表现，你获得了MVP普通参与礼包的奖励！,,2091331=1,3,1,,,,
1364,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091708=1,3,1,,,,
1365,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091709=1,3,1,,,,
1366,MVP杰出参与奖发放,1042,,由于在MVP战斗中的积极表现，你获得了MVP杰出参与礼包的奖励！,,2091710=1,3,1,,,,
1367,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091711=1,3,1,,,,
1368,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091712=1,3,1,,,,
1369,MVP卓越参与奖发放,1042,,由于在MVP战斗中的精彩表现，你获得了MVP卓越参与礼包的奖励！,,2091713=1,3,1,,,,
