MajorId,Tab,MallType,RefreshIntervalType,RefreshDate,RefreshTime,WeightId,CommodityNum,ShowCountDown,DisplayType,DisplayTime,SellTime
主键,页签（101喵喵果实-热销，102喵喵果实-礼包，103喵喵果实-外观，201万事屋-zeny，202万事屋-铜币，301神秘商店-每日限时，401充值）,商店类型（1为正常刷新，特指固定时间的普通刷新；2个人随机刷新）,刷新间隔类型（101日，102周，103每次回归刷新，0~99自定义间隔）,刷新日期（1~7分别对应周一~周日）,刷新的具体小时（0~23分别对应0点至23点）,权重值参数（对应MallTable中的WeightPoolParameter字段）,刷新的商品数量（mallType为1时不读该字段，此时填写是为了方便统计）,是否显示界面刷新时间（0不显示，1显示）,0或者不填写，则不读后面的字段，1=不循环：开始日期=开始时间|结束日期=结束时间。2=每日循环：开始时间|结束时间。3=每周循环：星期x=星期x=星期x|开始时间|结束时间。4=每月固定日期循环：日期1=日期2=日期3=…|开始时间|结束时间。5=每月时间段循环：开始日=开始时间|结束日=结束时间。6=每年时间段循环：开始日期=开始时间|结束日期=结束时间,售卖时间，格式根据左边字段的枚举来,
1,101,1,102,1,5,1001,32,1,,,
2,102,1,102,3,5,2001,8,0,,,
3,102,1,102,5,5,2002,8,0,,,
4,102,1,3650,3,5,2003,2,0,,,
5,201,1,102,1,5,3001,11,1,,,
6,202,1,102,1,5,3002,4,1,,,
7,202,2,102,1,5,3003,3,1,,,
8,202,2,102,1,5,3004,2,1,,,
9,202,2,102,1,5,3005,2,1,,,
10,301,2,101,1,5,5001,1,0,,,
11,301,2,101,1,5,5002,5,0,,,
12,301,2,101,1,5,5003,1,0,,,
13,301,2,101,1,5,5004,4,0,,,
14,301,2,101,1,5,5005,1,0,,,
15,301,2,101,1,5,5006,2,0,,,
16,301,2,101,1,5,5007,2,0,,,
25,301,2,101,1,5,5008,1,0,,,
17,103,1,3650,1,5,1003,8,0,,,
18,103,1,3650,1,5,1004,9,0,,,
19,103,1,3650,1,5,1005,13,0,,,
20,201,2,102,1,5,3006,2,1,,,
21,201,2,102,1,5,3007,1,1,,,
22,301,2,101,1,5,5009,0,0,,,
23,201,2,102,1,5,3008,1,1,,,
24,201,2,102,1,5,3009,1,1,,,
26,501,2,102,1,5,40001,1,0,,,
27,501,2,102,1,5,40002,2,0,,,
28,501,2,102,1,5,40003,2,0,,,
29,501,2,102,1,5,40004,3,0,,,
30,501,2,102,1,5,40005,8,0,,,
31,501,2,102,1,5,40006,5,0,,,
32,501,2,102,1,5,40007,2,0,,,
33,601,2,102,1,5,50001,2,0,,,
34,601,2,102,1,5,50002,2,0,,,
35,601,2,102,1,5,50003,3,0,,,
36,601,2,102,1,5,50004,3,0,,,
37,601,2,102,1,5,50005,2,0,,,
38,601,2,102,1,5,50006,1,0,,,
39,601,2,102,1,5,50007,4,0,,,
40,601,2,102,1,5,50008,3,0,,,
41,601,2,102,1,5,50009,1,0,,,
42,601,2,102,1,5,50010,3,0,,,
43,601,2,102,1,5,50011,2,0,,,
44,601,2,102,1,5,50012,6,0,,,
45,301,2,101,1,5,5010,1,0,,,
46,301,2,101,1,5,5011,1,0,,,
47,301,2,101,1,5,5012,1,0,,,
48,301,2,101,1,5,5013,1,0,,,
49,301,2,101,1,5,5100,1,0,,,
50,301,2,101,1,5,5014,1,0,,,
51,301,2,101,1,5,5015,1,0,,,
52,301,2,101,1,5,5016,1,0,,,
53,301,2,101,1,5,5017,1,0,,,
54,301,2,101,1,5,5018,1,0,,,
55,301,2,101,1,5,5019,1,0,,,
56,301,2,101,1,5,5020,1,0,,,
57,301,2,101,1,5,5030,1,0,,20211223=050000|20220106=050000,
80,801,1,101,1,5,8001,10,0,,,
81,801,1,103,1,5,8002,10,0,,,
82,802,1,103,1,5,8003,11,0,,,
83,811,1,3650,1,5,8101,10,0,,,
101,901,1,3650,1,5,9001,3,1,,,
701001,701,1,3650,1,5,10000,20,0,1,20201028=050000|20201203=050000,
701002,702,1,3650,1,5,10001,17,0,1,20201223=050000|20210202=050000,
701003,703,1,3650,1,5,10002,17,0,1,20210212=050000|20210329=050000,
701004,704,1,3650,1,5,10003,17,0,1,20210331=050000|20210515=050000,
701005,705,1,3650,1,5,10004,17,0,1,20210519=050000|20210701=050000,
701006,706,1,3650,1,5,10005,17,0,1,20210703=050000|20210817=050000,
701007,707,1,3650,1,5,10007,17,0,1,20210819=050000|20211001=050000,
701008,708,1,3650,1,5,10008,17,0,1,20211014=050000|20211121=050000,
701009,709,1,3650,1,5,10009,17,0,1,20211123=050000|20211231=050000,
701010,710,1,3650,1,5,10010,17,0,1,20220101=050000|20220210=050000,
501001,1501,1,3650,1,5,15001,20,0,,,
501002,1502,1,3650,1,5,15002,20,0,,,
501004,1504,1,3650,1,5,15004,20,0,,,
90,601,2,102,1,5,50013,12,0,,,
100,1001,1,3650,1,5,99999,15,0,,,
501003,1503,1,3650,1,5,15003,20,0,,,
501005,1505,1,3650,1,5,15005,20,0,,,
501006,1506,1,3650,1,5,15006,20,0,,,
501007,1507,1,3650,1,5,15003,20,0,,,
501008,1508,1,3650,1,5,15003,20,0,,,
501009,1509,1,3650,1,5,15003,20,0,,,
