MapId,Name,CampNum,CampMember,TeamMemberLimit,JobLimit,AllRuleUnlimitTime,LevelRange,ExpandLvRange,LvExpandInterval,LvExpandTimes,ExpandScoreRange,ScExpandInterval,ScExpandTimes,TimeOutLimit,ConfirmTimeOut,TimeOutBan,ProfessionLimit
副本id,副本名，程序不读,副本中的阵营数量,同阵营成员数量上限(*阵营数量=玩法人数上限),单个队伍成员上限,"限定职业组成(0任意职业,1坦克,2奶,3输出,不限不填,JOBid=MINnum)",所有匹配规则放开时间,匹配等级范围差,每次扩张等级范围,等级范围扩张时间,等级范围扩张次数上限,每次扩张积分,积分范围扩张时间,积分范围扩张次数上限,超时时间限制(-1表示不限制),确认超时时间,确认超时惩罚时间,队伍职业人数限制
3,圣歌试炼,1,5,5,,-1,10,5,10,3,0,0,0,-1,20,0,5
2169,单人天地树-难度1,1,1,1,,-1,10,5,10,3,0,0,0,-1,60,0,5
7500,迷雾之森,1,5,5,,-1,10,5,10,3,0,0,0,-1,60,0,5
6001,战场：峡谷 等级50,2,2,5,,-1,10,5,5,5,5,5,5,-1,60,0,5
9000,时空模拟战5V5-推车,2,5,5,2=1,300,10,5,5,5,500,5,5,-1,30,60,2
9001,时空模拟战5V5-推车引导,2,5,5,2=1,300,10,5,5,5,500,5,5,-1,30,60,2
9002,时空模拟战5V5-变身,2,5,5,2=1,300,10,5,5,5,500,5,5,-1,30,60,2
9003,时空模拟战5V5-金币,2,5,5,2=1,300,10,5,5,5,500,5,5,-1,30,60,2
9004,时空模拟战5V5-国王,2,5,5,2=1,300,10,5,5,5,500,5,5,-1,30,60,2
903,哥布林首领挑战★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
904,海盗之王挑战★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
906,兽人酋长挑战★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
907,俄赛里斯挑战★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
908,虎王挑战★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
909,巴风特挑战★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
933,哥布林首领挑战★★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
934,海盗之王挑战★★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
936,兽人酋长挑战★★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
937,俄赛里斯挑战★★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
938,虎王挑战★★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
939,巴风特挑战★★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
963,哥布林首领挑战★★★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
964,海盗之王挑战★★★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
966,兽人酋长挑战★★★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
967,俄赛里斯挑战★★★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
968,虎王挑战★★★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
969,巴风特挑战★★★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
910,德古拉男爵挑战★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
940,德古拉男爵挑战★★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
970,德古拉男爵挑战★★★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
911,法老王挑战★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
941,法老王挑战★★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
