Id,MedalId,level,BaseAtttibuteSwordman,BaseAtttibuteAcolyte,BaseAtttibuteMagician,BaseAtttibuteThief,BaseAtttibuteMerchant,BaseAtttibuteArcher,dec,TEXT
ID,勋章Id,等级,剑士（2000）基础属性，每级对应的属性全部枚举,服事（3000）基础属性，每级对应的属性全部枚举,魔法师（4000）基础属性，每级对应的属性全部枚举,刺客（5000）基础属性，每级对应的属性全部枚举,商人（6000）基础属性，每级对应的属性全部枚举,弓箭手（7000）基础属性，每级对应的属性全部枚举,前端专用,策划备注
1,1,1,0=27=0=4|0=36=0=4,0=27=0=4|0=36=0=4,0=27=0=4|0=36=0=4,0=27=0=4|0=36=0=4,0=27=0=4|0=36=0=4,0=27=0=4|0=36=0=4,,物理攻击，魔法攻击
2,1,2,0=27=0=8|0=36=0=8,0=27=0=8|0=36=0=8,0=27=0=8|0=36=0=8,0=27=0=8|0=36=0=8,0=27=0=8|0=36=0=8,0=27=0=8|0=36=0=8,,物理攻击，魔法攻击
3,1,3,0=27=0=12|0=36=0=12,0=27=0=12|0=36=0=12,0=27=0=12|0=36=0=12,0=27=0=12|0=36=0=12,0=27=0=12|0=36=0=12,0=27=0=12|0=36=0=12,,物理攻击，魔法攻击
4,1,4,0=27=0=16|0=36=0=16,0=27=0=16|0=36=0=16,0=27=0=16|0=36=0=16,0=27=0=16|0=36=0=16,0=27=0=16|0=36=0=16,0=27=0=16|0=36=0=16,,物理攻击，魔法攻击
5,1,5,0=27=0=20|0=36=0=20,0=27=0=20|0=36=0=20,0=27=0=20|0=36=0=20,0=27=0=20|0=36=0=20,0=27=0=20|0=36=0=20,0=27=0=20|0=36=0=20,,物理攻击，魔法攻击
6,1,6,0=27=0=24|0=36=0=24,0=27=0=24|0=36=0=24,0=27=0=24|0=36=0=24,0=27=0=24|0=36=0=24,0=27=0=24|0=36=0=24,0=27=0=24|0=36=0=24,,物理攻击，魔法攻击
7,1,7,0=27=0=28|0=36=0=28,0=27=0=28|0=36=0=28,0=27=0=28|0=36=0=28,0=27=0=28|0=36=0=28,0=27=0=28|0=36=0=28,0=27=0=28|0=36=0=28,,物理攻击，魔法攻击
8,1,8,0=27=0=32|0=36=0=32,0=27=0=32|0=36=0=32,0=27=0=32|0=36=0=32,0=27=0=32|0=36=0=32,0=27=0=32|0=36=0=32,0=27=0=32|0=36=0=32,,物理攻击，魔法攻击
9,1,9,0=27=0=36|0=36=0=36,0=27=0=36|0=36=0=36,0=27=0=36|0=36=0=36,0=27=0=36|0=36=0=36,0=27=0=36|0=36=0=36,0=27=0=36|0=36=0=36,,物理攻击，魔法攻击
10,1,10,0=27=0=40|0=36=0=40,0=27=0=40|0=36=0=40,0=27=0=40|0=36=0=40,0=27=0=40|0=36=0=40,0=27=0=40|0=36=0=40,0=27=0=40|0=36=0=40,,物理攻击，魔法攻击
11,1,11,0=27=0=44|0=36=0=44,0=27=0=44|0=36=0=44,0=27=0=44|0=36=0=44,0=27=0=44|0=36=0=44,0=27=0=44|0=36=0=44,0=27=0=44|0=36=0=44,,物理攻击，魔法攻击
12,1,12,0=27=0=48|0=36=0=48,0=27=0=48|0=36=0=48,0=27=0=48|0=36=0=48,0=27=0=48|0=36=0=48,0=27=0=48|0=36=0=48,0=27=0=48|0=36=0=48,,物理攻击，魔法攻击
13,1,13,0=27=0=52|0=36=0=52,0=27=0=52|0=36=0=52,0=27=0=52|0=36=0=52,0=27=0=52|0=36=0=52,0=27=0=52|0=36=0=52,0=27=0=52|0=36=0=52,,物理攻击，魔法攻击
14,1,14,0=27=0=56|0=36=0=56,0=27=0=56|0=36=0=56,0=27=0=56|0=36=0=56,0=27=0=56|0=36=0=56,0=27=0=56|0=36=0=56,0=27=0=56|0=36=0=56,,物理攻击，魔法攻击
15,1,15,0=27=0=60|0=36=0=60,0=27=0=60|0=36=0=60,0=27=0=60|0=36=0=60,0=27=0=60|0=36=0=60,0=27=0=60|0=36=0=60,0=27=0=60|0=36=0=60,,物理攻击，魔法攻击
16,1,16,0=27=0=64|0=36=0=64,0=27=0=64|0=36=0=64,0=27=0=64|0=36=0=64,0=27=0=64|0=36=0=64,0=27=0=64|0=36=0=64,0=27=0=64|0=36=0=64,,物理攻击，魔法攻击
17,1,17,0=27=0=68|0=36=0=68,0=27=0=68|0=36=0=68,0=27=0=68|0=36=0=68,0=27=0=68|0=36=0=68,0=27=0=68|0=36=0=68,0=27=0=68|0=36=0=68,,物理攻击，魔法攻击
18,1,18,0=27=0=72|0=36=0=72,0=27=0=72|0=36=0=72,0=27=0=72|0=36=0=72,0=27=0=72|0=36=0=72,0=27=0=72|0=36=0=72,0=27=0=72|0=36=0=72,,物理攻击，魔法攻击
19,1,19,0=27=0=76|0=36=0=76,0=27=0=76|0=36=0=76,0=27=0=76|0=36=0=76,0=27=0=76|0=36=0=76,0=27=0=76|0=36=0=76,0=27=0=76|0=36=0=76,,物理攻击，魔法攻击
20,1,20,0=27=0=80|0=36=0=80,0=27=0=80|0=36=0=80,0=27=0=80|0=36=0=80,0=27=0=80|0=36=0=80,0=27=0=80|0=36=0=80,0=27=0=80|0=36=0=80,,物理攻击，魔法攻击
