Id,MedalId,MedalLv,TotalCost,OnceConsume,OnceConsumeZeny
Id,勋章id,勋章等级,升级所需声望,单次晋升所需的声望值,单次晋升所需的铜币值
1,1,0,30,20,3000
2,1,1,104,20,3000
3,1,2,186,20,3000
4,1,3,276,20,3000
5,1,4,374,50,3000
6,1,5,480,50,3000
7,1,6,594,50,4000
8,1,7,716,50,4000
9,1,8,846,50,4000
10,1,9,984,50,4000
11,1,10,1130,50,4000
12,1,11,1284,60,5000
13,1,12,1446,60,5000
14,1,13,1616,60,5000
15,1,14,1794,60,5000
16,1,15,1980,60,5000
17,1,16,2174,80,5000
18,1,17,2376,80,5000
19,1,18,2586,80,5000
20,1,19,2804,80,5000
21,1,20,3030,80,5000
22,1,21,3264,100,10000
23,1,22,3506,100,10000
24,1,23,3756,100,10000
25,1,24,4014,100,10000
26,1,25,4280,100,10000
27,1,26,4554,100,10000
28,1,27,4836,100,10000
29,1,28,5126,100,10000
30,1,29,5424,100,10000
31,1,30,5730,100,10000
32,1,31,6044,100,10000
33,1,32,6366,100,10000
34,1,33,6696,100,10000
35,1,34,7034,100,10000
36,1,35,7380,100,10000
37,1,36,7734,100,10000
38,1,37,8096,100,10000
39,1,38,8466,100,10000
40,1,39,8844,100,10000
41,1,40,9230,100,10000
42,2,0,30,20,3000
43,2,1,104,20,3000
44,2,2,186,20,3000
45,2,3,276,20,3000
46,2,4,374,50,3000
47,2,5,480,50,3000
48,2,6,594,50,4000
49,2,7,716,50,4000
50,2,8,846,50,4000
51,2,9,984,50,4000
52,2,10,1130,50,4000
53,2,11,1284,60,5000
54,2,12,1446,60,5000
55,2,13,1616,60,5000
56,2,14,1794,60,5000
57,2,15,1980,60,5000
58,2,16,2174,80,5000
59,2,17,2376,80,5000
60,2,18,2586,80,5000
61,2,19,2804,80,5000
62,2,20,3030,80,5000
63,2,21,3264,100,10000
64,2,22,3506,100,10000
65,2,23,3756,100,10000
66,2,24,4014,100,10000
67,2,25,4280,100,10000
68,2,26,4554,100,10000
69,2,27,4836,100,10000
70,2,28,5126,100,10000
71,2,29,5424,100,10000
72,2,30,5730,100,10000
73,2,31,6044,100,10000
74,2,32,6366,100,10000
75,2,33,6696,100,10000
76,2,34,7034,100,10000
77,2,35,7380,100,10000
78,2,36,7734,100,10000
79,2,37,8096,100,10000
80,2,38,8466,100,10000
81,2,39,8844,100,10000
82,2,40,9230,100,10000
83,3,0,30,20,3000
84,3,1,104,20,3000
85,3,2,186,20,3000
86,3,3,276,20,3000
87,3,4,374,50,3000
88,3,5,480,50,3000
89,3,6,594,50,4000
90,3,7,716,50,4000
91,3,8,846,50,4000
92,3,9,984,50,4000
93,3,10,1130,50,4000
94,3,11,1284,60,5000
95,3,12,1446,60,5000
96,3,13,1616,60,5000
97,3,14,1794,60,5000
98,3,15,1980,60,5000
99,3,16,2174,80,5000
100,3,17,2376,80,5000
101,3,18,2586,80,5000
102,3,19,2804,80,5000
103,3,20,3030,80,5000
104,3,21,3264,100,10000
105,3,22,3506,100,10000
106,3,23,3756,100,10000
107,3,24,4014,100,10000
108,3,25,4280,100,10000
109,3,26,4554,100,10000
110,3,27,4836,100,10000
111,3,28,5126,100,10000
112,3,29,5424,100,10000
113,3,30,5730,100,10000
114,3,31,6044,100,10000
115,3,32,6366,100,10000
116,3,33,6696,100,10000
117,3,34,7034,100,10000
118,3,35,7380,100,10000
119,3,36,7734,100,10000
120,3,37,8096,100,10000
121,3,38,8466,100,10000
122,3,39,8844,100,10000
123,3,40,9230,100,10000
124,4,0,30,20,3000
125,4,1,104,20,3000
126,4,2,186,20,3000
127,4,3,276,20,3000
128,4,4,374,50,3000
129,4,5,480,50,3000
130,4,6,594,50,4000
131,4,7,716,50,4000
132,4,8,846,50,4000
133,4,9,984,50,4000
134,4,10,1130,50,4000
135,4,11,1284,60,5000
136,4,12,1446,60,5000
137,4,13,1616,60,5000
138,4,14,1794,60,5000
139,4,15,1980,60,5000
140,4,16,2174,80,5000
141,4,17,2376,80,5000
142,4,18,2586,80,5000
143,4,19,2804,80,5000
144,4,20,3030,80,5000
145,4,21,3264,100,10000
146,4,22,3506,100,10000
147,4,23,3756,100,10000
148,4,24,4014,100,10000
149,4,25,4280,100,10000
150,4,26,4554,100,10000
151,4,27,4836,100,10000
152,4,28,5126,100,10000
153,4,29,5424,100,10000
154,4,30,5730,100,10000
155,4,31,6044,100,10000
156,4,32,6366,100,10000
157,4,33,6696,100,10000
158,4,34,7034,100,10000
159,4,35,7380,100,10000
160,4,36,7734,100,10000
161,4,37,8096,100,10000
162,4,38,8466,100,10000
163,4,39,8844,100,10000
164,4,40,9230,100,10000
165,5,0,30,20,3000
166,5,1,104,20,3000
167,5,2,186,20,3000
168,5,3,276,20,3000
169,5,4,374,50,3000
170,5,5,480,50,3000
171,5,6,594,50,4000
172,5,7,716,50,4000
173,5,8,846,50,4000
174,5,9,984,50,4000
175,5,10,1130,50,4000
176,5,11,1284,60,5000
177,5,12,1446,60,5000
178,5,13,1616,60,5000
179,5,14,1794,60,5000
180,5,15,1980,60,5000
181,5,16,2174,80,5000
182,5,17,2376,80,5000
183,5,18,2586,80,5000
184,5,19,2804,80,5000
185,5,20,3030,80,5000
186,5,21,3264,100,10000
187,5,22,3506,100,10000
188,5,23,3756,100,10000
189,5,24,4014,100,10000
190,5,25,4280,100,10000
191,5,26,4554,100,10000
192,5,27,4836,100,10000
193,5,28,5126,100,10000
194,5,29,5424,100,10000
195,5,30,5730,100,10000
196,5,31,6044,100,10000
197,5,32,6366,100,10000
198,5,33,6696,100,10000
199,5,34,7034,100,10000
200,5,35,7380,100,10000
201,5,36,7734,100,10000
202,5,37,8096,100,10000
203,5,38,8466,100,10000
204,5,39,8844,100,10000
205,5,40,9230,100,10000
206,6,0,30,20,3000
207,6,1,104,20,3000
208,6,2,186,20,3000
209,6,3,276,20,3000
210,6,4,374,50,3000
211,6,5,480,50,3000
212,6,6,594,50,4000
213,6,7,716,50,4000
214,6,8,846,50,4000
215,6,9,984,50,4000
216,6,10,1130,50,4000
217,6,11,1284,60,5000
218,6,12,1446,60,5000
219,6,13,1616,60,5000
220,6,14,1794,60,5000
221,6,15,1980,60,5000
222,6,16,2174,80,5000
223,6,17,2376,80,5000
224,6,18,2586,80,5000
225,6,19,2804,80,5000
226,6,20,3030,80,5000
227,6,21,3264,100,10000
228,6,22,3506,100,10000
229,6,23,3756,100,10000
230,6,24,4014,100,10000
231,6,25,4280,100,10000
232,6,26,4554,100,10000
233,6,27,4836,100,10000
234,6,28,5126,100,10000
235,6,29,5424,100,10000
236,6,30,5730,100,10000
237,6,31,6044,100,10000
238,6,32,6366,100,10000
239,6,33,6696,100,10000
240,6,34,7034,100,10000
241,6,35,7380,100,10000
242,6,36,7734,100,10000
243,6,37,8096,100,10000
244,6,38,8466,100,10000
245,6,39,8844,100,10000
