ID,Name,IconAtlas,Icon,Medel,Quality,Introduce,Position,PositionName,BaseAttribute,AttributeGrowth,LevelUpCost,MinLevel,MaxLevel,AdvancedID,AdvancedCost
装备ID,名称,ICON图集,ICON,模型,品质,介绍,对应部位,部位名称,基础属性,属性成长,升级消耗,装备初始等级,装备最大等级,进阶ID,进阶消耗
1101,佣兵长剑,Icon_ItemEquip01,UI_icon_item_changjian.png,Sword_001_Weapon,1,看起来任何人都可使用的剑。,1,武器,0=312=8|0=10=2,3|0,,1,41,1102,101=50000|102=200
1102,精制长剑,Icon_ItemEquip03,UI_icon_item_hourenjian.png,Sword_013_Weapon,1,稍微经过铁匠淬炼的长剑,1,武器,0=312=128|0=10=2,3|0,,41,100,,
1103,佣兵法杖,Icon_ItemEquip01,UI_icon_item_JingLingMoZhang.png,Sword_001_Weapon,1,为法系职业准备的双手杖。,1,武器,0=313=7|0=10=10,3|0,,1,41,1104,101=50000|102=200
1104,精制法杖,Icon_ItemEquip02,UI_icon_item_hongshizizhang.png,Sword_013_Weapon,1,将使用者的精神力转换为破坏力的手杖,1,武器,0=313=142|0=10=10,3|0,,41,100,,
1105,佣兵短剑,Icon_ItemEquip01,UI_icon_item_jududuanjian.png,Sword_001_Weapon,1,短小精悍，常为佣兵所使用的短剑,1,武器,0=312=5|0=10=101,2|0,,1,41,1106,101=50000|102=200
1106,精制短剑,Icon_ItemEquip01,UI_icon_item_xingyunzhijian.png,Sword_013_Weapon,1,会为使用者带来幸运的短剑。,1,武器,0=312=97|0=10=101,2|0,,41,100,,
1107,佣兵长弓,Icon_ItemEquip01,UI_icon_item_hongseshandian.png,Sword_001_Weapon,1,佣兵间常用的远程武器。,1,武器,0=312=7|0=10=11,3|0,,1,41,1108,101=50000|102=200
1108,精制长弓,Icon_ItemEquip01,UI_icon_item_hongseshandian.png,Sword_013_Weapon,1,用魔界坚硬的藤梗制作的弓,1,武器,0=312=129|0=10=11,3|0,,41,100,,
1109,佣兵巨斧,Icon_ItemEquip04,UI_icon_item_kelaiyitefu.png,Sword_001_Weapon,1,会让敌人看到时心存畏惧巨大双手斧,1,武器,0=312=8|0=10=7,4|0,,1,41,1110,101=50000|102=200
1110,精制巨斧,Icon_ItemEquip04,UI_icon_item_beikezhanfu.png,Sword_013_Weapon,1,把红色质感很好的斧头，爆发力让人咂舌,1,武器,0=312=168|0=10=7,4|0,,41,100,,
1201,佣兵护甲,Icon_ItemEquip02,UI_icon_item_maoxianyi.png,,1,看起来任何人都可使用的护甲。,2,护甲,0=47=60|0=32=12,9|1,,1,41,1202,101=50000|102=200
1202,精制护甲,Icon_ItemEquip02,UI_icon_item_changdayi.png,,1,稍微经过铁匠淬炼的护甲,2,护甲,0=47=438|0=32=64,18|2,,41,100,,
1203,佣兵护甲,Icon_ItemEquip02,UI_icon_item_maoxianyi.png,,1,看起来任何人都可使用的护甲。,2,护甲,0=47=60|0=32=12,5|1,,1,41,1204,101=50000|102=200
1204,精制护甲,Icon_ItemEquip02,UI_icon_item_changdayi.png,,1,稍微经过铁匠淬炼的护甲,2,护甲,0=47=287|0=32=64,10|2,,41,100,,
1205,佣兵护甲,Icon_ItemEquip02,UI_icon_item_maoxianyi.png,,1,看起来任何人都可使用的护甲。,2,护甲,0=47=60|0=32=12,7|1,,1,41,1206,101=50000|102=200
1206,精制护甲,Icon_ItemEquip02,UI_icon_item_changdayi.png,,1,稍微经过铁匠淬炼的护甲,2,护甲,0=47=340|0=32=64,14|2,,41,100,,
1207,佣兵护甲,Icon_ItemEquip02,UI_icon_item_maoxianyi.png,,1,看起来任何人都可使用的护甲。,2,护甲,0=47=60|0=32=12,8|1,,1,41,1208,101=50000|102=200
1208,精制护甲,Icon_ItemEquip02,UI_icon_item_changdayi.png,,1,稍微经过铁匠淬炼的护甲,2,护甲,0=47=413|0=32=64,16|2,,41,100,,
1301,佣兵斗篷,Icon_ItemEquip02,UI_icon_item_doupeng.png,,1,简易的斗篷，看起来没有防护力,3,背部,0=47=60|0=32=12,9|1,,1,41,1302,101=50000|102=200
1302,羽毛斗篷,Icon_ItemEquip01,UI_icon_item_pijian.png,,1,稍微装饰了的斗篷，用料还行。,3,背部,0=47=438|0=32=64,18|2,,41,100,,
1303,佣兵斗篷,Icon_ItemEquip02,UI_icon_item_doupeng.png,,1,简易的斗篷，看起来没有防护力,3,背部,0=47=60|0=32=12,5|1,,1,41,1304,101=50000|102=200
1304,羽毛斗篷,Icon_ItemEquip01,UI_icon_item_pijian.png,,1,稍微装饰了的斗篷，用料还行。,3,背部,0=47=287|0=32=64,10|2,,41,100,,
1305,佣兵斗篷,Icon_ItemEquip02,UI_icon_item_doupeng.png,,1,简易的斗篷，看起来没有防护力,3,背部,0=47=60|0=32=12,7|1,,1,41,1306,101=50000|102=200
1306,羽毛斗篷,Icon_ItemEquip01,UI_icon_item_pijian.png,,1,稍微装饰了的斗篷，用料还行。,3,背部,0=47=340|0=32=64,14|2,,41,100,,
1307,佣兵斗篷,Icon_ItemEquip02,UI_icon_item_doupeng.png,,1,简易的斗篷，看起来没有防护力,3,背部,0=47=60|0=32=12,8|1,,1,41,1308,101=50000|102=200
1308,羽毛斗篷,Icon_ItemEquip01,UI_icon_item_pijian.png,,1,稍微装饰了的斗篷，用料还行。,3,背部,0=47=413|0=32=64,16|2,,41,100,,
1401,简陋的铁盾,Icon_ItemEquip01,UI_icon_item_tiedun.png,,1,一个普普通通的铁盾,4,副手,0=47=20,3,,1,41,1402,101=50000|102=200
1402,精制的钢盾,Icon_ItemEquip03,UI_icon_item_yuandun.png,,1,经过淬炼的钢盾，似乎很有防御能力,4,副手,0=47=146,6,,41,100,,
1403,佣兵短剑,Icon_ItemEquip01,UI_icon_item_changjian.png,Sword_001_Weapon,1,短小精悍，常为佣兵所使用的短剑,4,副手,0=312=5,2,,1,41,1404,101=50000|102=200
1404,精制短剑,Icon_ItemEquip03,UI_icon_item_hourenjian.png,Sword_013_Weapon,1,会为使用者带来幸运的短剑。,4,副手,0=312=97,2,,41,100,,
1501,佣兵鞋,Icon_ItemEquip02,UI_icon_item_changxue.png,,1,保护到脚腕的长靴,5,鞋子,0=47=60|0=32=12,9|1,,1,41,1502,101=50000|102=200
1502,防水靴,Icon_ItemEquip01,UI_icon_item_zhanshichangxue.png,,1,用坚硬的布料做成的长靴，有防水功能,5,鞋子,0=47=438|0=32=64,18|2,,41,100,,
1503,佣兵鞋,Icon_ItemEquip02,UI_icon_item_changxue.png,,1,保护到脚腕的长靴,5,鞋子,0=47=60|0=32=12,5|1,,1,41,1504,101=50000|102=200
1504,防水靴,Icon_ItemEquip01,UI_icon_item_zhanshichangxue.png,,1,用坚硬的布料做成的长靴，有防水功能,5,鞋子,0=47=287|0=32=64,10|2,,41,100,,
1505,佣兵鞋,Icon_ItemEquip02,UI_icon_item_changxue.png,,1,保护到脚腕的长靴,5,鞋子,0=47=60|0=32=12,7|1,,1,41,1506,101=50000|102=200
1506,防水靴,Icon_ItemEquip01,UI_icon_item_zhanshichangxue.png,,1,用坚硬的布料做成的长靴，有防水功能,5,鞋子,0=47=340|0=32=64,14|2,,41,100,,
1507,佣兵鞋,Icon_ItemEquip02,UI_icon_item_changxue.png,,1,保护到脚腕的长靴,5,鞋子,0=47=60|0=32=12,8|1,,1,41,1508,101=50000|102=200
1508,防水靴,Icon_ItemEquip01,UI_icon_item_zhanshichangxue.png,,1,用坚硬的布料做成的长靴，有防水功能,5,鞋子,0=47=413|0=32=64,16|2,,41,100,,
1601,佣兵戒指,Icon_ItemEquip02,UI_icon_item_liliangjiezhi.png,,1,普普通通的戒指，似乎只是为了证明你的身份,6,饰品,0=47=20|0=27=1,3|1,,1,41,1602,101=50000|102=200
1602,银戒指,Icon_ItemEquip01,UI_icon_item_minjiebiezhen.png,,1,样子不起眼的银戒指，却能起到不错的作用,6,饰品,0=47=140|0=27=41,6|1,,41,100,,
1603,佣兵戒指,Icon_ItemEquip02,UI_icon_item_liliangjiezhi.png,,1,普普通通的戒指，似乎只是为了证明你的身份,6,饰品,0=47=20|0=36=1,2|1,,1,41,1604,101=50000|102=200
1604,银戒指,Icon_ItemEquip01,UI_icon_item_minjiebiezhen.png,,1,样子不起眼的银戒指，却能起到不错的作用,6,饰品,0=47=100|0=36=41,4|1,,41,100,,
1605,佣兵戒指,Icon_ItemEquip02,UI_icon_item_liliangjiezhi.png,,1,普普通通的戒指，似乎只是为了证明你的身份,6,饰品,0=47=20|0=36=1,2|1,,1,41,1606,101=50000|102=200
1606,银戒指,Icon_ItemEquip01,UI_icon_item_minjiebiezhen.png,,1,样子不起眼的银戒指，却能起到不错的作用,6,饰品,0=47=112|0=36=41,4|1,,41,100,,
1607,佣兵戒指,Icon_ItemEquip02,UI_icon_item_liliangjiezhi.png,,1,普普通通的戒指，似乎只是为了证明你的身份,6,饰品,0=47=20|0=27=1,2|1,,1,41,1608,101=50000|102=200
1608,银戒指,Icon_ItemEquip01,UI_icon_item_minjiebiezhen.png,,1,样子不起眼的银戒指，却能起到不错的作用,6,饰品,0=47=112|0=27=41,4|1,,41,100,,
1609,佣兵戒指,Icon_ItemEquip02,UI_icon_item_liliangjiezhi.png,,1,普普通通的戒指，似乎只是为了证明你的身份,6,饰品,0=47=20|0=27=1,3|1,,1,41,1610,101=50000|102=200
1610,银戒指,Icon_ItemEquip01,UI_icon_item_minjiebiezhen.png,,1,样子不起眼的银戒指，却能起到不错的作用,6,饰品,0=47=140|0=27=41,6|1,,41,100,,
