MercenaryDamage,PlayerExp
佣兵伤害万分比,人物分的万分比
0,10000
50,10000
100,10000
150,10000
200,10000
250,10000
300,10000
350,10000
400,10000
450,10000
500,10000
550,10000
600,10000
650,10000
700,10000
750,10000
800,10000
850,10000
900,10000
950,10000
1000,10000
1050,10000
1100,10000
1150,10000
1200,10000
1250,10000
1300,10000
1350,10000
1400,10000
1450,10000
1500,10000
1550,10000
1600,10000
1650,10000
1700,10000
1750,10000
1800,10000
1850,10000
1900,10000
1950,10000
2000,10000
2050,10000
2100,10000
2150,10000
2200,10000
2250,10000
2300,10000
2350,10000
2400,10000
2450,10000
2500,10000
2550,10000
2600,10000
2650,10000
2700,10000
2750,10000
2800,10000
2850,10000
2900,10000
2950,10000
3000,10000
3050,10000
3100,10000
3150,10000
3200,10000
3250,10000
3300,10000
3350,10000
3400,10000
3450,10000
3500,10000
3550,10000
3600,10000
3650,10000
3700,10000
3750,10000
3800,10000
3850,10000
3900,10000
3950,10000
4000,10000
4050,10000
4100,10000
4150,10000
4200,10000
4250,10000
4300,10000
4350,10000
4400,10000
4450,10000
4500,10000
4550,10000
4600,10000
4650,10000
4700,10000
4750,10000
4800,10000
4850,10000
4900,10000
4950,10000
5000,10000
5050,10000
5100,10000
5150,10000
5200,10000
5250,10000
5300,10000
5350,10000
5400,10000
5450,10000
5500,10000
5550,10000
5600,10000
5650,10000
5700,10000
5750,10000
5800,10000
5850,10000
5900,10000
5950,10000
6000,10000
6050,10000
6100,10000
6150,10000
6200,10000
6250,10000
6300,10000
6350,10000
6400,10000
6450,10000
6500,10000
6550,10000
6600,10000
6650,10000
6700,10000
6750,10000
6800,10000
6850,10000
6900,10000
6950,10000
7000,10000
7050,10000
7100,10000
7150,10000
7200,10000
7250,10000
7300,10000
7350,10000
7400,10000
7450,10000
7500,10000
7550,10000
7600,10000
7650,10000
7700,10000
7750,10000
7800,10000
7850,10000
7900,10000
7950,10000
8000,10000
8050,10000
8100,10000
8150,10000
8200,10000
8250,10000
8300,10000
8350,10000
8400,10000
8450,10000
8500,10000
8550,10000
8600,10000
8650,10000
8700,10000
8750,10000
8800,10000
8850,10000
8900,10000
8950,10000
9000,10000
9050,10000
9100,10000
9150,10000
9200,10000
9250,10000
9300,10000
9350,10000
9400,10000
9450,10000
9500,10000
9550,10000
9600,10000
9650,10000
9700,10000
9750,10000
9800,10000
9850,10000
9900,10000
9950,10000
10000,10000
