JobLv,Exp,EquipExp
等级,消耗,装备消耗
1,290,180
2,380,230
3,460,290
4,550,340
5,640,390
6,720,450
7,810,500
8,900,550
9,980,610
10,1070,660
11,1150,710
12,1240,770
13,1330,820
14,1410,870
15,1500,930
16,1590,980
17,1670,1040
18,1760,1090
19,1840,1140
20,1930,1200
21,2020,1250
22,2100,1300
23,2190,1360
24,2280,1410
25,2360,1460
26,2450,1520
27,2530,1570
28,2620,1620
29,2710,1680
30,2900,1800
31,3100,1920
32,3300,2040
33,3500,2160
34,3690,2290
35,3890,2410
36,4090,2530
37,4290,2650
38,4480,2780
39,4680,2900
40,4880,3020
41,5080,3140
42,5610,3470
43,6150,3800
44,6680,4140
45,7220,4470
46,7750,4800
47,9240,5720
48,10730,6640
49,12220,7560
50,13710,8480
51,15190,9410
52,16680,10330
53,18170,11250
54,19660,12170
55,21150,13090
56,22640,14010
57,26520,16420
58,28010,17340
59,31890,19740
60,33380,20660
61,37270,23070
62,38680,23940
63,38680,23940
64,41250,25540
65,44290,27420
66,47060,29130
67,49820,30840
68,52590,32560
69,59150,36620
70,62110,38450
71,65070,40280
72,68020,42110
73,75530,46760
74,78680,48710
75,81820,50650
76,94410,58450
77,94410,58450
78,94410,58450
79,100100,61970
80,133470,82620
81,133470,82620
82,166830,103280
83,176310,109150
84,211580,130980
85,211580,130980
86,282100,174630
87,282100,174630
88,282100,174630
89,297270,184020
90,334430,207030
91,371580,230030
92,445900,276030
93,445900,276030
94,468650,290120
95,468650,290120
96,507700,314290
97,507700,314290
98,507700,314290
99,532350,329550
100,573300,354900
