ClassificationID,ClassificationName,ClassInformation,ClassificationOpenLev,ClassificationOpenType,ShowRadio
分类ID,商品分类名,是否是主分类（1主分类，0子分类）,列表开启的服务器等级（0代表无限制，开启就有）,列表的开启类型（开启类型字段，暂定类型为0为服务器等级重置那一刻同时开启，即凌晨5点；类型为1代表服务器等级重置的那一天的中午12点开启，该类型的列表需要在凌晨5点出现，但是页面只显示列表，如下所示。到了中午12点，再展示列表内的商品。）,是否显示单选框0不显示1显示
100,装备,1=0,0,0,0
105,锻造,0=100,0,0,0
110,精炼,0=100,0,0,0
120,打洞,0=100,0,0,0
121,附魔,0=100,70,0,0
122,改造,0=100,999,0,0
200,卡片,1=0,0,0,1
201,武器,0=200,0,0,1
202,副手,0=200,0,0,1
203,铠甲,0=200,0,0,1
204,披肩,0=200,0,0,1
205,鞋子,0=200,0,0,1
206,饰品,0=200,0,0,1
207,头饰,0=200,0,0,1
300,配饰,1=0,0,0,0
301,头部,0=300,0,0,0
302,脸部,0=300,0,0,0
303,嘴部,0=300,0,0,0
304,背部,0=300,0,0,0
305,材料,0=300,0,0,0
500,贝鲁兹,1=0,50,0,0
550,载具,1=0,60,0,0
551,培养材料,0=550,60,0,0
552,兑换材料,0=550,60,0,0
553,个性化,0=550,60,0,0
600,其他,1=0,0,0,0
700,宠物,1=0,40,0,0
701,兑换材料,0=700,40,0,0
702,被动属性,0=700,40,0,0
703,被动效果,0=700,40,0,0
704,主动技能,0=700,40,0,0
705,特殊技能,0=700,40,0,0
