ID,Comment,AllyIcon,EnemyIcon,NeutralIcon,AllyText,EnemyText,NeutralText,EntityType
ID,注释,友方图标,敌方图标,中立图标,我方文字,敌方文字,中立文字,0:只有我方 1：有敌我两方 2：有敌我中立三方（PVP用）
1,Mini,UI_map_Minibiaoshi.png,UI_map_Minibiaoshi.png,,,,,1
2,MVP,UI_map_Mvp.png,UI_map_Mvp.png,,,,,1
3,玩家,UI_map_identification_teammate.png,UI_map_identification_enemy.png,,,,,1
4,传送门,UI_map_identification_portal.png,,,,,,0
5,怪,UI_map_identification_teammate.png,UI_map_identification_enemy.png,,,,,1
6,精英,UI_map_Jingyingguai.png,UI_map_Jingyingguai.png,,,,,1
51,一般采集物,UI_map_identification_npc_collect.png,,,,,,0
52,植物采集点,UI_map_Interactive_Collection.png,,,,,,0
53,矿物采集点,UI_map_Interactive_Mining.png,,,,,,0
54,渔点,UI_map_Interactive_Fishing.png,,,,,,0
101,充能石柱（战场）,UI_map_Battle_tower_1.png,UI_map_Battle_tower_2.png,UI_map_Battle_tower_0.png,,,,2
102,召唤石碑（战场）,UI_map_Battle_Stela_1.png,UI_map_Battle_Stela_2.png,UI_map_Battle_Stela_0.png,<color=$$Blue$$>召唤石碑</color>,<color=$$Red$$>召唤石碑</color>,<color=$$Yellow$$>召唤石碑</color>,2
103,守护者（战场）,UI_map_Battle_Guardian_1.png,UI_map_Battle_Guardian_2.png,,,,,1
104,基地大门（战场）,UI_map_Battle_Gate_1.png,UI_map_Battle_Gate_2.png,,,,,1
105,基地水晶（战场）,UI_map_Battle_Crystal_1.png,UI_map_Battle_Crystal_2.png,,<color=$$Blue$$>我方水晶</color>,<color=$$Red$$>敌方水晶</color>,,1
106,大炮（战场）,UI_map_Battle_Cannon_1.png,UI_map_Battle_Cannon_2.png,,,,,1
201,世界事件点,UI_map_Interactive_WorldPveBG.png,,,,,,
301,车,ui_5v5_icon_map_car.png,ui_5v5_icon_map_car.png,,,,,1
302,祭坛,ui_5v5_icon_map_altar-blue.png,ui_5v5_icon_map_altar-red.png,,,,,1
303,检查点,ui_5v5_icon_map_checkpoint-blue.png,ui_5v5_icon_map_checkpoint-red.png,,,,,1
304,中央控制台,ui_5v5_icon_map_console.png,ui_5v5_icon_map_console.png,,,,,1
305,道具球,ui_5v5_icon_map_itemBox.png,ui_5v5_icon_map_itemBox.png,,,,,1
306,国王,ui_5v5_icon_map_TeamKing.png,ui_5v5_icon_map_EnemyKing.png,,,,,1
