ID,MonsterId,PosInfo
主键,怪物ID,场景ID列表(|分割多个)
1,1151,1|6|502
2,1029,1|6|45|2001
3,1008,1|6|23|3001
4,1005,1|6|501
5,1006,1|6|3002
6,3050,1|6
7,26205,1|4|5|6|8|9|10|11|12|13|17|19|34|35|38|53|54|56|67|501|504|505|506|507|508|509|510|511|512|513|514|516|517|518|519|521|522|5020|5030|5034
8,1408,1|6
9,220007,1
10,220008,1
11,220010,1
12,1063,1|4|5|6|8|9|10|12|13|23|34|35|36|37|53|54|56|67|502|504|514
13,1062,1|6|8|17|23|34|38|53|54|67|68|502|505|509|511|514|515|519|520|521|522
14,1001,4|10|12|13|23|45|1801|1806|1811|1816|1821|1826|1831|1836|1841|1846|1851|1856|2003|3001|7201|7202|7203|7204|7205|7206|7207|7208|7209|7211|7212|7213|7214|7215|7216|7217|7218|7219
15,1003,4|5|10
16,1004,4|45
17,1002,4|12|23|45|2001|3003
18,1168,4|8|9|13|17|36|68|502|504|520
19,1061,4|11|12|19|28|35|38|502|504|508|514|516|518
20,3131,4
21,120053,4|5
22,120054,4|5
23,120051,4|5
24,120055,4|5
25,120052,4|5
26,120056,4|5
27,120060,4|5
28,120059,4|5
29,120058,4|5
30,120057,4|5
31,1702,4|10|12|13
32,1402,4|13
33,1024,5|502
34,1011,5|12|502
35,1052,5|13|502|509
36,1060,5|10|12|17|28|37|56|68|502|504|506|510|513|514|517|522
37,1059,5|502
38,3051,5
39,1167,5|8|13|48|53|501|506|507|509|510|513|515|520|522
40,26204,5|7|11|16|19|21|26|34|35|38|47|50|504|507|509|510|513|514|521|522
41,1704,5
42,1409,5|10
43,25002,7
44,2988,7
45,9563,7
46,9557,7
47,9558,7
48,60026,7
49,9562,7
50,9566,7
51,2989,7
52,30542,7|29|59
53,60028,7
54,60029,7
55,60027,7
56,60002,7|2069
57,60004,7|2069
58,60003,7|2069
59,2987,7
60,9567,7
61,9559,7
62,26209,7|11|16|19|26|34|35|38|47|504|507|509|510|513|514|516|517|518|5020
63,26208,7|16|21|26|47|50
64,20173,7
65,20172,7
66,20171,7
67,20170,7
68,20169,7
69,20168,7
70,2986,7
71,2981,7
72,2984,7
73,2982,7
74,2985,7
75,2983,7
76,20211,7
77,1016,8|3002
78,1014,8
79,1015,8
80,1013,8
81,1018,8|3002
82,1017,8|3002
83,1039,8
84,1040,8
85,25331,8
86,3080,8
87,1028,9|17|53
88,1031,9|17|54|68
89,1037,9
90,1019,9|68
91,3072,9
92,1009,10|12|23|45|3003
93,1175,10
94,1010,10|12|2002
95,3057,10
96,25211,10
97,1023,10|48
98,1703,10|48
99,1076,11
100,1051,11
101,1067,11|28
102,3085,11
103,1054,11|13
104,3083,12
105,25181,12
106,1030,12
107,1049,12
108,3058,13
109,25391,13
110,1036,13
111,9461,16
112,9462,16
113,60032,16
114,60031,16
115,60030,16
116,20166,16
117,20167,16
118,20165,16
119,1048,17
120,1197,17|53|54
121,1007,17
122,25241,17
123,3082,17
124,1110,19|506
125,1111,19|506
126,1137,19|35
127,1098,19
128,1124,19
129,3060,19
130,1125,19
131,3097,19
132,1705,19
133,25421,20
134,60005,21
135,60006,21
136,25121,21
137,20175,21
138,20174,21
139,1252,23
140,1057,23|35|36|37|48|54|56|502|503|506|509|512|516
141,1170,23
142,1025,23
143,3069,23|45
144,1153,23
145,25512,25|2204|2205
146,60016,26
147,60017,26
148,60018,26
149,60019,26
150,60020,26
151,9452,26
152,9453,26
153,9454,26
154,26206,26
155,20179,26
156,3089,28
157,1169,28
158,1070,28
159,1075,28
160,9554,31
161,9553,31
162,9552,32
163,9555,32
164,9556,32
165,9551,32
166,60023,33
167,1209,33
168,1207,33
169,1130,34
