GroupID,MonsterConfig,RandomCount,Contest,,,
组ID,对应怪物ID和权重,随机数量,注释,,,
1,50010=10|50011=10|50012=10|50013=10|50014=10|50015=10|50016=10|50017=10|50018=10|50019=10|50020=10|50021=10|50022=10|50025=10|50026=10|50027=10|50028=10|50029=10|50030=10|50031=10|50032=10,3,圣歌所有怪物随机组,,,
2,50020=10|50017=10|50039=10|50045=10|50046=10|50048=10|50049=10|50050=10,3,圣歌水属性怪物组,,,
3,50009=10|50008=10|50032=10|50034=10|50042=10,3,圣歌风属性怪物组,,,
4,50002=10|50005=10|50014=10|50018=10|50019=10,3,圣歌地属性怪物组,,,
5,50013=10|50040=10|50041=10|50043=10|50051=10,3,圣歌火属性怪物组,,,
6,50055=10|50063=10|50033=10|50036=10,3,圣歌暗属性怪物组,,,
7,53001=10|53002=10|53003=10|53004=10|53005=10|53006=10,2,圣歌精英怪物组,,,
8,50010=10|50011=10|50012=10|50013=10|50014=10|50015=10|50016=10|50017=10|50018=10|50019=10|50020=10|50021=10|50022=10|50025=10|50026=10|50027=10|50028=10|50029=10|50030=10|50031=10|50032=10,5,圣歌NPC怪物组,,,
9,53101=100,1,圣歌波利,,,
10,53102=100,1,圣歌狸猫,,,
11,53103=100,1,圣歌宝箱怪,,,
12,55001=100,1,圣歌BOSS,,,
