Day,Award,AwardType,VirtualItemTips,DateDisplay
签到天数,奖励（Awardid）,奖励展示类型（0一般；1较好奖励；2很好奖励、3？号随机奖励）,？骰子奖励tips展示,显示日期配置
1,4300010,0,,第1天
2,4300020,0,,第2天
3,4300030,3,2040002,第3天
4,4300040,0,,第4天
5,4300050,1,,第5天
6,4300060,0,,第6天
7,4300070,0,,第7天
8,4300080,3,2040002,第8天
9,4300090,0,,第9天
10,4300100,1,,第10天
11,4300110,0,,第11天
12,4300120,0,,第12天
13,4300130,3,2040002,第13天
14,4300140,0,,第14天
15,4300150,1,,第15天
16,4300160,0,,第16天
17,4300170,0,,第17天
18,4300180,3,2040002,第18天
19,4300190,0,,第19天
20,4300200,1,,第20天
21,4300210,0,,第21天
22,4300220,0,,第22天
23,4300230,3,2040002,第23天
24,4300240,0,,第24天
25,4300250,1,,第25天
26,4300260,0,,第26天
27,4300270,0,,第27天
28,4300280,3,2040002,第28天
29,4300290,0,,第29天
30,4300300,1,,第30天
31,4310010,0,,第1天
32,4310020,1,,第2天
33,4310030,3,2040002,第3天
34,4310040,0,,第4天
35,4310050,2,,第5天
36,4310060,0,,第6天
37,4310070,1,,第7天
38,4310080,3,2040002,第8天
39,4310090,0,,第9天
40,4310100,2,,第10天
41,4310110,0,,第11天
42,4310120,1,,第12天
43,4310130,3,2040002,第13天
44,4310140,0,,第14天
45,4310150,2,,第15天
46,4310160,0,,第16天
47,4310170,1,,第17天
48,4310180,3,2040002,第18天
49,4310190,0,,第19天
50,4310200,2,,第20天
51,4310210,0,,第21天
52,4310220,1,,第22天
53,4310230,3,2040002,第23天
54,4310240,0,,第24天
55,4310250,2,,第25天
56,4310260,0,,第26天
57,4310270,1,,第27天
58,4310280,3,2040002,第28天
59,4310290,0,,第29天
60,4310300,2,,第30天
61,4320010,0,,第1天
62,4320020,1,,第2天
63,4320030,3,2040002,第3天
64,4320040,0,,第4天
65,4320050,2,,第5天
66,4320060,0,,第6天
67,4320070,1,,第7天
68,4320080,3,2040002,第8天
69,4320090,0,,第9天
70,4320100,2,,第10天
71,4320110,0,,第11天
72,4320120,1,,第12天
73,4320130,3,2040002,第13天
74,4320140,0,,第14天
75,4320150,2,,第15天
76,4320160,0,,第16天
77,4320170,1,,第17天
78,4320180,3,2040002,第18天
79,4320190,0,,第19天
80,4320200,2,,第20天
81,4320210,0,,第21天
82,4320220,1,,第22天
83,4320230,3,2040002,第23天
84,4320240,0,,第24天
85,4320250,2,,第25天
86,4320260,0,,第26天
87,4320270,1,,第27天
88,4320280,3,2040002,第28天
89,4320290,0,,第29天
90,4320300,2,,第30天
