ID,EventID,EntityID,Name,HeadAtlas,HeadIcon,SceneID,BgAtlas,BgIcon,AvatarPos,ClickAction,Des,Type,WinAward,PublicReward,PersonalMvpAward,PartsInAward,ActivityPartsInAward,PartsInAwardPreview,FinallyKillEffect,Postion,Rotation,Scale,HPRatio,ELifeTime,CompensatePara,LocalizationArea
序号,事件ID,怪物ID,mvp名称（注释用，没打表）,头像Atlas,头像,场景ID,背景图Atlas,背景图片,模型坐标,点击动作,怪物描述,类型（1.定时刷新 2.不定时刷新-不定时刷新不显示倒计时，只显示已刷新，未刷新）,MVP及团队贡献奖励,公共幸运奖励（无用）,个人MVP奖励,个人参与奖励,活动时奖励,个人参与奖励预览,MVP特效,位置,角度,大小,血量系数,期望死亡时间(秒),血量补偿系数,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配2+8=10)
1,1,1032,天使波利,MonsterIcon_Boss001,Monster_TianShiBoLi.png,13,Activity,UI_Activity_Mvp_Map_Bolidao.png,,Monster_TianShiBoLi/Monster_TianShiBoLi_Attack,可恶，不要抢走我的发夹！~,1,5210100,,5200100,10=1302|60=1301|100=1303,100=1399,5222010,Fx_Skill_Nomal_Mvp_1,0=0.65=0,0=216=0,0.5=0.5=0.5,500=10=10,100,0.8,0
2,4,3001,黄金虫,MonsterIcon_Boss001,Monster_HuangJinChong.png,503,Activity,UI_Activity_Mvp_Map_Xiashuidao.png,,Monster_HuangJinChong/Monster_HuangJinChong_Skill_NuBao,觊觎我财宝的小贼都将获得悲惨的下场！,1,5210040,,5200040,10=1305|60=1304|100=1306,100=1399,5222020,Fx_Skill_Nomal_Mvp_1,0=0.7=0,0=216=0,0.8=0.8=0.8,500=10=10,100,0.8,0
3,11,1135,兽人英雄,MonsterIcon_Boss001,Monster_ShouRenYingXiong.png,34,Activity,UI_Activity_Mvp_Map_Shourencunluo.png,,Monster_ShouRenYingXiong/Monster_ShouRenYingXiong_ZiDongFangYu,兽人的尊严不容侵犯！,1,5210020,,5200030,10=1329|60=1328|100=1330,100=1399,5222030,Fx_Skill_Nomal_Mvp_1,0=0.2=0,0=216=0,0.3=0.3=0.3,500=10=10,100,0.8,0
4,3,1021,恶魔波利,MonsterIcon_Boss001,Monster_EMoBoLi.png,13,Activity,UI_Activity_Mvp_Map_Bolidao.png,,Monster_EMoBoLi/Monster_EMoBoLi_Attack,别看我个子小，来欺负我试试？,1,5210050,,5200050,10=1326|60=1325|100=1327,100=1399,5222040,Fx_Skill_Nomal_Mvp_1,0=0.6=0,0=216=0,0.7=0.7=0.7,500=10=10,100,0.8,0
5,12,1187,兽人酋长,MonsterIcon_Boss001,Monster_ShouRenQiuZhang.png,34,Activity,UI_Activity_Mvp_Map_Shourencunluo.png,,Monster_ShouRenQiuZhang/Monster_ShouRenQiuZhang_Attack,兽人英雄没我厉害，你怕了么？,1,5210030,,5200030,10=1332|60=1331|100=1333,100=1399,5222050,Fx_Skill_Nomal_Mvp_1,0=0.4=0,0=216=0,0.35=0.35=0.35,500=10=10,100,0.8,0
6,8,1116,蚁后,MonsterIcon_Boss001,Monster_Yihou.png,506,Activity,UI_Activity_Mvp_Map_Mayidong.png,,Monster_YiHou/Monster_YiHou_Attack,竟然来到这里了，孩子们，来驱逐这些入侵者！,1,5210010,,5200010,10=1308|60=1307|100=1309,100=1399,5222060,Fx_Skill_Nomal_Mvp_1,0=0.3=0,0=216=0,0.3=0.3=0.3,1000=5=5,100,0.75,0
7,2,1012,哥布灵首领,MonsterIcon_Boss001,Monster_GeBuLinShouLing.png,8,Activity,UI_Activity_Mvp_Map_Gebulingsenlin.png,,Monster_GeBuLinShouLing/Monster_GeBuLinShouLing_Attack,此路是我开，此树是我栽，要想从此过，留下买路财！,1,5210150,,5200150,10=1311|60=1310|100=1312,100=1399,5222070,Fx_Skill_Nomal_Mvp_1,0=0.2=0,0=216=0,0.45=0.45=0.45,500=5=5,100,0.7,0
8,9,1121,蜂后,MonsterIcon_Boss001,Monster_FengHou.png,17,Activity,UI_Activity_Mvp_Map_Huayuan.png,,Monster_FengHou/Monster_FengHou_Attack,你将体会到——甜蜜的死亡！,1,5210110,,5200110,10=1335|60=1334|100=1336,100=1399,5222080,Fx_Skill_Nomal_Mvp_1,0=0.2=0,0=216=0,0.45=0.45=0.45,500=5=5,100,0.7,0
9,6,1103,海盗之王,MonsterIcon_Boss001,Monster_Haidaozhiwang.png,507,Activity,UI_Activity_Mvp_Map_Chenchuan.png,,Monster_HaiDaoZhiWang/Monster_HaiDaoZhiWang_Skill_ChaoXiZhiRen,大海就是我的主场！,1,5210140,,5200140,10=1314|60=1313|100=1315,100=1399,5222090,Fx_Skill_Nomal_Mvp_1,0=0.4=0,0=216=0,0.45=0.45=0.45,500=5=5,100,0.7,0
10,10,1107,俄塞里斯,MonsterIcon_Boss001,Monster_Esailisi.png,512,Activity,UI_Activity_Mvp_Map_Jinzitaerceng.png,,Monster_ESaiLiSi/Monster_ESaiLiSi_Skill_ShiFa,在我的国度里享受死亡的盛宴吧！,1,5210060,,5200060,10=1338|60=1337|100=1339,100=1399,5222100,Fx_Skill_Nomal_Mvp_1,0=0.2=0,0=216=0,0.65=0.65=0.65,300=5=5,100,0.7,0
