NoticeID,LevelLimit,NoticeContent
公告ID,等级区间,任务内容
101,1=10,53001
102,1=10,53002
103,7=30,53003
104,1=30,53004
105,0=30,53005
106,0=50,53006
107,9=300,53007
108,15=50,53008
109,27=60,53009
110,35=300,53010
111,75=300,53011
112,20=300,53012
113,11=40,53013
114,11=300,53014
115,11=50,53015
116,20=300,53016
117,20=300,53017
118,20=300,53018
119,30=300,53019
120,40=300,53020
121,40=300,53021
122,200=300,53022
123,40=300,53023
124,40=300,53024
125,50=300,53025
126,30=300,53026
127,30=300,53027
128,20=300,53028
129,16=300,53029
130,20=60,53030
131,25=60,53031
132,0=60,53032
133,30=60,53033
134,16=300,53034
135,20=300,53035
136,20=300,53036
137,20=300,53037
138,40=300,53038
139,42=300,53039
140,60=65,53040
141,35=300,53041
142,40=45,53042
143,50=60,53043
144,50=300,53044
145,18=300,53045
146,30=300,53046
147,24=300,53047
148,45=300,53048
149,25=300,53049
150,25=300,53050
151,50=300,53051
152,80=300,53052
153,30=300,53053
154,45=300,53054
155,35=41,53055
156,10=30,53056
157,5=300,53057
158,55=300,53058
159,30=300,53059
160,50=300,53060
