Id,ActivityDes,TimeLimitActivityId,DailyActivityId,TimeLimit,ActivityNpc,TimeLimitType,ActivityType
唯一标识,活动描述,关联的限时活动ID（TimelimitTable表格）,关联的日常活动ID（DailyActivityTable表格）,自定义人文展示时间段（如果配置了限时活动ID（或日常活动ID）又配置了自定义人文展示时间段，则表示，在限时活动（或日常活动）活动期间，在配置的自定义时间范围内，人文做特殊表现；不可配置循环）,是否只在活动期间或自定义时间展示（表示是否该NPC仅在配置活动期间/特定时间段内显示出来，如果配置是，则该NPC仅在配置活动期间/特定时间段内显示，平时不显示。默认0，不是；如果配置1，则是）,关联限时活动类型,活动类型（-1表示不管怎么样都显示，0不表示，1表示为节日限时活动，2表示为日常活动，4表示为自定义活动时间，8表示关联限时活动类型，数字叠加表示需要哪个时间，例如限时活动和日常活动都要：1+2=3，填入3）
401,攻城战活动关联,,22,,,,2
501,绵绵岛活动关联,,,,,3,8
502,周年庆活动,,,20210701=050000|20210801=050000,,,4
503,博仁斯关联,1102,,,,,-1
504,记忆碎片活动,1301,,,,,1
601,邪能入侵,1701,,,1,,1
602,邪能入侵前7,1706,,,1,,1
901,赏月节-兔子来了,1402,,20210914=050000|20210921=050000,,,4
902,赏月节-月兔乐园,1403,,,,,1
903,万圣节,4003,,20211028=050000|20211104=050000,,,4
904,圣诞节,,,20211223=050000|20211230=050000,,,4
905,天下第一勇者大会,,,20210917=220000|20211003=220000,,,4
910,圣诞节装饰-日本限定（只在日本场景文件的雪人和花环用到）,,,20211125=120000|20211227=045959,,,4
