ID,NpcId,SceneId1,Pos1,SceneId2,Pos2,SceneId3,Pos3,SceneId4,Pos4,SceneId5,Pos5,TaskAccept,TaskFinish,TaskTarget1,TaskTarget2,TaskTarget3,TaskTarget4,TaskTarget5
主键,NPC主键,场景id1,坐标1,场景id2,坐标2,场景id3,坐标3,场景id4,坐标4,场景id5,坐标5,任务接取关联,任务交付关联,任务目标1关联,任务目标2关联,任务目标3关联,任务目标4关联,任务目标5关联
1,3752,1,"189.28,8.04,119.75",6,"189.28,8.04,119.75",,,,,,,,,,,,,
2,3753,1,"189.51,7.67,112.9",6,"189.51,7.67,112.9",,,,,,,,,,,,,
3,3750,1,"183.64,8.2,121.13",6,"183.64,8.2,121.13",,,,,,,,,,,,,
4,3754,1,"142.7036,7.42,110.1408",6,"142.7036,7.42,110.1408",,,,,,,19005100,19005130,,,,,
5,3751,1,"119.3671,7.33,104.0129",6,"119.3671,7.33,104.0129",,,,,,,,12001210,,,12001210,,
6,40031,1,"162.53,13.02,179.61",6,"162.53,13.02,179.61",,,,,,,,,,,,,
7,3765,1,"46.18637,7.29,87.79768",,,,,,,,,,,,,,,
8,3764,1,"48.93592,8.59,126.6987",6,"48.93592,8.59,126.6987",,,,,,,,,,,,,
9,3762,1,"30.89,7.48,122.92",6,"30.89,7.48,122.92",,,,,,,,,,,,,
10,3755,1,"41.4124,7.39,120.9597",,,,,,,,,,29000040,,,,,
11,3756,1,"30.95277,7.42,122.3384",,,,,,,,,,,,,,,
12,60943,1,"148.4358,7.4,120.9531",6,"148.4358,7.4,120.9531",,,,,,,,,,,,,
13,17691,1,"25.41005,7.39,118.9958",,,,,,,,,,,,,,,
14,60944,1,"173.3528,12.55,160.5211",6,"173.3528,12.55,160.5211",,,,,,,,,,,,,
15,60945,1,"183.1763,8.1,124.2204",6,"183.1763,8.1,124.2204",,,,,,,,,,,,,
16,60946,1,"109.905,7.38,99.90049",6,"109.905,7.38,99.90049",,,,,,,,,,,,,
17,60947,1,"105.8968,7.41,83.14319",6,"105.8968,7.41,83.14319",,,,,,,,,,,,,
18,60948,1,"156.4911,7.75,152.1747",6,"156.4911,7.75,152.1747",,,,,,,,,,,,,
19,3721,4,"78.89,9.97,145.9",2246,"57.51,15.84,173.48",2247,"57.51,15.84,173.48",2248,"57.51,15.84,173.48",2249,"57.51,15.84,173.48",,,,,,,
20,3723,4,"152.49,14.09,90.5",,,,,,,,,1004010,,,,,,
21,3725,4,"83.13,9.95,143.48",,,,,,,,,,,,,,,
22,3726,4,"102.9203,10.06,137.958",,,,,,,,,,,,,,,
23,3722,4,"88.38,10.06,145.83",,,,,,,,,,,,,,,
24,3749,4,"100.0582,10.06,143.7749",,,,,,,,,,,,,,,
25,40061,4,"55.37,13.95,70.14",,,,,,,,,,,,,,,
26,3727,4,"65.25849,10.06,134.87",2246,"44.49939,15.84,159.515",2247,"44.49939,15.84,159.515",2248,"44.49939,15.84,159.515",2249,"44.49939,15.84,159.515",,,,,,,
27,3728,4,"119.396,10.43,133.7967",,,,,,,,,,,,,,,
28,3729,4,"119.7861,10.42,133.9438",,,,,,,,,,,,,,,
29,3730,4,"155.9517,6.48,121.4867",,,,,,,,,,,,,,,
30,3731,4,"156.23,6.48,121.85",,,,,,,,,,,,,,,
31,3732,4,"156.37,7.01,122.45",,,,,,,,,,,,,,,
32,3733,4,"124.6787,10.4,133.3413",,,,,,,,,,,,,,,
33,50600,4,"152.09,6.77,110.41",,,,,,,,,,,,,,,
34,60949,4,"113.845,10.01,131.5245",,,,,,,,,,,,,,,
35,60950,4,"61.96566,10.01,127.1357",,,,,,,,,,,,,,,
36,60951,4,"102.4457,10.01,146.0111",,,,,,,,,,,,,,,
37,60952,4,"65.3576,10.01,81.38307",,,,,,,,,,,,,,,
38,60953,4,"153.764,14.04,77.56332",,,,,,,,,,,,,,,
39,60954,4,"152.01,6.93,107.23",,,,,,,,,,,,,,,
40,40091,5,"67.56,10,92.64",,,,,,,,,,,,,,,
41,3840,5,"132.26,10,52.7",,,,,,,,,,,,,,,
42,3842,5,"118.11,10,53.76",,,,,,,,,,12001010,,,,,
