Id,FunctionDes,ButtonName,FunctionOrderName,FunctionParameter
功能ID,功能备注描述,显示的功能项名称,功能函数名（程序提供）,功能参数（程序提供，可为空）
1,卡普拉传送,世界地图传送,,
2,美发,美发,BarberShopEvent,
3,美瞳,美瞳,BeautyShopEvent,
4,道具商店1,道具商店,PropertyShopEvent,101
5,料理商店,料理商店,PropertyShopEvent,102
6,道具商店3,道具商店,PropertyShopEvent,101
7,乐园团委托,乐园团委托,EdenTaskEvent,
8,主题副本,主题副本,ThemeDungeonEvent,
9,GM商店,GM商店,PropertyShopEvent,103
10,装备商店,装备商店,PropertyShopEvent,104
11,进入无限塔,进入无限塔,InfiniteTowerEvent,
12,PVE副本道具商店,PVE副本道具商店,PropertyShopEvent,101
13,观看流星雨,观看流星雨,EnterDungeonEvent,106
14,装备材料商店,装备材料商店,PropertyShopEvent,105
15,制作书商店,制作书商店,PropertyShopEvent,106
16,头饰商店,头饰商店,PropertyShopEvent,107
17,美容美发商店,美容美发商店,PropertyShopEvent,108
18,出售功能,出售,ShopSellEvent,
19,无限塔，有个取消,取消,CancelEvent,
20,装备打造,装备打造,EquipElevateEvent,
21,5V5赛事抽签,抽签,Champion5v5DrawEvent,
22,5V5赛事直播-阿罗,赛事直播,Champion5v5LeftCatEvent,
23,5V5赛事直播-小美,赛事直播,Champion5v5RightCatEvent,
24,卡片觉醒,卡片觉醒,OpenCardAwake,
