Id,Name,IsConcealName,Desc,Function,NpcFunctionId,NpcFunctionIdBackup,FunctionIcon,FunctionName,NpcMapIcon,MapIconControl,MapIconWeight,DefaultEquipID,PresentID,Scale,Sex,Icon,Voice,ShowUp,ShowUpInterval,DialogAnim,Prefab,ReNpcId,IsInitialize,NpcType,NPCShowScript,NpcShowTime,NPCScript,NPCRangeCheckScript,NPCRangeCheckCV,NPCAtlas,NPCIcon,IsDynamicNpc,IsSqure,IsDanceNpc,UmbrellaInRain,EntityID,FaceToPlayer,ShowModel,TalkRTOffset,ElfID,AppearBuffs,DisappearBuffs,DisappearTime,NeedTransparent,AppearCommandScript,DisappearCommandScript,,NPCSelectHide,IsFAQImport,IsPathFinding,LocalizationArea
编号（请按照规划好的ID段配置相应的NPC，不要乱搞！ID段规划看下一个sheet）,名字,是否在场景中隐藏NPC的名字（默认0，不隐藏）,描述,NPC功能,NPC功能ID（可配多个，竖线分隔：1，卡普拉传送；2，美发师；3，美瞳大师；4，道具商人）,备用的npc功能id，服务器用,头顶功能气泡框图标,头顶功能气泡框文字,在小地图的显示图标,是否在小地图缩小状态下显示图标,小地图图标显示权重,裸模ID,模板ID,模型放大倍数,性别（0.男 1.女）,图标,语音,表演动作,表演动作触发控制(触发间隔=初始时间位移),对话动作,显示模型,复用的NPCid，策划用,是否初始化的时候就可见,NPC类型，1为常规类型，2为交互类型（交互类型不打开对话框），0为不可交互,NPC自动展示剧本（剧本名=tag名）,自动展示剧本频率,NPC对话剧本（剧本名=tag名）,检查NPC距离字段（距离=剧本名=tag名）,检查NPC距离字段播放cv（距离=CVid=站在范围内的触发间隔）,npc头像图集,npc头像,点击是否动态NPC（空不是 1是）,是否是方形（空不是 1是）,是否会跳舞（空不是 1是）,下雨天是否撑伞,对应EntityID,对话时是否转身（1转身0不转身）,对话框中是否显示模型（1显示0不显示）,对话框人物偏移（x=y=z）实际为移动摄像机位置 x为左右偏移 左-1~1右；y为上下偏移，下-1~1上；z为体积大小，小-1~1大；（数字可保留至小数点以后6位，看个人精度需求。一般偏移0.1就差不多了）,波利团ID,出生Buff,消失Buff,消失时间,是否需要渐变透明消失（0都不透明，1出生时透明，2消失时透明，3 都透明）,NPC出生后播放剧本（剧本id=tag名）,NPC消失前播放剧本（剧本id=tag名）,,隐藏选中光圈（默认为不隐藏0，隐藏填1）,用于【卡普拉咨询】导入确认的字段，该字段用于导入数据时的判断字段，填1则在web后台会导入该行数据,是否不需要寻路（配1表示不支持寻路的npc允许同场景存在多个同id的npc）,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
1,,0,卫兵,,,,,,,,,0=100002,0=100002,1,0,,123,,,,NPC_M_MenWei\Preview\NPC_M_MenWei_bandpose,1,1,1,,,0=2=npcTEST_weibing,,,,,,,,,,1,1,,,,,,,,,,,,,
2,,0,卡普拉职员1,,,,,,UI_map_identification_npc_kapula.png,,,0=100001,0=100001,1,1,,123,,,,NPC_F_KaPuLa\Preview\NPC_F_KaPuLa_bandpose,2,1,1,,,0=2=npcTEST,,,,,,,,1,,1,1,,,,,,,,,,,,,
3,,0,小店商人,,,,,,,,,0=100004,0=100004,1,1,,123,,,,NPC_F_XiaoDianShangRen\Preview\NPC_F_XiaoDianShangRen_bandpose,3,1,1,,,0=2=npcTEST_CQsr,,,,,,,,,,1,1,,,,,,,,,,,,,
4,,0,道具商人,道具商人,,,,,,,,0=100003,0=100003,1,1,,123,,,,NPC_F_DaoJuShangRen\Preview\NPC_F_DaoJuShangRen_bandpose,4,1,1,,,0=2=npcTEST,,,NpcIcon01,NPC_Daojushangren.png,,,,,,1,1,,,,,,,,,,,,,
5,,0,纳迷,多功能NPC,3030|3031,,UI_NPC_Bubble_Daojudian.png,头饰商店,UI_map_identification_npc_daojudian.png,,,0=100005,0=100005,1,1,,123,,,,NPC_F_NaMi\Preview\NPC_F_NaMi_bandpose,5,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
6,,0,艾留斯,,,,,,,,,0=100006,0=100006,1,0,,123,,,,NPC_M_Ailiusi\Preview\NPC_M_Ailiusi_bandpose,6,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
7,,0,费舍尔,装备打孔师,,,,,,,,0=100007,0=100007,1,0,,123,,,,NPC_M_DaKongShi\Preview\NPC_M_DaKongShi_bandpose,7,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
8,,0,十字军队长,,,,,,,,,0=0,0=100008,1,0,,123,,,,NPC_M_ShiZiJunDuiZhang\Preview\NPC_M_ShiZiJunDuiZhang_bandpose,8,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
9,,0,十字军领袖,,,,,,,,,0=0,0=100009,1,0,,123,,,,NPC_M_ShiZiJunLingXiu\Preview\NPC_M_ShiZiJunLingXiu_bandpose,9,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
