ID,Comment,StartTime,Interval,Attempts,Probability,DelayBeforeInfluence,CD,CycleType,CapOnInfluence,InfluenceType,Arguments,Message,Mail,Desc,DescShort,Atlas,Icon,NotificationEndTime
ID,注释,第一次触发判断的开始时间（秒）,每次触发判断的间隔（秒）,总的尝试触发判断次数（进入新周期后重置）,每次触发成功的可能性百分比（10000表示100%）,当一次attempt判断成功后，等待n=m秒再触发对应的影响。等待期间不会继续尝试之后的attempt。,触发成功后多久时间内不再尝试触发（秒）,周期类型（0：无，1：每天凌晨0点，2：每天凌晨5点，3：每周一凌晨0点，4：每周一凌晨5点，5：每月1号凌晨0点）,总触发次数上限,"影响类型（0：无，1：触发触发器组，2：时尚评分刷NPC, 3：世界奇闻）",参数（1：场景ID=触发器组ID，后续可选参数：rate_num几率，min_life采集物最小生命周期毫秒，max_life采集物最大生命周期毫秒。2：NPC ID|场景ID=X=Y=Z=旋转角度|现实时间几点消失） ,触发消息（消息ID=几率，消息里的第一个参数会被场景名字替换）,通知邮件的ID（查看MailTable，邮件的第一个参数会被场景名字替换）,影响长描述,影响短描述,图标图集,图标,影响被触发后，在大地图上显示活动图标到什么时候。格式为“类型=时间”：\r\n- 类型：1为相对时间（i.e.影响被触发后等待n秒）；2为绝对时间（i.e.指定某个时间，比如23点15分）。\r\n- 时间：类型为1时，时间表示具体的秒数（e.g. 300表示影响被触发后的5分钟后）；类型为2时，时间表示绝对时间（e.g. 2315表示23点15分）。\r\n
1,刷果子（雨后）,0,0,1,10000,,,,,1,1=3=rate_num=10000=min_life=145000=max_life=150000|4=3=rate_num=10000=min_life=145000=max_life=150000|5=3=rate_num=10000=min_life=145000=max_life=150000|10=3=rate_num=10000=min_life=145000=max_life=150000|12=3=rate_num=10000=min_life=145000=max_life=150000|23=3=rate_num=10000=min_life=145000=max_life=150000|37=1=rate_num=10000=min_life=145000=max_life=150000|45=3=rate_num=10000=min_life=145000=max_life=150000|13=2=rate_num=10000=min_life=145000=max_life=150000,100103=10000,,雨后，果子生长了出来。据说吉芬西部的狸猫商人愿意拿一些宝贝来换这些果子。,雨后果子,Map,UI_map_Interactive_WorldPve05.png,1=150
101,金字塔异变45级奇闻（必刷）,0,0,1,10000,,10,2,1,3,1,,,,,,,
102,吉芬魔法师45级（必刷）,0,0,1,10000,,10,2,1,3,2,,,,,,,
103,哥布灵杀手45级奇闻（必刷）,0,0,1,10000,,10,2,1,3,4,,,,,,,
105,落难公主45级奇闻（必刷）,0,0,1,10000,,10,2,1,3,5,,,,,,,
106,兽人事变45级奇闻（必刷）,0,0,1,10000,,10,2,1,3,6,,,,,,,
107,毒眼圣物45级奇闻（低概率刷）,0,0,1,10000,,10,2,1,3,3,,,,,,,
201,金字塔异变45级奇闻（低概率刷）,0,0,1,1000,,30,2,1,3,1,,,,,,,
202,吉芬魔法师45级（低概率刷）,0,0,1,1000,,30,2,1,3,2,,,,,,,
203,哥布灵杀手45级奇闻（低概率刷）,0,0,1,1000,,30,2,1,3,4,,,,,,,
205,落难公主45级奇闻（低概率刷）,0,0,1,1000,,30,2,1,3,5,,,,,,,
206,兽人事变45级奇闻（低概率刷）,0,0,1,1000,,30,2,1,3,6,,,,,,,
207,毒眼圣物45级奇闻（低概率刷）,0,0,1,1000,,30,2,1,3,3,,,,,,,
1001,主编出现：普隆德拉,0,0,1,10000,,10,1,1,2,6212|71=67=33=84.5=135|2400,,,让时尚杂志主编给你的时尚度打个分吧！,时尚评分,,,
1002,主编出现：伊斯鲁得,0,0,1,10000,,10,1,1,2,6212|71=83=33=77=-140|2400,,,让时尚杂志主编给你的时尚度打个分吧！,时尚评分,,,
1003,主编出现：吉芬,0,0,1,10000,,10,1,1,2,6212|71=78=33=74=180|2400,,,让时尚杂志主编给你的时尚度打个分吧！,时尚评分,,,
1004,主编出现：艾尔贝塔,0,0,1,10000,,10,1,1,2,6212|71=83=33=77=-140|2400,,,让时尚杂志主编给你的时尚度打个分吧！,时尚评分,,,
