Id,SkillName,SkillLevel,Buff,Attr,ExtraNum,SkillDescRep
编号,技能名称（策划用）,技能等级（策划用）,添加的Buff（BuffId=概率万分比）,修改的属性（属性Id=Value）,被动技能参数,技能描述替换
13,被动技能,1,,,,
10000401,急救手册（1级）,1,,,HP=5,5
10000402,急救手册（2级）,2,,,HP=10,10
10000403,急救手册（3级）,3,,,HP=15,15
10000404,急救手册（4级）,4,,,HP=20,20
10000405,急救手册（5级）,5,,,HP=25,25
10000406,急救手册（6级）,6,,,HP=30,30
10000407,急救手册（7级）,7,,,HP=35,35
10000408,急救手册（8级）,8,,,HP=40,40
10000409,急救手册（9级）,9,,,HP=45,45
20000901,剑系熟练度（1级）,1,11601=10000|11701=10000,,ATK=2,2
20000902,剑系熟练度（2级）,2,11601=10000|11701=10000,,ATK=4,4
20000903,剑系熟练度（3级）,3,11601=10000|11701=10000,,ATK=6,6
20000904,剑系熟练度（4级）,4,11601=10000|11701=10000,,ATK=8,8
20000905,剑系熟练度（5级）,5,11601=10000|11701=10000,,ATK=10,10
20000906,剑系熟练度（6级）,6,11601=10000|11701=10000,,ATK=12,12
20000907,剑系熟练度（7级）,7,11601=10000|11701=10000,,ATK=14,14
20000908,剑系熟练度（8级）,8,11601=10000|11701=10000,,ATK=16,16
20000909,剑系熟练度（9级）,9,11601=10000|11701=10000,,ATK=18,18
20000910,剑系熟练度（10级）,10,11601=10000|11701=10000,,ATK=20,20
20001001,攻击弱点（1级）,1,,,PRO=500,5
20001002,攻击弱点（2级）,2,,,PRO=1000,10
20001003,攻击弱点（3级）,3,,,PRO=1500,15
20001004,攻击弱点（4级）,4,,,PRO=2000,20
20001005,攻击弱点（5级）,5,,,PRO=2500,25
20001101,快速回复（1级）,1,11001=10000,,HP1=5|HP2=10,5|0.1|3
20001102,快速回复（2级）,2,11001=10000,,HP1=10|HP2=20,10|0.2|6
20001103,快速回复（3级）,3,11001=10000,,HP1=15|HP2=30,15|0.3|9
20001104,快速回复（4级）,4,11001=10000,,HP1=20|HP2=40,20|0.4|12
20001105,快速回复（5级）,5,11001=10000,,HP1=25|HP2=50,25|0.5|15
20001106,快速回复（6级）,6,11001=10000,,HP1=30|HP2=60,30|0.6|18
20001107,快速回复（7级）,7,11001=10000,,HP1=35|HP2=70,35|0.7|21
20001108,快速回复（8级）,8,11001=10000,,HP1=40|HP2=80,40|0.8|24
20001109,快速回复（9级）,9,11001=10000,,HP1=45|HP2=90,45|0.9|27
20001110,快速回复（10级）,10,11001=10000,,HP1=50|HP2=100,50|1|30
20002701,狂暴状态（1级）,1,,27=10,,
21010301,长矛使用熟练度（1级）,1,14001=10000|14101=10000|14201=10000,,ATK=4|ATKMount=1,4|1
21010302,长矛使用熟练度（2级）,2,14001=10000|14101=10000|14201=10000,,ATK=8|ATKMount=2,8|2
21010303,长矛使用熟练度（3级）,3,14001=10000|14101=10000|14201=10000,,ATK=12|ATKMount=3,12|3
21010304,长矛使用熟练度（4级）,4,14001=10000|14101=10000|14201=10000,,ATK=16|ATKMount=4,16|4
21010305,长矛使用熟练度（5级）,5,14001=10000|14101=10000|14201=10000,,ATK=20|ATKMount=5,20|5
21010306,长矛使用熟练度（6级）,6,14001=10000|14101=10000|14201=10000,,ATK=24|ATKMount=6,24|6
21010307,长矛使用熟练度（7级）,7,14001=10000|14101=10000|14201=10000,,ATK=28|ATKMount=7,28|7
21010308,长矛使用熟练度（8级）,8,14001=10000|14101=10000|14201=10000,,ATK=32|ATKMount=8,32|8
21010309,长矛使用熟练度（9级）,9,14001=10000|14101=10000|14201=10000,,ATK=36|ATKMount=9,36|9
