Id,Name,Group,RefreshTime,Reason
主键,名称(策划用),CD组（卡片品质分）--掉落一次进入cd（程序写死）,CD时间（小时）,掉落途径
4060011,狸猫卡片,1,36,1
4060014,黑蚁卡片,1,36,1
4020015,邪骸食人鱼卡片,1,36,1
4030017,绿苍蝇卡片,1,36,1
4060009,气泡虫卡片,1,36,1
4060010,人鱼卡片,1,36,1
4020013,僵尸卡片,1,36,1
4030009,野猪卡片,1,36,1
4070010,绿腐尸卡片,1,36,1
4060022,鬼火卡片,1,36,1
4020005,艾斯蜘蛛卡片,1,36,1
4020006,狂暴木乃伊卡片,1,36,1
4060001,克瑞米卡片,1,36,1
4010012,青蛇卡片,1,36,1
4010019,白蚁卡片,1,36,1
4010044,漂浮虫卡片,1,36,1
4010045,兽人女战士卡片,1,36,1
4040002,猎蝇卡片,1,36,1
4060008,邪骸海盗卡片,1,36,1
4010014,水母卡片,1,36,1
4020012,兽人战士卡片,1,36,1
4070011,长老树精卡片,1,36,1
4010009,狼卡片,1,36,1
4040007,白幽灵卡片,1,36,1
4030011,大嘴鸟卡片,1,36,1
4040018,兽人腐尸卡片,1,36,1
4050002,木乃伊犬卡片,1,36,1
4040019,麦斯特卡片,1,36,1
4030014,卡那多斯卡片,1,36,1
4040012,乌贼卡片,1,36,1
4010049,重金属蝗虫卡片,1,36,1
4060020,妖道卡片,1,36,1
4020011,大脚熊卡片,1,36,1
4040011,蚯蚓卡片,1,36,1
4040013,蛇女伊丝卡片,1,36,1
4040023,伞蜥卡片,1,36,1
4050004,黑狐卡片,1,36,1
4060026,恶灵卡片,1,36,1
4010051,巨石怪卡片,1,36,1
4040020,南瓜先生卡片,1,36,1
4060015,螳螂卡片,1,36,1
4060017,邪恶箱卡片,1,36,1
4050008,鬼女卡片,1,36,1
4060018,杰洛米卡片,1,36,1
4010039,诺可伊卡片,1,36,1
4060024,灰森灵卡片,1,36,1
4020014,毕帝特飞龙卡片,1,36,1
4060027,风魔巫师卡片,1,36,1
4050012,狂暴野猫卡片,1,36,1
4020016,梅纳海葵卡片,1,36,1
4070014,蓝鼠卡片,1,36,1
4040022,傀儡娃娃卡片,1,36,1
4010032,木乃伊卡片,1,36,1
4010052,赤苍蝇卡片,1,36,1
4060021,将军魔碑卡片,1,36,1
4060023,兽人弓箭手卡片,1,36,1
4070019,飞行魔书卡片,1,36,1
4030028,镜妖卡片,1,36,1
4070020,卡拉特小丑卡片,1,36,1
4010070,贤者虫卡片,1,36,1
4010071,邪骸浪人卡片,1,36,1
4030029,邪骸战俘卡片,1,36,1
4030032,瑞比欧卡片,1,36,1
4010072,阿修罗狂战士卡片,1,36,1
