Id,GroupId,Notes,type,Name,Description,AttrId,AttrValue,AttrEnhanceValue,buffid,ValueWeight,AppearValue,GroupType,AttrRarity,
主键,宠物属性库ID,备注说明,类型。0为属性id，1为buffid,名称,描述,属性ID（类型为1时该字段不生效）,属性数值区间划分（类型为1时该字段不生效）,强化时属性提升值,Buffid，类型为1时该字段不生效,区间权重,出现权重,属性库类别,属性品质（1=橙色字体、2=紫色字体，0=默认字体；没配的用默认字体（即深蓝色））,备注
1,1100,40级_武器_物理攻击_物理攻击,0,物理攻击,,393,22=32|32=36|36=38,2,,5|0|0,100,1,,装备主属性
2,1101,40级_武器_魔法攻击_魔法攻击,0,魔法攻击,,394,22=32|32=36|36=38,2,,5|0|0,100,1,,装备主属性
3,1102,40级_身_生命_生命值,0,生命值,,392,154=232|232=258|258=270,10,,5|0|0,100,1,,装备主属性
4,1103,40级_头_攻击向_物理攻击,0,物理攻击,,402,300=450|450=500|500=530,17,,5|0|0,15,1,2,装备主属性
5,1103,40级_头_攻击向_物理攻击,0,物理攻击,,393,22=32|32=36|36=38,2,,5|0|0,50,1,,装备主属性
6,1103,40级_头_攻击向_攻击速度%,0,攻击速度,,71,180=270|270=300|300=320,10,,5|0|0,15,1,2,装备主属性
7,1103,40级_头_攻击向_暴伤%,0,暴击伤害,,59,180=270|270=300|300=320,10,,5|0|0,25,1,2,装备主属性
8,1103,40级_头_攻击向_暴击,0,暴击,,55,1=2|2=2|2=2,1,,5|0|0,0,1,2,装备主属性
9,1104,40级_头_攻击向_魔法攻击,0,魔法攻击,,403,300=450|450=500|500=530,17,,5|0|0,15,1,2,装备主属性
10,1104,40级_头_攻击向_魔法攻击,0,魔法攻击,,394,22=32|32=36|36=38,2,,5|0|0,50,1,,装备主属性
11,1104,40级_头_攻击向_CD冷却加速%,0,技能冷却加速,,433,180=270|270=300|300=320,10,,5|0|0,15,1,2,装备主属性
12,1104,40级_头_攻击向_暴伤%,0,暴击伤害,,59,180=270|270=300|300=320,10,,5|0|0,25,1,2,装备主属性
13,1104,40级_头_攻击向_暴击,0,暴击,,55,1=2|2=2|2=2,1,,5|0|0,0,1,2,装备主属性
14,1105,40级_足/尾_防御向_生命值,0,生命值,,401,300=450|450=500|500=530,17,,5|0|0,15,1,2,装备主属性
15,1105,40级_足/尾_防御向_生命值,0,生命值,,392,154=232|232=258|258=270,10,,5|0|0,50,1,,装备主属性
16,1105,40级_足/尾_防御向_物理防御,0,物理防御,,396,17=26|26=29|29=30,1,,5|0|0,50,1,,装备主属性
