Id,SortId,AttrName,Type,AttrTips,ChangeAttrId,ChangeProportion,TipParaEnum,
素质属性ID,排序ID,用于显示的属性名,属性类型(1.六维资质2.基础属性3.高级属性4.休闲属性 5.不读取的属性（方便策划配置）),属性的提示,转换成人物的属性ID,继承比例(万分比),参数类型枚举(0直接显示，1除以一万）,备注
373,1,Str,1,主要提升宠物的物理攻击，少量提升其物理防御属性,,,0,Str_力量资质
374,2,Agi,1,主要提升宠物的攻击速度，少量提升其暴击、魔法攻击、魔法防御属性,,,0,Agi_敏捷资质
375,3,Vit,1,主要提升宠物的生命值，少量提升其物理防御属性,,,0,Vit_体质资质
376,4,Int,1,主要提升宠物的魔法攻击，少量提升其魔法值属性,,,0,Int_智力资质
377,5,Dex,1,主要提升宠物的物理防御，少量提升其魔法防御和攻击速度属性,,,0,Dex_灵巧资质
378,6,Luk,1,提升宠物的魔法防御和暴击属性,,,0,Luk_幸运资质
5,1,,2,,,,0,生命值_当前生命
7,2,,2,,,,0,蓝量_当前蓝量
127,101,,2,,,,0,生命值_生命上限{0}
128,102,,2,,,,0,蓝量_魔法上限{0}
117,103,物理攻击,2,,,,0,物理攻击_物理攻击{0}
118,104,魔法攻击,2,,,,0,魔法攻击_魔法攻击{0}
119,105,物理防御,2,,,,0,物理防御_物理防御{0}
120,106,魔法防御,2,,,,0,魔法防御_魔法防御{0}
93,207,攻击速度,3,每秒可以进行普通攻击的次数,,,1,攻击速度%_攻击速度{0}
129,203,,3,,,,0,命中_命中{0}
130,204,,3,,,,0,闪避_闪避{0}
133,202,,3,打出高额伤害的几率,,,0,暴击_暴击{0}
134,206,,3,,,,0,暴击防护_暴击抵抗{0}
59,205,暴击伤害,3,提升暴击时的伤害倍率，基础倍率为150%,,,1,暴伤%_百_暴伤%
60,208,,3,,,,1,暴伤防护_百_暴伤防护
86,209,技能冷却修正,3,技能冷却时间的调整值,,,1,CD减免%_冷却时间降低{0}
131,210,,3,,,,0,生命回复_生命回复{0}
132,211,,3,,,,0,魔法回复_魔法回复{0}
172,301,风属性技能伤害,3,,,,1,风属性技能伤害_风属性技能伤害{0}
173,302,地属性技能伤害,3,,,,1,地属性技能伤害_地属性技能伤害{0}
174,303,火属性技能伤害,3,,,,1,火属性技能伤害_火属性技能伤害{0}
175,304,水属性技能伤害,3,,,,1,水属性技能伤害_水属性技能伤害{0}
176,305,无属性技能伤害,3,,,,1,无属性技能伤害_无属性技能伤害{0}
177,306,,3,,,,1,圣属性技能伤害_圣属性技能伤害{0}
178,307,,3,,,,1,暗属性技能伤害_暗属性技能伤害{0}
179,308,,3,,,,1,念属性技能伤害_念属性技能伤害{0}
180,309,,3,,,,1,不死属性技能伤害_不死属性技能伤害{0}
181,310,,3,,,,1,毒属性技能伤害_毒属性技能伤害{0}
182,311,受到风属性伤害减免,3,,,,1,受到风属性伤害减免_受到风属性伤害减免{0}
183,312,受到地属性伤害减免,3,,,,1,受到地属性伤害减免_受到地属性伤害减免{0}
184,313,受到火属性伤害减免,3,,,,1,受到火属性伤害减免_受到火属性伤害减免{0}
185,314,受到水属性伤害减免,3,,,,1,受到水属性伤害减免_受到水属性伤害减免{0}
186,315,受到无属性伤害减免,3,,,,1,受到无属性伤害减免_受到无属性伤害减免{0}
187,316,,3,,,,1,受到圣属性伤害减免_受到圣属性伤害减免{0}
188,317,,3,,,,1,受到暗属性伤害减免_受到暗属性伤害减免{0}
189,318,,3,,,,1,受到念属性伤害减免_受到念属性伤害减免{0}
190,319,,3,,,,1,受到不死属性伤害减免_受到不死属性伤害减免{0}
191,320,,3,,,,1,受到毒属性伤害减免_受到毒属性伤害减免{0}
222,321,,3,,,,1,对小体型魔物伤害_对小体型魔物伤害{0}
223,322,,3,,,,1,对中体型魔物伤害_对中体型魔物伤害{0}
224,323,,3,,,,1,对大体型魔物伤害_对大体型魔物伤害{0}
225,324,,3,,,,1,对BOSS魔物伤害_对BOSS魔物伤害{0}
226,325,,3,,,,1,对非BOSS魔物伤害_对非BOSS魔物伤害{0}
229,326,受小体型魔物减伤,3,,,,1,受小体型魔物减伤_受小体型魔物减伤{0}
230,327,受中体型魔物减伤,3,,,,1,受中体型魔物减伤_受中体型魔物减伤{0}
231,328,受大体型魔物减伤,3,,,,1,受大体型魔物减伤_受大体型魔物减伤{0}
232,329,,3,,,,1,受到BOSS魔物伤害减免_受到BOSS魔物伤害减免{0}
233,330,,3,,,,1,受到非BOSS魔物伤害减免_受到非BOSS魔物伤害减免{0}
249,331,,3,,,,1,远程物理攻击%_远程物理攻击%{0}
257,332,,3,,,,1,中毒抗性_中毒抗性{0}
258,333,,3,,,,1,流血抗性_流血抗性{0}
259,334,,3,,,,1,灼烧抗性_灼烧抗性{0}
260,335,,3,,,,1,诅咒抗性_诅咒抗性{0}
261,336,,3,,,,1,黑暗抗性_黑暗抗性{0}
262,337,,3,,,,1,沉默抗性_沉默抗性{0}
263,338,,3,,,,1,恐惧抗性_恐惧抗性{0}
264,339,,3,,,,1,眩晕抗性_眩晕抗性{0}
265,340,,3,,,,1,睡眠抗性_睡眠抗性{0}
266,341,,3,,,,1,冰冻抗性_冰冻抗性{0}
267,342,,3,,,,1,石化抗性_石化抗性{0}
268,343,,3,,,,1,瘫痪抗性_瘫痪抗性{0}
269,344,,3,,,,1,混乱抗性_混乱抗性{0}
270,345,,3,,,,1,中毒成功率_中毒成功率{0}
271,346,,3,,,,1,流血成功率_流血成功率{0}
272,347,,3,,,,1,灼烧成功率_灼烧成功率{0}
273,348,,3,,,,1,诅咒成功率_诅咒成功率{0}
274,349,,3,,,,1,黑暗成功率_黑暗成功率{0}
275,350,,3,,,,1,沉默成功率_沉默成功率{0}
276,351,,3,,,,1,恐惧成功率_恐惧成功率{0}
277,352,,3,,,,1,眩晕成功率_眩晕成功率{0}
278,353,,3,,,,1,睡眠成功率_睡眠成功率{0}
279,354,,3,,,,1,冰冻成功率_冰冻成功率{0}
280,355,,3,,,,1,石化成功率_石化成功率{0}
281,356,,3,,,,1,瘫痪成功率_瘫痪成功率{0}
282,357,,3,,,,1,混乱成功率_混乱成功率{0}
310,358,,3,,,,1,近战物理攻击%_近战物理攻击{0}%
390,122,,4,,,,0,亲密度_亲密度
391,123,,4,,,,0,饱食度_饱食度
27,3,,5,,,,0,物理攻击_装_物理攻击
28,4,,5,百分比放大宠物升级带来的物理攻击属性,,,1,物理攻击_百_物理攻击
32,5,,5,,,,0,物理防御_装_物理防御
33,6,,5,百分比放大宠物升级带来的物理防御属性,,,1,物理防御_百_物理防御
36,7,,5,,,,0,魔法攻击_装_魔法攻击
