ID,,PetID,CatchMinLevel,CatchItem,Catchweight
EntityID（对应EntityTable中的ID）,宠物名（备注）,对应PetTable中的ID,可以捕捉该宠物的最低BaseLevel,捕捉道具（道具id=数量）,捕捉权重（宠物蛋id=权重|宠物蛋id=权重）0表示捕捉失败，0=100表示捕捉失败的权重是100
1402,波利,1001,40,90000=1,0=200|120100=100
1403,土人,1002,60,90000=1,0=200|120110=100
1404,傀儡娃娃,1004,80,90001=1,0=200|120130=100
1405,人鱼,1005,70,90000=1,0=200|120140=100
1406,僵尸,1006,60,90000=1,0=200|120150=100
1407,妖道,1007,60,90001=1,0=200|120160=100
1408,摇滚蝗虫,1008,40,90000=1,0=200|120170=100
1409,疯兔,1009,40,90001=1,0=200|120180=100
1410,白幽灵,1023,40,90001=1,0=200|120320=100
